Subject	StimRank	StimValue	StimName	StimNum	ValueGroup	Contingency	Go	Run	TrialInRun	Trial	TrialOnset	TrialOffset	Ladder	CueOnset	RT	KeyPressed	onsetPlanned	onset	duration
BM_112	72	0.2267984	2110.jpg	57	8	0	0	1	80	80	120.501880494063	121.953532078071	0.85	NaN	NaN	x	120.5	120.501880494063	1.45165158400778
BM_112	52	0.366524	2006.jpg	41	6	0	0	2	1	81	122.003591469023	123.455131381052	0.85	NaN	NaN	x	122	122.003591469023	1.45153991202824
BM_112	31	0.5622725	1216.jpg	33	3	1	1	2	2	82	123.50524962903	124.956832405063	0.85	850.96715495456	1272.11268304382	b	123.5	123.50524962903	1.45158277603332
BM_112	44	0.4371954	1144.jpg	20	5	0	0	2	3	83	125.006897194078	126.458552633063	0.85	NaN	NaN	x	125	125.006897194078	1.45165543898474
BM_112	67	0.3003924	2217.jpg	74	8	1	1	2	4	84	126.50858574803	127.96026178007	0.85	851.012722006999	1212.76612603106	b	126.5	126.50858574803	1.45167603204027
BM_112	45	0.4365345	1210.jpg	32	5	0	0	2	5	85	127.993332803017	129.445241354057	0.85	NaN	NaN	x	128	127.993332803017	1.45190855104011
BM_112	27	0.6350013	2054.jpg	52	3	1	1	2	6	86	129.495246766019	130.946924188989	0.85	851.003026007675	1210.18233301584	b	129.5	129.495246766019	1.45167742297053
BM_112	15	0.7395006	1262.jpg	40	1	0.5	1	2	7	87	130.996967543033	132.448677983019	0.85	850.9354039561	1212.3989550164	b	131	130.996967543033	1.45171043998562
BM_112	79	0.1543162	2039.jpg	47	0	0	0	2	8	88	132.498653937015	133.950346675003	0.85	NaN	NaN	x	132.5	132.498653937015	1.4516927379882
BM_112	48	0.3976282	1073.jpg	14	5	0	0	2	9	89	134.000358798075	135.451971178991	0.85	NaN	NaN	x	134	134.000358798075	1.45161238091532
BM_112	7	0.797451	2118.jpg	60	0	0	0	2	10	90	135.502032710006	136.953619497013	0.85	NaN	NaN	x	135.5	135.502032710006	1.45158678700682
BM_112	40	0.4745399	1226.jpg	35	4	0.5	0	2	11	91	137.003744414076	138.45533799706	0.85	NaN	NaN	x	137	137.003744414076	1.45159358298406
BM_112	72	0.2267984	2110.jpg	57	8	0	0	2	12	92	138.505406941986	139.95710431505	0.85	NaN	NaN	x	138.5	138.505406941986	1.45169737306423
BM_112	13	0.7498679	1202.jpg	29	1	0	0	2	13	93	140.007151265047	141.458769082092	0.85	NaN	NaN	x	140	140.007151265047	1.45161781704519
BM_112	77	0.1943721	1130.jpg	19	0	0	0	2	14	94	141.508794916095	142.960404257989	0.85	NaN	NaN	x	141.5	141.508794916095	1.45160934189335
BM_112	29	0.6158856	1254.jpg	38	3	0	0	2	15	95	142.993486903026	144.445383460028	0.85	NaN	NaN	x	143	142.993486903026	1.45189655700233
BM_112	35	0.5261585	1192.jpg	28	4	0	0	2	16	96	144.495504011051	145.947061262093	0.85	NaN	NaN	x	144.5	144.495504011051	1.45155725104269
BM_112	6	0.8173348	2209.jpg	72	0	0	0	2	17	97	145.997114837053	147.44881001208	0.85	NaN	NaN	x	146	145.997114837053	1.45169517502654
BM_112	23	0.6536804	1146.jpg	22	2	0	0	2	18	98	147.498793896055	148.950296998024	0.85	NaN	NaN	x	147.5	147.498793896055	1.45150310196914
BM_112	61	0.3293214	2221.jpg	76	7	0	0	2	19	99	149.000551432022	150.452177876025	0.85	NaN	NaN	x	149	149.000551432022	1.45162644400261
