Subject	StimRank	StimValue	StimName	StimNum	ValueGroup	Contingency
BM_118	1	0.7894986	2118.jpg	60	0	0
BM_118	2	0.7379517	2248.jpg	79	0	0
BM_118	3	0.7230228	1050.jpg	10	0	0
BM_118	4	0.7223875	2153.jpg	65	0	0
BM_118	5	0.7222007	2212.jpg	73	0	0
BM_118	6	0.7161292	2112.jpg	59	0	0
BM_118	7	0.7100154	2094.jpg	56	0	0
BM_118	8	0.7051939	2249.jpg	80	0	0
BM_118	9	0.6997309	2201.jpg	71	1	1
BM_118	10	0.6931685	2089.jpg	55	1	0
BM_118	11	0.691394	2155.jpg	67	1	0
BM_118	12	0.6849718	2058.jpg	53	1	1
BM_118	13	0.6800679	2217.jpg	74	1	1
BM_118	14	0.6654486	1060.jpg	13	1	0
BM_118	15	0.653492	1216.jpg	33	1	0
BM_118	16	0.6349534	2039.jpg	47	1	1
BM_118	17	0.6341981	2015.jpg	44	2	0
BM_118	18	0.6304656	2181.jpg	69	2	0.5
BM_118	19	0.624011	2063.jpg	54	2	0.5
BM_118	20	0.6150016	1115.jpg	17	2	0
BM_118	21	0.6142409	2024.jpg	46	2	0
BM_118	22	0.6128202	2016.jpg	45	2	0.5
BM_118	23	0.6090343	2124.jpg	61	2	0.5
BM_118	24	0.6087551	2154.jpg	66	2	0
BM_118	25	0.6072208	2125.jpg	62	3	0.5
BM_118	26	0.6013637	2043.jpg	49	3	0
BM_118	27	0.5995329	2008.jpg	42	3	0
BM_118	28	0.5910165	2240.jpg	78	3	0.5
BM_118	29	0.5806803	1254.jpg	38	3	0.5
BM_118	30	0.5799606	1210.jpg	32	3	0
BM_118	31	0.5741799	2110.jpg	57	3	0
BM_118	32	0.5657124	2164.jpg	68	3	0.5
BM_118	33	0.560778	2006.jpg	41	4	0
BM_118	34	0.5580786	1220.jpg	34	4	1
BM_118	35	0.5554114	2229.jpg	77	4	1
BM_118	36	0.5455699	1183.jpg	26	4	0
BM_118	37	0.5447192	1191.jpg	27	4	1
BM_118	38	0.5355062	2041.jpg	48	4	0
BM_118	39	0.5311093	1017.jpg	4	4	0
BM_118	40	0.5307407	1150.jpg	23	4	1
BM_118	41	0.5188951	2010.jpg	43	5	0.5
BM_118	42	0.5157366	2128.jpg	63	5	0
BM_118	43	0.4954015	2054.jpg	52	5	0
BM_118	44	0.4760141	1027.jpg	6	5	0.5
BM_118	45	0.4730664	1255.jpg	39	5	0
BM_118	46	0.4629515	1057.jpg	12	5	0.5
BM_118	47	0.449681	2149.jpg	64	5	0.5
BM_118	48	0.435987	1145.jpg	21	5	0
BM_118	49	0.4273439	1202.jpg	29	6	0
BM_118	50	0.4105734	1226.jpg	35	6	1
BM_118	51	0.4099006	1031.jpg	8	6	1
BM_118	52	0.4063247	1182.jpg	25	6	0
BM_118	53	0.4029056	1080.jpg	15	6	0
BM_118	54	0.4024983	1073.jpg	14	6	1
BM_118	55	0.4008481	2111.jpg	58	6	1
BM_118	56	0.398035	1019.jpg	5	6	0
BM_118	57	0.3965045	2045.jpg	50	7	1
BM_118	58	0.3874038	1207.jpg	31	7	0
BM_118	59	0.3839812	1262.jpg	40	7	0
BM_118	60	0.3833713	2221.jpg	76	7	1
BM_118	61	0.3788742	1204.jpg	30	7	0
BM_118	62	0.370889	1146.jpg	22	7	1
BM_118	63	0.3695197	1052.jpg	11	7	1
BM_118	64	0.3614497	1130.jpg	19	7	0
BM_118	65	0.3606517	1246.jpg	37	8	0
BM_118	66	0.3559353	2053.jpg	51	8	0.5
BM_118	67	0.3511514	1013.jpg	3	8	0.5
BM_118	68	0.3500095	2209.jpg	72	8	0
BM_118	69	0.3497867	1114.jpg	16	8	0
BM_118	70	0.3460024	1192.jpg	28	8	0.5
BM_118	71	0.3458962	1009.jpg	2	8	0.5
BM_118	72	0.3059272	1228.jpg	36	8	0
BM_118	73	0.3034564	1127.jpg	18	0	0
BM_118	74	0.2933951	1035.jpg	9	0	0
BM_118	75	0.2689673	2218.jpg	75	0	0
BM_118	76	0.2376479	1007.jpg	1	0	0
BM_118	77	0.2351365	1144.jpg	20	0	0
BM_118	78	0.2008504	1173.jpg	24	0	0
BM_118	79	0.1726979	2194.jpg	70	0	0
BM_118	80	0.1645978	1028.jpg	7	0	0
