4601.jpg	 12	 1	 9.171645e-01	 23
2030.jpg	 12	 2	 9.034545e-01	 6
2550.jpg	 12	 3	 8.855457e-01	 21
7499.jpg	 12	 4	 8.511476e-01	 43
5480.jpg	 12	 5	 8.481911e-01	 33
8371.jpg	 12	 6	 7.662155e-01	 54
8502.jpg	 12	 7	 7.607541e-01	 59
5829.jpg	 11	 8	 7.033190e-01	 35
8350.jpg	 11	 9	 6.785941e-01	 53
7470.jpg	 12	 10	 6.775705e-01	 41
8001.jpg	 11	 11	 6.475225e-01	 45
8510.jpg	 12	 12	 6.462132e-01	 60
8420.jpg	 12	 13	 6.406945e-01	 56
7660.jpg	 11	 14	 6.344110e-01	 44
4626.jpg	 12	 15	 6.316084e-01	 28
4619.jpg	 11	 16	 5.912014e-01	 27
4641.jpg	 11	 17	 5.827450e-01	 30
2158.jpg	 12	 18	 5.791496e-01	 11
2165.jpg	 11	 19	 5.790131e-01	 12
8380.jpg	 12	 20	 5.757361e-01	 55
5260.jpg	 12	 21	 5.664641e-01	 32
1720.jpg	 11	 22	 5.617162e-01	 4
8210.jpg	 11	 23	 5.478348e-01	 49
8280.jpg	 12	 24	 5.440005e-01	 51
2345.jpg	 12	 25	 5.319755e-01	 15
2057.jpg	 11	 26	 5.208130e-01	 7
4599.jpg	 12	 27	 5.175524e-01	 22
8496.jpg	 12	 28	 5.063386e-01	 58
2346.jpg	 12	 29	 4.959976e-01	 16
8470.jpg	 12	 30	 4.955648e-01	 57
2303.jpg	 24	 31	 4.894095e-01	 14
8031.jpg	 24	 32	 4.797319e-01	 46
8208.jpg	 24	 33	 4.777751e-01	 48
5626.jpg	 24	 34	 4.711017e-01	 34
8220.jpg	 22	 35	 4.680814e-01	 50
2373.jpg	 24	 36	 4.671978e-01	 20
2058.jpg	 24	 37	 4.653159e-01	 8
1660.jpg	 22	 38	 4.645359e-01	 3
4603.jpg	 24	 39	 4.618477e-01	 24
2091.jpg	 22	 40	 4.327939e-01	 9
1721.jpg	 22	 41	 4.285760e-01	 5
4606.jpg	 24	 42	 4.243019e-01	 25
2347.jpg	 22	 43	 4.172213e-01	 17
7282.jpg	 24	 44	 3.906979e-01	 38
8340.jpg	 24	 45	 3.770032e-01	 52
2352.1.jpg	 22	 46	 3.680984e-01	 18
2155.jpg	 24	 47	 3.666791e-01	 10
7260.jpg	 22	 48	 3.447996e-01	 37
7430.jpg	 22	 49	 3.313889e-01	 40
8033.jpg	 24	 50	 3.280627e-01	 47
1590.jpg	 22	 51	 3.174685e-01	 2
2362.jpg	 24	 52	 3.069881e-01	 19
4640.jpg	 24	 53	 2.606118e-01	 29
7250.jpg	 22	 54	 2.478140e-01	 36
4610.jpg	 24	 55	 2.215053e-01	 26
2209.jpg	 24	 56	 2.197131e-01	 13
7291.jpg	 24	 57	 1.941350e-01	 39
1540.jpg	 24	 58	 1.544727e-01	 1
7480.jpg	 24	 59	 1.400816e-01	 42
5199.jpg	 24	 60	 9.408120e-02	 31

