subjectID	order	stimName	itemIndABC	bidInd	runtrial	isOld?	subjectAnswerIsOld	isBeep?	subjectAnswerIsBeep	onsettime	resp_choice	RT
BMI_bs_126	 2	 Bamba.bmp	 2	 37	 1	 1	 1	 0	 0	 2.329217e-02	 u	 6.685882e+00	 
BMI_bs_126	 2	 GumiWine2.bmp	 22	 51	 2	 1	 1	 1	 1	 8.265821e+00	 i	 1.053444e+00	 
BMI_bs_126	 2	 ChocolateParaMarir2.bmp	 11	 46	 3	 1	 1	 1	 1	 1.086887e+01	 i	 2.646854e+00	 
BMI_bs_126	 2	 ClickBalls5.bmp	 12	 13	 4	 1	 1	 0	 1	 1.507352e+01	 i	 4.348710e+00	 
BMI_bs_126	 2	 SkittlesFruits2.bmp	 31	 44	 5	 1	 1	 0	 1	 2.098001e+01	 i	 2.841191e+00	 
BMI_bs_126	 2	 DoritosGrill.bmp	 18	 22	 6	 1	 1	 1	 0	 2.536835e+01	 u	 2.311768e+00	 
BMI_bs_126	 2	 Popco.bmp	 30	 39	 7	 1	 1	 0	 0	 2.923925e+01	 u	 5.528763e+00	 
BMI_bs_126	 2	 BambaNugat.bmp	 3	 12	 8	 1	 1	 0	 1	 3.631395e+01	 i	 2.897963e+00	 
BMI_bs_126	 2	 KifkefMaklot2.bmp	 25	 50	 9	 1	 1	 0	 1	 4.076894e+01	 i	 3.303168e+00	 
BMI_bs_126	 2	 CrunchBisquitWhite2.bmp	 17	 8	 10	 1	 1	 1	 1	 4.562434e+01	 i	 6.041904e+00	 
BMI_bs_126	 2	 Tictac.bmp	 37	 41	 11	 1	 1	 1	 1	 5.321623e+01	 i	 9.025819e-01	 
BMI_bs_126	 2	 Tortit.bmp	 38	 53	 12	 1	 1	 0	 1	 5.566886e+01	 i	 8.913128e-01	 
BMI_bs_126	 2	 KinderBuenoWhite2.bmp	 27	 16	 13	 1	 1	 1	 1	 5.810501e+01	 i	 3.124136e+00	 
BMI_bs_126	 2	 Halva2.bmp	 23	 17	 14	 1	 1	 1	 0	 6.277687e+01	 u	 5.472587e+00	 
BMI_bs_126	 2	 TapuchipsCrunch2.bmp	 78	 0	 15	 0	 1	 0	 0	 6.980142e+01	 u	 2.678235e+00	 
BMI_bs_126	 2	 BambaSweet.bmp	 4	 43	 16	 1	 1	 1	 1	 7.403952e+01	 i	 2.782855e+00	 
BMI_bs_126	 2	 BisliOnion.bmp	 6	 18	 17	 1	 1	 0	 0	 7.837769e+01	 u	 2.078583e+00	 
BMI_bs_126	 2	 PesekZman.bmp	 29	 9	 18	 1	 1	 1	 0	 8.201501e+01	 u	 3.605299e+00	 
BMI_bs_126	 2	 DoritosNatural.bmp	 19	 20	 19	 1	 1	 0	 0	 8.717099e+01	 u	 1.318153e+00	 
BMI_bs_126	 2	 Cheetos.bmp	 9	 52	 20	 1	 1	 0	 0	 9.004074e+01	 u	 1.621052e+00	 
BMI_bs_126	 2	 Dubonim.bmp	 21	 40	 21	 1	 1	 1	 1	 9.321101e+01	 i	 1.319655e+00	 
BMI_bs_126	 2	 Tapuchips.bmp	 35	 47	 22	 1	 1	 0	 1	 9.608081e+01	 i	 1.352521e+00	 
BMI_bs_126	 2	 ClickBisquit2.bmp	 13	 5	 23	 1	 1	 0	 0	 9.898408e+01	 u	 7.078392e+00	 
BMI_bs_126	 2	 ClickBlackWhite3.bmp	 14	 15	 24	 1	 1	 0	 1	 1.076105e+02	 i	 2.355866e+00	 
BMI_bs_126	 2	 KinderJoy.bmp	 28	 19	 25	 1	 1	 1	 1	 1.115147e+02	 i	 3.851881e+00	 
BMI_bs_126	 2	 SkittlesSour4.bmp	 32	 45	 26	 1	 1	 0	 1	 1.169208e+02	 i	 8.646926e-01	 
BMI_bs_126	 2	 CrunchBisquitBrown3.bmp	 16	 6	 27	 1	 1	 1	 1	 1.193399e+02	 i	 1.933226e+00	 
BMI_bs_126	 2	 Twix.bmp	 40	 55	 28	 1	 1	 1	 1	 1.228275e+02	 i	 2.450867e+00	 
BMI_bs_126	 2	 Bounty.bmp	 8	 56	 29	 1	 1	 0	 1	 1.268320e+02	 i	 5.726915e-01	 
