subjectID	order	stimName	itemIndABC	bidInd	runtrial	isOld?	subjectAnswerIsOld	isBeep?	subjectAnswerIsBeep	onsettime	resp_choice	RT
BMI_bs_106	 2	 CrunchBisquitWhite2.bmp	 13	 18	 1	 1	 1	 0	 1	 1.532498e-02	 i	 2.063414e+00	 
BMI_bs_106	 2	 Egozi.bmp	 18	 13	 2	 1	 1	 0	 0	 3.636036e+00	 u	 3.662957e+00	 
BMI_bs_106	 2	 Hit.bmp	 23	 56	 3	 1	 1	 0	 0	 8.858600e+00	 u	 7.579789e-01	 
BMI_bs_106	 2	 ClickCornflakes.bmp	 53	 0	 4	 0	 1	 0	 0	 1.116118e+01	 u	 1.808037e+00	 
BMI_bs_106	 2	 BisliBbq.bmp	 46	 0	 5	 0	 1	 0	 0	 1.451491e+01	 u	 1.458237e+00	 
BMI_bs_106	 2	 KinderBuenoWhite2.bmp	 27	 15	 6	 1	 1	 0	 1	 1.751830e+01	 i	 9.749186e-01	 
BMI_bs_106	 2	 Snickers.bmp	 36	 42	 7	 1	 1	 0	 0	 2.003777e+01	 u	 9.531140e-01	 
BMI_bs_106	 2	 Mars.bmp	 30	 50	 8	 1	 1	 0	 0	 2.254055e+01	 u	 7.229010e-01	 
BMI_bs_106	 2	 ChocolateParaMarir2.bmp	 7	 51	 9	 1	 1	 1	 1	 2.480977e+01	 i	 8.838083e-01	 
BMI_bs_106	 2	 HispusimShatiah.bmp	 22	 47	 10	 1	 1	 0	 0	 2.724582e+01	 u	 1.035377e+00	 
BMI_bs_106	 2	 ClickBisquit2.bmp	 9	 5	 11	 1	 1	 0	 0	 2.983204e+01	 u	 9.018254e-01	 
BMI_bs_106	 2	 Bounty.bmp	 4	 48	 12	 1	 1	 1	 1	 3.228477e+01	 i	 5.641333e-01	 
BMI_bs_106	 2	 HappyHippo.bmp	 21	 16	 13	 1	 1	 1	 1	 3.440386e+01	 i	 1.280162e+00	 
BMI_bs_106	 2	 TapuchipsCrunch2.bmp	 78	 0	 14	 0	 1	 0	 1	 3.724035e+01	 i	 2.426390e+00	 
BMI_bs_106	 2	 CrunchBisquitBrown3.bmp	 12	 14	 15	 1	 1	 1	 1	 4.121150e+01	 i	 6.265816e-01	 
BMI_bs_106	 2	 Cheetos.bmp	 5	 17	 16	 1	 1	 1	 1	 4.339723e+01	 i	 7.247080e-01	 
BMI_bs_106	 2	 SkittlesFruits2.bmp	 33	 12	 17	 1	 1	 0	 0	 4.566650e+01	 u	 8.967870e-01	 
BMI_bs_106	 2	 DoritosSourSpicy.bmp	 16	 55	 18	 1	 1	 1	 1	 4.811915e+01	 i	 9.530109e-01	 
BMI_bs_106	 2	 Keifli.bmp	 25	 20	 19	 1	 1	 0	 0	 5.062199e+01	 u	 9.702909e-01	 
BMI_bs_106	 2	 KashitSour.bmp	 24	 37	 20	 1	 1	 0	 0	 5.314141e+01	 u	 8.134391e-01	 
BMI_bs_106	 2	 CrunchShokoVanil.bmp	 14	 9	 21	 1	 1	 1	 1	 5.551075e+01	 i	 2.370575e+00	 
BMI_bs_106	 2	 KinderJoy.bmp	 28	 6	 22	 1	 1	 1	 1	 5.943186e+01	 i	 7.445654e-01	 
BMI_bs_106	 2	 TapuchipsCrunch.bmp	 37	 23	 23	 1	 1	 1	 1	 6.173437e+01	 i	 2.120979e+00	 
BMI_bs_106	 2	 PesekZman.bmp	 31	 11	 24	 1	 1	 1	 0	 6.540516e+01	 u	 2.331612e+00	 
BMI_bs_106	 2	 ClickXLbrown4.bmp	 10	 40	 25	 1	 1	 1	 1	 6.929289e+01	 i	 7.502711e-01	 
BMI_bs_106	 2	 Halva2.bmp	 20	 54	 26	 1	 1	 1	 1	 7.159543e+01	 i	 7.653165e-01	 
BMI_bs_106	 2	 Dubonim.bmp	 17	 19	 27	 1	 1	 1	 1	 7.391473e+01	 i	 1.483657e+00	 
BMI_bs_106	 2	 ClickBalls5.bmp	 8	 7	 28	 1	 1	 0	 0	 7.695143e+01	 u	 6.632590e-01	 
BMI_bs_106	 2	 BambaNugat.bmp	 3	 10	 29	 1	 1	 0	 0	 7.917054e+01	 u	 1.031838e+00	 
BMI_bs_106	 2	 ClickXLwhite4.bmp	 11	 43	 30	 1	 1	 1	 1	 8.175683e+01	 i	 8.981319e-01	 
BMI_bs_106	 2	 KifkefMaklot2.bmp	 26	 24	 31	 1	 1	 0	 0	 8.420955e+01	 u	 1.111770e+00	 
BMI_bs_106	 2	 GumiSnakes3.bmp	 19	 39	 32	 1	 1	 0	 0	 8.687931e+01	 u	 6.471135e-01	 
BMI_bs_106	 2	 BabyDoll.bmp	 1	 53	 33	 1	 1	 0	 0	 8.908173e+01	 u	 7.173264e-01	 
BMI_bs_106	 2	 Kitkat.bmp	 29	 22	 34	 1	 1	 1	 1	 9.135089e+01	 i	 1.620797e+00	 
BMI_bs_106	 2	 Hispusim.bmp	 62	 0	 35	 0	 1	 0	 0	 9.452112e+01	 u	 6.894256e-01	 
