subjectID	order	runNum	itemName	onsetTime	shuff_trialType	RT	respInTime	AudioTime	response	fixationTime	ladder1	ladder2	bidIndex	itemNameIndex	bidValue	
BMI_bs_101	1	6	 BisliPizza3.bmp	1.07E+03	24	999000	240	999000	999	1.07E+03	733.33	733.33	40	12	0.88	 
BMI_bs_101	1	6	 Bounty.bmp	1.07E+03	12	999000	120	999000	999	1.08E+03	733.33	733.33	23	18	1.54	 
BMI_bs_101	1	6	 Taami.bmp	1.08E+03	12	999000	120	999000	999	1.08E+03	733.33	733.33	29	57	1.28	 
BMI_bs_101	1	6	 ClickBisquit2.bmp	1.08E+03	12	999000	120	999000	999	1.08E+03	733.33	733.33	1	25	2.97	 
BMI_bs_101	1	6	 ClickXLwhite4.bmp	1.08E+03	11	1.09E+03	1100	7.33E+02	98	1.08E+03	683.33	733.33	7	22	2.69	 
BMI_bs_101	1	6	 Apropo.bmp	1.08E+03	11	9.69E+02	110	6.83E+02	98	1.08E+03	700	733.33	15	31	1.9	 
BMI_bs_101	1	6	 ChocolateParaMarir2.bmp	1.09E+03	24	999000	240	999000	999	1.09E+03	700	733.33	32	54	1.15	 
BMI_bs_101	1	6	 DoritosNatural.bmp	1.09E+03	22	1.03E+03	2200	7.33E+02	98	1.09E+03	700	683.33	45	52	0.79	 
BMI_bs_101	1	6	 KifkefMaklot2.bmp	1.10E+03	12	999000	120	999000	999	1.10E+03	700	683.33	19	37	1.71	 
BMI_bs_101	1	6	 BagaleShtuhim.bmp	1.10E+03	11	9.33E+02	110	7.00E+02	98	1.10E+03	716.67	683.33	24	56	1.52	 
BMI_bs_101	1	6	 BabyDoll.bmp	1.10E+03	24	999000	240	999000	999	1.10E+03	716.67	683.33	55	58	0.27	 
BMI_bs_101	1	6	 KashitSour.bmp	1.11E+03	22	8.89E+02	220	6.83E+02	98	1.11E+03	716.67	700	50	53	0.61	 
