Trial	StimName	Liking	RT
1	114.bmp	8.08888888889	3750
2	128.bmp	3.6	2283
3	141.bmp	7.02222222222	2949
4	108.bmp	3.82222222222	1817
5	118.bmp	6.37777777778	2067
6	101.bmp	8.17777777778	1763
7	120.bmp	7.77777777778	3087
8	135.bmp	3.44444444444	2568
9	131.bmp	2.31111111111	2378
10	117.bmp	4.62222222222	3655
11	139.bmp	2.4	1649
12	159.bmp	1.13333333333	2930
13	137.bmp	3.2	1765
14	143.bmp	3.08888888889	1683
15	149.bmp	1.97777777778	2649
16	154.bmp	7.33333333333	5735
17	129.bmp	2.48888888889	1631
18	105.bmp	7.26666666667	2053
19	112.bmp	7.46666666667	2181
20	123.bmp	5.31111111111	2149
21	110.bmp	3.22222222222	1733
22	147.bmp	9.44444444444	2117
23	145.bmp	2.97777777778	1780
24	122.bmp	6.13333333333	2385
25	136.bmp	7.4	2129
26	138.bmp	3.68888888889	2033
27	156.bmp	6.2	3620
28	106.bmp	8.44444444444	1995
29	124.bmp	7.26666666667	2402
30	150.bmp	5.26666666667	2685
31	160.bmp	3.37777777778	2065
32	155.bmp	3.4	1985
33	142.bmp	3.13333333333	2079
34	103.bmp	7.11111111111	2651
35	111.bmp	7.31111111111	2302
36	113.bmp	4.35555555556	3030
37	157.bmp	3.42222222222	2065
38	148.bmp	2.8	2020
39	119.bmp	2.6	2063
40	109.bmp	4.33333333333	3718
41	102.bmp	7.24444444444	2117
42	104.bmp	8.31111111111	2766
43	153.bmp	3.2	2199
44	152.bmp	9.35555555556	1764
45	130.bmp	7.2	2619
46	133.bmp	3.26666666667	2167
47	121.bmp	7.44444444444	2350
48	146.bmp	5.53333333333	3969
49	126.bmp	7.35555555556	1918
50	158.bmp	3.35555555556	1995
51	116.bmp	4.17777777778	2233
52	115.bmp	7.31111111111	2298
53	127.bmp	7.2	2085
54	134.bmp	7.6	1915
55	140.bmp	5.8	3204
56	144.bmp	6.95555555556	3201
57	151.bmp	7.11111111111	2865
58	125.bmp	7.17777777778	2183
59	132.bmp	5.11111111111	1802
60	107.bmp	9.08888888889	2330
