subjectID	order	itemIndABC	stimName	bidInd	runtrial	isOld?	subjectAnswerIsOld	onsettime_isOld	resp_isOld	RT_isOld	isGo?	subjectAnswerIsGo	onsettime_isGo	resp_isGo	RT_isGo
BSOV_101	1	19	KinderBuenoBrown3.bmp	10	43	1	1	2.169060e+02	1	6.775598e-01	1	1	2.181241e+02	1	2.754709e-01	
BSOV_101	1	23	Mentos.bmp	43	44	1	1	2.199595e+02	1	7.440814e-01	0	4	2.212443e+02	4	1.443310e+00	
BSOV_101	1	52	PitaCrunch.bmp	0	45	0	5	2.242476e+02	5	1.888003e+00	0	5	2.266837e+02	5	7.798443e-01	
BSOV_101	1	22	Mars.bmp	17	46	1	1	2.290196e+02	1	1.747939e+00	0	4	2.313055e+02	4	1.262081e+00	
BSOV_101	1	34	ChocolateChipsCookies.bmp	0	47	0	5	2.341254e+02	5	1.842188e+00	0	5	2.365113e+02	5	2.642211e-01	
BSOV_101	1	14	HispusimShatiah.bmp	51	48	1	1	2.383301e+02	1	2.165489e+00	0	4	2.410332e+02	4	2.686410e+00	
BSOV_101	1	41	DoritosMenupahBbq.bmp	0	49	0	5	2.452712e+02	5	1.728354e+00	0	5	2.475404e+02	5	6.672048e-01	
BSOV_101	1	50	MnM2.bmp	0	50	0	5	2.497596e+02	5	9.439599e-01	0	5	2.512446e+02	5	2.109527e-01	
BSOV_101	1	44	Kifkef.bmp	0	51	0	5	2.530300e+02	5	9.935600e-01	0	5	2.545649e+02	5	2.426216e-01	
BSOV_101	1	49	MilkeyWay.bmp	0	52	0	5	2.563670e+02	5	8.325469e-01	0	5	2.577352e+02	5	6.084227e-01	
BSOV_101	1	38	CookiesSmile.bmp	0	53	0	5	2.599043e+02	5	1.095343e+00	0	5	2.615395e+02	5	3.400730e-01	
BSOV_101	1	24	Popco.bmp	46	54	1	1	2.634417e+02	1	1.557913e+00	0	1	2.655439e+02	1	7.996556e-01	
BSOV_101	1	21	Loacker.bmp	5	55	1	1	2.678966e+02	1	1.390932e+00	0	5	2.698322e+02	5	1.799402e+00	
BSOV_101	1	5	ChocolateParaMarir2.bmp	7	56	1	1	2.731859e+02	1	1.397688e+00	1	2	2.751214e+02	2	1.102195e+00	
