subjectID	 order	 itemIndABC	 runtrial	 isGO?	 subjectAnswer	 onsettime	 Name	 resp_choice	 RT	 bidInd
BFE_349	 1	 34	 1	 0	 0	 3.029657e-02	 2210.jpg	 i	 2.509655e+00	 77	 
BFE_349	 1	 3	 2	 0	 0	 3.600960e+00	 1106.jpg	 i	 9.869893e-01	 14	 
BFE_349	 1	 10	 3	 1	 1	 5.636645e+00	 1117.jpg	 u	 8.153389e-01	 12	 
BFE_349	 1	 35	 4	 0	 0	 7.505301e+00	 2211.jpg	 i	 8.826644e-01	 41	 
BFE_349	 1	 8	 5	 0	 0	 9.440878e+00	 1114.jpg	 i	 7.230670e-01	 37	 
BFE_349	 1	 5	 6	 0	 0	 1.120945e+01	 1109.jpg	 i	 6.984997e-01	 9	 
BFE_349	 1	 31	 7	 0	 0	 1.296165e+01	 2206.jpg	 i	 6.023018e-01	 48	 
BFE_349	 1	 9	 8	 0	 0	 1.461330e+01	 1116.jpg	 i	 7.506654e-01	 21	 
BFE_349	 1	 12	 9	 0	 0	 1.641532e+01	 1119.jpg	 i	 5.406550e-01	 22	 
BFE_349	 1	 16	 10	 1	 1	 1.801711e+01	 1203.jpg	 u	 7.548378e-01	 10	 
BFE_349	 1	 39	 11	 0	 0	 1.981913e+01	 2216.jpg	 i	 6.408218e-01	 57	 
BFE_349	 1	 23	 12	 0	 0	 2.152110e+01	 2108.jpg	 i	 5.708750e-01	 78	 
BFE_349	 1	 4	 13	 1	 1	 2.315619e+01	 1107.jpg	 u	 6.237913e-01	 7	 
BFE_349	 1	 11	 14	 0	 0	 2.482471e+01	 1118.jpg	 i	 5.392318e-01	 40	 
BFE_349	 1	 24	 15	 0	 0	 2.640984e+01	 2109.jpg	 i	 6.101164e-01	 44	 
BFE_349	 1	 28	 16	 0	 0	 2.807841e+01	 2201.jpg	 i	 5.495409e-01	 43	 
BFE_349	 1	 20	 17	 0	 0	 2.969691e+01	 1208.jpg	 i	 5.390343e-01	 3	 
BFE_349	 1	 7	 18	 0	 0	 3.129866e+01	 1112.jpg	 i	 5.532905e-01	 38	 
BFE_349	 1	 36	 19	 0	 0	 3.293383e+01	 2212.jpg	 i	 6.621274e-01	 51	 
BFE_349	 1	 14	 20	 0	 0	 3.465243e+01	 1201.jpg	 i	 5.275140e-01	 8	 
BFE_349	 1	 33	 21	 1	 1	 3.623750e+01	 2209.jpg	 u	 6.384559e-01	 55	 
BFE_349	 1	 38	 22	 1	 1	 3.792272e+01	 2214.jpg	 u	 7.212341e-01	 53	 
BFE_349	 1	 17	 23	 0	 0	 3.969141e+01	 1205.jpg	 i	 5.605426e-01	 4	 
BFE_349	 1	 2	 24	 0	 0	 4.130986e+01	 1105.jpg	 i	 4.860881e-01	 19	 
BFE_349	 1	 1	 25	 0	 0	 4.284501e+01	 1101.jpg	 i	 6.549389e-01	 39	 
BFE_349	 1	 37	 26	 1	 1	 4.454690e+01	 2213.jpg	 u	 1.463307e+01	 52	 
BFE_349	 1	 26	 27	 1	 1	 6.023113e+01	 2117.jpg	 u	 8.928231e-01	 50	 
BFE_349	 1	 40	 28	 0	 0	 6.218331e+01	 2218.jpg	 i	 7.966370e-01	 54	 
BFE_349	 1	 30	 29	 0	 0	 6.403543e+01	 2205.jpg	 i	 6.165219e-01	 42	 
BFE_349	 1	 18	 30	 0	 0	 6.570392e+01	 1206.jpg	 i	 4.840460e-01	 11	 
BFE_349	 1	 19	 31	 0	 0	 6.723903e+01	 1207.jpg	 i	 7.569126e-01	 16	 
BFE_349	 1	 13	 32	 1	 1	 6.904097e+01	 1121.jpg	 u	 7.229948e-01	 13	 
BFE_349	 1	 15	 33	 1	 1	 7.080968e+01	 1202.jpg	 u	 7.142598e-01	 18	 
BFE_349	 1	 21	 34	 0	 0	 7.257823e+01	 1215.jpg	 i	 5.777271e-01	 20	 
BFE_349	 1	 25	 35	 0	 0	 7.421339e+01	 2114.jpg	 i	 4.945612e-01	 49	 
BFE_349	 1	 22	 36	 0	 0	 7.576516e+01	 1219.jpg	 i	 5.027891e-01	 17	 
BFE_349	 1	 27	 37	 1	 1	 7.731688e+01	 2121.jpg	 u	 1.055063e+00	 47	 
BFE_349	 1	 32	 38	 0	 0	 7.941924e+01	 2208.jpg	 i	 6.647506e-01	 56	 
BFE_349	 1	 29	 39	 1	 1	 8.113795e+01	 2204.jpg	 u	 7.779995e-01	 58	 
BFE_349	 1	 6	 40	 1	 1	 8.297324e+01	 1110.jpg	 u	 7.027121e-01	 15	 
