subjectID	 order	 itemIndABC	 runtrial	 isGO?	 subjectAnswer	 onsettime	 Name	 resp_choice	 RT	 bidInd
BMI_bff_351	 1	 17	 1	 0	 0	 2.994299e-02	 1211.jpg	 i	 2.964779e+00	 14	 
BMI_bff_351	 1	 4	 2	 0	 0	 4.051198e+00	 1104.jpg	 i	 1.535529e+00	 38	 
BMI_bff_351	 1	 27	 3	 0	 0	 6.637409e+00	 2112.jpg	 i	 8.453204e-01	 77	 
BMI_bff_351	 1	 32	 4	 0	 0	 8.539530e+00	 2121.jpg	 i	 8.871898e-01	 43	 
BMI_bff_351	 1	 3	 5	 0	 0	 1.047510e+01	 1103.jpg	 i	 8.076200e-01	 3	 
BMI_bff_351	 1	 2	 6	 0	 0	 1.232716e+01	 1102.jpg	 i	 8.995538e-01	 9	 
BMI_bff_351	 1	 30	 7	 1	 1	 1.427935e+01	 2116.jpg	 u	 1.035418e+00	 58	 
BMI_bff_351	 1	 24	 8	 0	 0	 1.636495e+01	 2106.jpg	 i	 6.777730e-01	 41	 
BMI_bff_351	 1	 18	 9	 0	 0	 1.810029e+01	 1212.jpg	 i	 7.184384e-01	 37	 
BMI_bff_351	 1	 37	 10	 0	 0	 1.986895e+01	 2213.jpg	 i	 7.337769e-01	 56	 
BMI_bff_351	 1	 9	 11	 0	 0	 2.165423e+01	 1113.jpg	 i	 9.244930e-01	 4	 
BMI_bff_351	 1	 31	 12	 1	 1	 2.363981e+01	 2118.jpg	 u	 8.909205e-01	 52	 
BMI_bff_351	 1	 26	 13	 1	 1	 2.559201e+01	 2111.jpg	 u	 7.707207e-01	 53	 
BMI_bff_351	 1	 11	 14	 0	 0	 2.741069e+01	 1115.jpg	 i	 8.800371e-01	 8	 
BMI_bff_351	 1	 34	 15	 1	 1	 2.934622e+01	 2206.jpg	 u	 1.328531e+00	 47	 
BMI_bff_351	 1	 10	 16	 1	 1	 3.173223e+01	 1114.jpg	 u	 7.425006e-01	 10	 
BMI_bff_351	 1	 40	 17	 0	 0	 3.353428e+01	 2219.jpg	 i	 8.844464e-01	 57	 
BMI_bff_351	 1	 7	 18	 0	 0	 3.546993e+01	 1108.jpg	 i	 8.367825e-01	 40	 
BMI_bff_351	 1	 12	 19	 1	 1	 3.735522e+01	 1119.jpg	 u	 7.914987e-01	 15	 
BMI_bff_351	 1	 21	 20	 1	 1	 3.920726e+01	 1218.jpg	 u	 8.274675e-01	 18	 
BMI_bff_351	 1	 20	 21	 1	 1	 4.109274e+01	 1215.jpg	 u	 1.173981e+00	 12	 
BMI_bff_351	 1	 22	 22	 0	 0	 4.331194e+01	 1219.jpg	 i	 7.387920e-01	 19	 
BMI_bff_351	 1	 38	 23	 0	 0	 4.509732e+01	 2216.jpg	 i	 8.894256e-01	 54	 
BMI_bff_351	 1	 6	 24	 0	 0	 4.703276e+01	 1106.jpg	 i	 7.779632e-01	 11	 
BMI_bff_351	 1	 25	 25	 0	 0	 4.886829e+01	 2109.jpg	 i	 7.184309e-01	 42	 
BMI_bff_351	 1	 16	 26	 0	 0	 5.063680e+01	 1210.jpg	 i	 5.259229e-01	 20	 
BMI_bff_351	 1	 33	 27	 1	 1	 5.222190e+01	 2201.jpg	 u	 6.688650e-01	 50	 
BMI_bff_351	 1	 1	 28	 0	 0	 5.394049e+01	 1101.jpg	 i	 6.462376e-01	 22	 
BMI_bff_351	 1	 14	 29	 0	 0	 5.564241e+01	 1207.jpg	 i	 8.323247e-01	 39	 
BMI_bff_351	 1	 19	 30	 1	 0	 5.752789e+01	 1214.jpg	 i	 9.948545e-01	 13	 
BMI_bff_351	 1	 13	 31	 1	 1	 5.958022e+01	 1206.jpg	 u	 7.665016e-01	 7	 
BMI_bff_351	 1	 28	 32	 0	 0	 6.139890e+01	 2113.jpg	 i	 4.838242e-01	 44	 
BMI_bff_351	 1	 36	 33	 0	 0	 6.293397e+01	 2211.jpg	 i	 1.276755e+00	 51	 
BMI_bff_351	 1	 39	 34	 0	 0	 6.526991e+01	 2217.jpg	 i	 8.128152e-01	 78	 
BMI_bff_351	 1	 5	 35	 0	 0	 6.713865e+01	 1105.jpg	 i	 1.272066e+00	 16	 
BMI_bff_351	 1	 29	 36	 0	 0	 6.945801e+01	 2115.jpg	 i	 6.247165e-01	 48	 
BMI_bff_351	 1	 15	 37	 0	 0	 7.114314e+01	 1209.jpg	 i	 9.955775e-01	 17	 
BMI_bff_351	 1	 23	 38	 0	 0	 7.319560e+01	 2101.jpg	 i	 5.191366e-01	 49	 
BMI_bff_351	 1	 8	 39	 0	 0	 7.476397e+01	 1111.jpg	 i	 7.827622e-01	 21	 
BMI_bff_351	 1	 35	 40	 1	 0	 7.659932e+01	 2209.jpg	 i	 9.794032e-01	 55	 
