Subject	StimRank	StimValue	StimName	StimNum	ValueGroup	Contingency	Go	Run	TrialInRun	Trial	TrialOnset	TrialOffset	Ladder	CueOnset	RT	KeyPressed	onsetPlanned	onset	duration
BM_118	38	0.5355062	2041.jpg	48	4	0	0	1	1	1	2.00189554300005	3.45332897200024	0.85	NaN	NaN	x	2	2.00189554300005	1.45143342900019
BM_118	78	0.2008504	1173.jpg	24	0	0	0	1	2	2	3.50356599099996	4.95557169899985	0.85	NaN	NaN	x	3.5	3.50356599099996	1.45200570799989
BM_118	46	0.4629515	1057.jpg	12	5	0.5	0	1	3	3	5.00556026300001	6.45708129700006	0.85	NaN	NaN	x	5	5.00556026300001	1.45152103400005
BM_118	72	0.3059272	1228.jpg	36	8	0	0	1	4	4	6.50683234899998	7.95857399099987	0.85	NaN	NaN	x	6.5	6.50683234899998	1.45174164199989
BM_118	35	0.5554114	2229.jpg	77	4	1	1	1	5	5	8.00885531899985	9.46008751399995	0.85	850.754738000433	1172.10861300009	b	8	8.00885531899985	1.4512321950001
BM_118	11	0.691394	2155.jpg	67	1	0	0	1	6	6	9.51041770100028	10.9620808489999	0.85	NaN	NaN	x	9.5	9.51041770100028	1.45166314799962
BM_118	40	0.5307407	1150.jpg	23	4	1	1	1	7	7	10.9953997799998	12.4470797130002	0.85	850.958900000023	1185.43564200036	b	11	10.9953997799998	1.45167993300038
BM_118	3	0.7230228	1050.jpg	10	0	0	0	1	8	8	12.496938669	13.9485907510002	0.85	NaN	NaN	x	12.5	12.496938669	1.45165208200024
BM_118	61	0.3788742	1204.jpg	30	7	0	0	1	9	9	13.9988997800001	15.4501552310003	0.85	NaN	NaN	x	14	13.9988997800001	1.45125545100018
BM_118	66	0.3559353	2053.jpg	51	8	0.5	1	1	10	10	15.500374191	16.9520502840001	0.85	850.99170400008	1200.47295199993	b	15.5	15.500374191	1.45167609300006
BM_118	41	0.5188951	2010.jpg	43	5	0.5	1	1	11	11	17.0021655139999	18.4536955140002	0.85	850.907086000007	946.627419000379	b	17	17.0021655139999	1.45153000000028
BM_118	56	0.398035	1019.jpg	5	6	0	0	1	12	12	18.5038557030002	19.955470586	0.85	NaN	NaN	x	18.5	18.5038557030002	1.45161488299982
BM_118	31	0.5741799	2110.jpg	57	3	0	0	1	13	13	20.005475638	21.4575262160001	0.85	NaN	NaN	x	20	20.005475638	1.45205057800013
BM_118	58	0.3874038	1207.jpg	31	7	0	0	1	14	14	21.5072592400002	22.9594018990001	0.85	NaN	NaN	x	21.5	21.5072592400002	1.45214265899995
BM_118	65	0.3606517	1246.jpg	37	8	0	0	1	15	15	23.0092321850002	24.4603627370002	0.85	NaN	NaN	x	23	23.0092321850002	1.451130552
BM_118	1	0.7894986	2118.jpg	60	0	0	0	1	16	16	24.5104795299999	25.9623133730001	0.85	NaN	NaN	x	24.5	24.5104795299999	1.45183384300026
BM_118	48	0.435987	1145.jpg	21	5	0	0	1	17	17	25.997379765	27.4476040250001	0.85	NaN	NaN	x	26	25.997379765	1.45022426000014
BM_118	75	0.2689673	2218.jpg	75	0	0	0	1	18	18	27.4977070800001	28.9488106590002	0.85	NaN	1139.25304299983	b	27.5	27.4977070800001	1.45110357900012
BM_118	76	0.2376479	1007.jpg	1	0	0	0	1	19	19	28.9989407640001	30.4504665280001	0.85	NaN	NaN	x	29	28.9989407640001	1.45152576400005
BM_118	19	0.624011	2063.jpg	54	2	0.5	0	1	20	20	30.5004118750003	31.9521416100001	0.85	NaN	NaN	x	30.5	30.5004118750003	1.45172973499984
BM_118	13	0.6800679	2217.jpg	74	1	1	1	1	21	21	32.0023792970001	33.4539891320001	0.85	851.238112999908	NaN	x	32	32.0023792970001	1.451609835
BM_118	67	0.3511514	1013.jpg	3	8	0.5	0	1	22	22	33.5045129260002	34.9556247670002	0.85	NaN	NaN	x	33.5	33.5045129260002	1.45111184100006
BM_118	69	0.3497867	1114.jpg	16	8	0	0	1	23	23	35.0057184460002	36.457191212	0.85	NaN	NaN	x	35	35.0057184460002	1.45147276599982
