subjectID	scanner	order	block	run	trial	onsettime	ImageLeft	ImageRight	bidIndexLeft	bidIndexRight	IsleftGo	Response	PairType	Outcome	RT	bidLeft	bidRight	FixationTime	Contingency
BM_101	NaN	1	1	1	1	NaN	2054.jpg	2154.jpg	39	35	0	NaN	4	NaN	NaN	0.5006986	0.5364034	NaN	1
BM_101	NaN	1	1	1	2	NaN	2155.jpg	2024.jpg	64	62	1	NaN	7	NaN	NaN	0.3090286	0.3267902	NaN	0.5
BM_101	NaN	1	1	1	3	NaN	2218.jpg	2128.jpg	54	53	1	NaN	6	NaN	NaN	0.393297	0.3980166	NaN	0.5
BM_101	NaN	1	1	1	4	NaN	2054.jpg	2124.jpg	39	40	0	NaN	4	NaN	NaN	0.5006986	0.4713451	NaN	1
BM_101	NaN	1	1	1	5	NaN	2008.jpg	2112.jpg	29	31	1	NaN	3	NaN	NaN	0.6029419	0.5819986	NaN	0.5
BM_101	NaN	1	1	1	6	NaN	1202.jpg	1009.jpg	30	26	0	NaN	3	NaN	NaN	0.594708	0.6319596	NaN	0.5
BM_101	NaN	1	1	1	7	NaN	2125.jpg	2149.jpg	52	50	1	NaN	6	NaN	NaN	0.4065891	0.409342	NaN	0.5
BM_101	NaN	1	1	1	8	NaN	1183.jpg	1262.jpg	65	70	1	NaN	8	NaN	NaN	0.3082253	0.2076916	NaN	1
BM_101	NaN	1	1	1	9	NaN	1262.jpg	1173.jpg	70	72	0	NaN	8	NaN	NaN	0.2076916	0.1932928	NaN	1
BM_101	NaN	1	1	1	10	NaN	2240.jpg	2221.jpg	48	46	1	NaN	5	NaN	NaN	0.4129474	0.4263407	NaN	1
BM_101	NaN	1	1	1	11	NaN	1057.jpg	2041.jpg	61	63	1	NaN	7	NaN	NaN	0.3287103	0.3241657	NaN	0.5
BM_101	NaN	1	1	1	12	NaN	2128.jpg	2016.jpg	53	49	0	NaN	6	NaN	NaN	0.3980166	0.4096056	NaN	0.5
BM_101	NaN	1	1	1	13	NaN	1145.jpg	1207.jpg	10	16	1	NaN	1	NaN	NaN	0.7865125	0.7071884	NaN	1
BM_101	NaN	1	1	1	14	NaN	2039.jpg	2118.jpg	59	57	1	NaN	7	NaN	NaN	0.3365097	0.3672055	NaN	0.5
BM_101	NaN	1	1	1	15	NaN	1182.jpg	1146.jpg	17	18	1	NaN	2	NaN	NaN	0.7036767	0.702145	NaN	0.5
BM_101	NaN	1	1	1	16	NaN	1192.jpg	1027.jpg	60	58	0	NaN	7	NaN	NaN	0.3346542	0.3545221	NaN	0.5
BM_101	NaN	1	1	1	17	NaN	2209.jpg	2125.jpg	56	52	0	NaN	6	NaN	NaN	0.3775701	0.4065891	NaN	0.5
BM_101	NaN	1	1	1	18	NaN	2128.jpg	2125.jpg	53	52	0	NaN	6	NaN	NaN	0.3980166	0.4065891	NaN	0.5
BM_101	NaN	1	1	1	19	NaN	2112.jpg	1009.jpg	31	26	0	NaN	3	NaN	NaN	0.5819986	0.6319596	NaN	0.5
BM_101	NaN	1	1	1	20	NaN	2164.jpg	1246.jpg	66	69	0	NaN	8	NaN	NaN	0.2953078	0.210888	NaN	1
BM_101	NaN	1	1	1	21	NaN	2006.jpg	1060.jpg	42	41	0	NaN	5	NaN	NaN	0.4551437	0.4636892	NaN	1
BM_101	NaN	1	1	1	22	NaN	2124.jpg	1019.jpg	40	36	1	NaN	4	NaN	NaN	0.4713451	0.5268598	NaN	1
BM_101	NaN	1	1	1	23	NaN	1182.jpg	1144.jpg	17	19	1	NaN	2	NaN	NaN	0.7036767	0.6989874	NaN	0.5
BM_101	NaN	1	1	1	24	NaN	1019.jpg	2154.jpg	36	35	0	NaN	4	NaN	NaN	0.5268598	0.5364034	NaN	1
