Subject	StimRank	StimValue	StimName	StimNum	ValueGroup	Contingency
BM_116	1	0.8949706	2125.jpg	62	0	0
BM_116	2	0.8461274	2094.jpg	56	0	0
BM_116	3	0.8030433	2089.jpg	55	0	0
BM_116	4	0.8030279	2112.jpg	59	0	0
BM_116	5	0.7823747	2248.jpg	79	0	0
BM_116	6	0.7746944	1262.jpg	40	0	0
BM_116	7	0.7714433	1031.jpg	8	0	0
BM_116	8	0.7710597	2229.jpg	77	0	0
BM_116	9	0.7308007	2039.jpg	47	1	0.5
BM_116	10	0.7238032	1114.jpg	16	1	0
BM_116	11	0.7087787	2054.jpg	52	1	0
BM_116	12	0.7066137	1035.jpg	9	1	0.5
BM_116	13	0.7041435	2249.jpg	80	1	0.5
BM_116	14	0.6969402	2124.jpg	61	1	0
BM_116	15	0.6906691	1254.jpg	38	1	0
BM_116	16	0.6815285	2010.jpg	43	1	0.5
BM_116	17	0.6750854	1115.jpg	17	2	0
BM_116	18	0.6691671	2181.jpg	69	2	1
BM_116	19	0.6664999	2041.jpg	48	2	1
BM_116	20	0.6612825	2212.jpg	73	2	0
BM_116	21	0.6608556	1028.jpg	7	2	1
BM_116	22	0.637071	2118.jpg	60	2	0
BM_116	23	0.634603	2153.jpg	65	2	0
BM_116	24	0.6212574	2043.jpg	49	2	1
BM_116	25	0.6196487	2008.jpg	42	3	1
BM_116	26	0.6154964	1210.jpg	32	3	0
BM_116	27	0.6064895	2154.jpg	66	3	0
BM_116	28	0.5962696	2053.jpg	51	3	1
BM_116	29	0.5952739	1255.jpg	39	3	1
BM_116	30	0.5951683	2149.jpg	64	3	0
BM_116	31	0.5944173	2240.jpg	78	3	0
BM_116	32	0.5888252	2016.jpg	45	3	1
BM_116	33	0.578293	2006.jpg	41	4	0.5
BM_116	34	0.573378	1246.jpg	37	4	0
BM_116	35	0.5621595	2128.jpg	63	4	0
BM_116	36	0.5544209	2221.jpg	76	4	0.5
BM_116	37	0.5425479	1228.jpg	36	4	0.5
BM_116	38	0.5388724	1182.jpg	25	4	0
BM_116	39	0.5254077	1130.jpg	19	4	0
BM_116	40	0.5111089	2063.jpg	54	4	0.5
BM_116	41	0.5055645	2164.jpg	68	5	1
BM_116	42	0.5045426	2024.jpg	46	5	0
BM_116	43	0.4942291	2201.jpg	71	5	0
BM_116	44	0.4919717	1073.jpg	14	5	1
BM_116	45	0.4828543	1019.jpg	5	5	0
BM_116	46	0.4596608	1057.jpg	12	5	1
BM_116	47	0.4579931	2218.jpg	75	5	1
BM_116	48	0.454952	1027.jpg	6	5	0
BM_116	49	0.4482493	2155.jpg	67	6	0
BM_116	50	0.4375064	1202.jpg	29	6	0.5
BM_116	51	0.4364658	1216.jpg	33	6	0.5
BM_116	52	0.4180408	2045.jpg	50	6	0
BM_116	53	0.4161769	1050.jpg	10	6	0.5
BM_116	54	0.4074023	1146.jpg	22	6	0
BM_116	55	0.3927651	1207.jpg	31	6	0
BM_116	56	0.3915626	2015.jpg	44	6	0.5
BM_116	57	0.3842916	2110.jpg	57	7	0.5
BM_116	58	0.3827356	1145.jpg	21	7	0
BM_116	59	0.3770692	2209.jpg	72	7	0
BM_116	60	0.3572401	1204.jpg	30	7	0.5
BM_116	61	0.3452415	1007.jpg	1	7	0.5
BM_116	62	0.3433226	1191.jpg	27	7	0
BM_116	63	0.3399044	2058.jpg	53	7	0
BM_116	64	0.3065415	2194.jpg	70	7	0.5
BM_116	65	0.3003777	2217.jpg	74	8	0
BM_116	66	0.2887446	2111.jpg	58	8	1
BM_116	67	0.2883129	1192.jpg	28	8	1
BM_116	68	0.2720059	1080.jpg	15	8	0
BM_116	69	0.2660661	1150.jpg	23	8	0
BM_116	70	0.2458303	1226.jpg	35	8	1
BM_116	71	0.2417758	1017.jpg	4	8	1
BM_116	72	0.2294181	1144.jpg	20	8	0
BM_116	73	0.2149351	1183.jpg	26	0	0
BM_116	74	0.1887112	1173.jpg	24	0	0
BM_116	75	0.1884736	1127.jpg	18	0	0
BM_116	76	0.1783468	1052.jpg	11	0	0
BM_116	77	0.1620613	1013.jpg	3	0	0
BM_116	78	0.1567427	1220.jpg	34	0	0
BM_116	79	0.156143	1060.jpg	13	0	0
BM_116	80	0.07215323	1009.jpg	2	0	0
