subjid scanner order block runtrial onsettime ImageLeft ImageRight TypeLeft TypeRight IsLefthigh Response PairType Outcome RT bidLeft bidRight 
BM2_262 0 1 2 1 2.025230e+00 Fritos.bmp Skittles.bmp 19 41 1 u 3 0 1064.02 0.76 0.28 
BM2_262 0 1 2 2 1.201468e+01 Streusel.bmp Granolabar.bmp 13 11 0 i 1 0 1258.57 0.87 0.96 
BM2_262 0 1 2 3 1.502153e+01 Sourpatch.bmp Twinkie.bmp 48 49 0 i 2 0 1219.71 0.09 0.09 
BM2_262 0 1 2 4 1.801169e+01 Cheezits.bmp AnimalCrackers.bmp 15 9 1 u 1 0 981.56 0.84 0.99 
BM2_262 0 1 2 5 2.202083e+01 HoHo.bmp Reeses.bmp 43 22 0 i 4 0 748.42 0.17 0.71 
BM2_262 0 1 2 6 2.601327e+01 Granolabar.bmp BabyRuth.bmp 11 14 1 u 1 0 1235.98 0.96 0.85 
BM2_262 0 1 2 7 3.002241e+01 Laysclassic.bmp Snickers.bmp 45 23 0 i 3 0 1010.84 0.13 0.71 
BM2_262 0 1 2 8 3.401485e+01 Sourpatch.bmp Cupcakes.bmp 48 46 0 i 2 0 1034.39 0.09 0.10 
BM2_262 0 1 2 9 4.001186e+01 MilkyWay.bmp FlamingCheetos.bmp 40 21 0 u 4 1 1173.39 0.28 0.73 
BM2_262 0 1 2 10 4.402100e+01 Whatchamacallit.bmp Goldfish.bmp 10 8 0 i 1 0 876.25 0.99 1.00 
BM2_262 0 1 2 11 4.702785e+01 Fritos.bmp 3Musketeers.bmp 19 42 1 u 3 0 1141.39 0.76 0.21 
BM2_262 0 1 2 12 5.001801e+01 Laffytaffyred_one.bmp Jollyrancherred.bmp 53 52 1 i 2 1 1079.24 0.06 0.06 
BM2_262 0 1 2 13 5.402715e+01 3Musketeers.bmp Cheetos.bmp 42 16 0 i 3 0 1198.09 0.21 0.83 
BM2_262 0 1 2 14 6.301431e+01 Laysclassic.bmp Fritos.bmp 45 19 0 i 3 0 850.93 0.13 0.76 
BM2_262 0 1 2 15 7.001360e+01 AnimalCrackers.bmp Goldfish.bmp 9 8 0 i 1 0 1147.64 0.99 1.00 
BM2_262 0 1 2 16 7.502503e+01 Reeses.bmp Hersheykisses.bmp 22 39 1 u 4 0 808.21 0.71 0.30 
BM2_262 0 1 2 17 7.901747e+01 Cupcakes.bmp Ghiradelli_milk.bmp 46 47 1 i 2 1 1063.77 0.10 0.10 
BM2_262 0 1 2 18 8.202432e+01 Skittles.bmp Snickers.bmp 41 23 0 i 3 0 944.92 0.28 0.71 
BM2_262 0 1 2 19 8.601676e+01 Fritos.bmp KitKat_small.bmp 19 38 1 u 3 0 1120.49 0.76 0.37 
