subjid scanner order block runtrial onsettime ImageLeft ImageRight TypeLeft TypeRight IsLefthigh Response PairType Outcome RT bidLeft bidRight 
BM2_281 0 1 2 46 2.260177e+02 Laffytaffyred_one.bmp CheesyDoritos.bmp 44 21 0 i 4 0 541.50 0.60 1.45 
BM2_281 0 1 2 47 2.310125e+02 Toberlorone.bmp Jollyrancherred.bmp 53 48 1 i 2 1 610.77 0.26 0.49 
BM2_281 0 1 2 48 2.380285e+02 Doritosranch.bmp SnoBall.bmp 14 15 0 u 1 1 586.78 1.75 1.60 
BM2_281 0 1 2 49 2.420209e+02 Jollyrancherred.bmp FrootLoops.bmp 48 49 0 i 2 0 690.35 0.49 0.46 
BM2_281 0 1 2 50 2.520270e+02 MilkyWay.bmp Laysclassic.bmp 41 23 0 u 3 1 780.19 0.68 1.21 
BM2_281 0 1 2 51 2.620165e+02 PringlesRed.bmp Toberlorone.bmp 52 53 0 i 2 0 838.75 0.36 0.26 
BM2_281 0 1 2 52 2.660256e+02 Laffytaffyred_one.bmp Hersheykisses.bmp 44 22 0 i 4 0 773.61 0.60 1.25 
BM2_281 0 1 2 53 2.730249e+02 FrootLoops.bmp Lollipopred.bmp 49 51 1 u 2 0 814.32 0.46 0.36 
BM2_281 0 1 2 54 2.770174e+02 MilkyWay.bmp Snickers.bmp 41 16 0 i 3 0 877.89 0.68 1.57 
BM2_281 0 1 2 55 2.810265e+02 Doritosranch.bmp Oreos.bmp 14 12 0 i 1 0 828.74 1.75 1.95 
BM2_281 0 1 2 56 2.850189e+02 Jollyranchergreen.bmp Hersheykisses.bmp 39 22 0 i 4 0 860.29 0.70 1.25 
BM2_281 0 1 2 57 2.880258e+02 Dots_one.bmp Hersheykisses.bmp 43 22 0 i 4 0 701.45 0.67 1.25 
BM2_281 0 1 2 58 2.910159e+02 Cheezits.bmp Streusel.bmp 8 10 1 u 1 0 927.30 2.00 1.99 
BM2_281 0 1 2 59 2.950251e+02 100grand_small.bmp ChipsAhoy_small.bmp 45 20 0 i 3 0 830.15 0.59 1.53 
BM2_281 0 1 2 60 2.980152e+02 CheesyDoritos.bmp Jollyranchergreen.bmp 21 39 1 u 4 0 824.01 1.45 0.70 
BM2_281 0 1 2 61 3.010221e+02 Chocolate_mm.bmp Ghiradelli_milk_Almonds.bmp 42 19 0 i 3 0 1129.14 0.67 1.54 
BM2_281 0 1 2 62 3.080214e+02 Fritos.bmp PringlesRed.bmp 50 52 1 u 2 0 833.86 0.42 0.36 
BM2_281 0 1 2 63 3.130161e+02 Cheetos.bmp Jollyranchergreen.bmp 17 39 1 u 4 0 679.13 1.55 0.70 
BM2_281 0 1 2 64 3.200154e+02 PringlesRed.bmp FrootLoops.bmp 52 49 0 i 2 0 807.84 0.36 0.46 
