subjid	scanner	order	block	runtrial	onsettime	ImageLeft	ImageRight	TypeLeft	TypeRight	IsLefthigh	Response	PairType	Outcome	RT	bidLeft	bidRight	timeFixLeft	timeFixMid	timeFixRight	numLeftFix	numMidFix	numRightFix	firstFix	firstFixTime
BM2_984	0	2	1	1	2.02E+00	Laysclassic.bmp	Reeses.bmp	15	14	0	i	1	1	1030.34	1.75	1.75	0	0.242	0.776	0	2	2	r	0.026
BM2_984	0	2	1	2	1.30E+01	PopTartsStrawberry.bmp	Cheetos.bmp	20	38	1	x	4	999	999000	1.55	0.99	0.784	0.527	1.178	2	5	3	r	0.236
BM2_984	0	2	1	3	1.70E+01	Crunch.bmp	Hersheymilk_several.bmp	49	48	0	u	2	0	2078.67	0.56	0.56	0.974	0.471	0.632	2	3	1	l	0.224
BM2_984	0	2	1	4	2.30E+01	Laffytaffyred_one.bmp	PeanutMMs.bmp	46	47	0	i	2	1	2094.08	0.57	0.57	0.48	0.435	1.178	2	4	2	l	0.168
BM2_984	0	2	1	5	3.30E+01	Hersheymilk_several.bmp	Laffytaffyred_one.bmp	48	46	1	u	2	1	1749.82	0.56	0.57	0.978	0.366	0.404	2	3	1	l	0.228
BM2_984	0	2	1	6	4.00E+01	Cheetos.bmp	Cheezits.bmp	38	16	0	x	4	999	999000	0.99	1.75	0.696	0.664	1.122	2	4	2	l	0.288
BM2_984	0	2	1	7	4.40E+01	MrsFields.bmp	PopTartsStrawberry.bmp	41	20	0	u	4	0	1473.4	0.83	1.55	0.75	0.378	0.344	1	2	1	r	0.344
BM2_984	0	2	1	8	5.80E+01	RiceKrispyTreat_small.bmp	Granolabar.bmp	45	23	0	i	4	1	1453.76	0.59	1.53	0.22	0.482	0.75	1	2	1	l	0.22
BM2_984	0	2	1	9	6.90E+01	Chocolate_mm.bmp	PayDay.bmp	51	50	1	u	2	1	1857.02	0.55	0.56	1.006	0.449	0.4	4	5	1	l	0.02
BM2_984	0	2	1	10	7.50E+01	Chocolate_mm.bmp	Crunch.bmp	51	49	1	i	2	0	2220.12	0.55	0.56	0.3	0.744	1.174	1	3	2	r	0.424
BM2_984	0	2	1	11	7.90E+01	Ghiradelli_milk_Almonds.bmp	Laysclassic.bmp	13	15	1	i	1	0	1704.85	1.95	1.75	0.423	0.299	0.982	2	4	2	r	0.232
BM2_984	0	2	1	12	8.30E+01	PopTartsStrawberry.bmp	Butterfinger.bmp	20	42	1	x	4	999	999000	1.55	0.65	0.716	1.051	0.728	5	7	2	r	0.232
BM2_984	0	2	1	13	8.70E+01	Cheetos.bmp	Granolabar.bmp	38	23	0	u	4	0	1262.73	0.99	1.53	0.767	0.495	0	3	3	0	l	0.008
BM2_984	0	2	1	14	9.80E+01	Ghiradelli_milk.bmp	SourSkittles.bmp	40	18	0	u	3	0	1057.46	0.93	1.69	0.75	0.306	0	1	1	0	l	0.75
BM2_984	0	2	1	15	1.02E+02	100grand_small.bmp	MilkyWay.bmp	53	52	0	u	2	0	1978.9	0.51	0.53	1.186	0.359	0.432	2	3	1	l	0.436
BM2_984	0	2	1	16	1.13E+02	SourSkittles.bmp	Dots_one.bmp	18	39	1	u	3	1	1833.76	1.69	0.97	0.75	0.414	0.668	1	2	1	r	0.668
BM2_984	0	2	1	17	1.17E+02	TeddyGrahamschocolate.bmp	Skittles.bmp	10	8	1	i	1	0	2270.41	1.97	1.97	0.628	0.403	1.238	2	4	2	l	0.292
BM2_984	0	2	1	18	1.21E+02	Fritos.bmp	Dots_one.bmp	21	39	1	u	3	1	1823.63	1.54	0.97	1.058	0.328	0.436	2	3	1	l	0.308
BM2_984	0	2	1	19	1.26E+02	MrsFields.bmp	Cheezits.bmp	41	16	0	i	4	1	1339.59	0.83	1.75	0.328	0.26	0.75	1	2	1	l	0.328
BM2_984	0	2	1	20	1.31E+02	ChipsAhoy_small.bmp	Lollipopred.bmp	17	43	1	u	3	1	1039.4	1.7	0.61	0.75	0.288	0	1	1	0	l	0.75
BM2_984	0	2	1	21	1.36E+02	MrsFields.bmp	FlamingCheetos.bmp	41	19	0	i	4	1	1795.17	0.83	1.63	0.392	0.223	1.178	1	3	2	r	0.428
BM2_984	0	2	1	22	1.43E+02	Fritos.bmp	Ghiradelli_milk.bmp	21	40	1	u	3	1	1046.12	1.54	0.93	0.762	0.283	0	2	2	0	l	0.012
BM2_984	0	2	1	23	1.48E+02	FrootLoops.bmp	Fritos.bmp	44	21	0	i	3	1	925.84	0.61	1.54	0	0.174	0.75	0	1	1	r	0.75
BM2_984	0	2	1	24	1.58E+02	Laffytaffyred_one.bmp	Chocolate_mm.bmp	46	51	0	i	2	1	2121.42	0.57	0.55	0.424	0.582	1.114	1	3	2	r	0.364
BM2_984	0	2	1	25	1.67E+02	Cheezits.bmp	RiceKrispyTreat_small.bmp	16	45	1	u	4	1	1498.72	1.75	0.59	0.75	0.339	0.408	1	2	1	r	0.408
BM2_984	0	2	1	26	1.72E+02	Hersheymilk_several.bmp	100grand_small.bmp	48	53	1	u	2	1	2106.48	0.56	0.51	1.194	0.299	0.612	2	3	1	l	0.444
BM2_984	0	2	1	27	1.76E+02	MrGoodbar.bmp	Dots_one.bmp	22	39	1	i	3	0	2207.22	1.53	0.97	0.608	0.324	1.274	1	3	2	r	0.524
BM2_984	0	2	1	28	1.81E+02	PeanutMMs.bmp	PayDay.bmp	47	50	1	u	2	1	1895.68	0.57	0.56	1.07	0.448	0.376	2	3	1	l	0.32
BM2_984	0	2	1	29	1.85E+02	MrsFields.bmp	Granolabar.bmp	41	23	0	x	4	999	999000	0.83	1.53	0.964	0.397	1.132	2	5	3	r	0.224
BM2_984	0	2	1	30	1.90E+02	SourSkittles.bmp	FrootLoops.bmp	18	44	1	u	3	1	2047.94	1.69	0.61	1.25	0.421	0.376	2	3	1	l	0.5
BM2_984	0	2	1	31	1.94E+02	Laysclassic.bmp	Doritosranch.bmp	15	9	0	i	1	1	1340.61	1.75	1.97	0.316	0.273	0.75	1	2	1	l	0.316
BM2_984	0	2	1	32	2.01E+02	Toberlorone.bmp	TeddyGrahamschocolate.bmp	12	10	0	i	1	1	1823.55	1.96	1.97	0.388	0.204	1.23	1	3	2	r	0.48
BM2_984	0	2	1	33	2.05E+02	Butterfinger.bmp	Granolabar.bmp	42	23	0	i	4	1	1844.24	0.65	1.53	0.54	0.317	0.986	1	3	2	r	0.236
BM2_984	0	2	1	34	2.10E+02	Lollipopred.bmp	Fritos.bmp	43	21	0	i	3	1	1376.08	0.61	1.54	0.336	0.289	0.75	1	2	1	l	0.336
BM2_984	0	2	1	35	2.16E+02	PeanutMMs.bmp	Crunch.bmp	47	49	1	u	2	1	2019.06	0.57	0.56	1.062	0.275	0.68	2	4	2	r	0.284
BM2_984	0	2	1	36	2.20E+02	PeanutMMs.bmp	100grand_small.bmp	47	53	1	x	2	999	999000	0.57	0.51	1.12	0.501	0.876	3	5	2	l	0.28
BM2_984	0	2	1	37	2.24E+02	Skittles.bmp	Doritosranch.bmp	8	9	0	i	1	1	1333.11	1.97	1.97	0.332	0.25	0.75	1	2	1	l	0.332
BM2_984	0	2	1	38	2.28E+02	Ghiradelli_milk.bmp	MrGoodbar.bmp	40	22	0	u	3	0	1357.68	0.93	1.53	0.75	0.182	0.424	1	2	1	r	0.424
BM2_984	0	2	1	39	2.32E+02	MilkyWay.bmp	Crunch.bmp	52	49	1	i	2	0	2426.26	0.53	0.56	0.664	0.37	1.39	2	5	3	r	0.228
BM2_984	0	2	1	40	2.37E+02	Reeses.bmp	FamousAmos_small.bmp	14	11	1	u	1	1	2006.14	1.75	1.96	1.19	0.311	0.504	2	3	1	l	0.44
BM2_984	0	2	1	41	2.43E+02	FamousAmos_small.bmp	Ghiradelli_milk_Almonds.bmp	11	13	0	u	1	0	2241.82	1.96	1.95	1.154	0.386	0.7	2	4	2	r	0.3
BM2_984	0	2	1	42	2.48E+02	FrootLoops.bmp	MrGoodbar.bmp	44	22	0	i	3	1	2101.59	0.61	1.53	0.596	0.49	1.014	1	3	2	r	0.264
BM2_984	0	2	1	43	2.53E+02	FlamingCheetos.bmp	RiceKrispyTreat_small.bmp	19	45	1	u	4	1	1017.48	1.63	0.59	0.75	0.266	0	1	1	0	l	0.75
