subjid	scanner	order	block	runtrial	onsettime	ImageLeft	ImageRight	TypeLeft	TypeRight	IsLefthigh	Response	PairType	Outcome	RT	bidLeft	bidRight	timeFixLeft	timeFixMid	timeFixRight	numLeftFix	numMidFix	numRightFix	firstFix	firstFixTime
BM2_984	0	2	1	44	2.58E+02	PopTartsStrawberry.bmp	RiceKrispyTreat_small.bmp	20	45	1	u	4	1	1789.31	1.55	0.59	1.014	0.398	0.376	2	3	1	l	0.264
BM2_984	0	2	1	45	2.65E+02	Toberlorone.bmp	Ghiradelli_milk_Almonds.bmp	12	13	0	i	1	1	2172.18	1.96	1.95	0.576	0.461	1.134	3	5	2	l	0.012
BM2_984	0	2	1	46	2.72E+02	Toberlorone.bmp	Reeses.bmp	12	14	0	i	1	1	1346.4	1.96	1.75	0.24	0.355	0.75	1	2	1	l	0.24
BM2_984	0	2	1	47	2.78E+02	ChipsAhoy_small.bmp	FrootLoops.bmp	17	44	1	u	3	1	2013.41	1.7	0.61	1.13	0.354	0.528	2	3	1	l	0.38
BM2_984	0	2	1	48	2.86E+02	MilkyWay.bmp	Laffytaffyred_one.bmp	52	46	1	x	2	999	999000	0.53	0.57	1.239	0.868	0.384	3	4	1	l	0.376
BM2_984	0	2	1	49	2.91E+02	TeddyGrahamschocolate.bmp	Laysclassic.bmp	10	15	1	i	1	0	1343.03	1.97	1.75	0.344	0.247	0.75	1	2	1	l	0.344
BM2_984	0	2	1	50	3.02E+02	Chocolate_mm.bmp	100grand_small.bmp	51	53	1	u	2	1	1058.61	0.55	0.51	0.75	0.307	0	1	1	0	l	0.75
BM2_984	0	2	1	51	3.13E+02	ChipsAhoy_small.bmp	Ghiradelli_milk.bmp	17	40	1	i	3	0	1773.57	1.7	0.93	0.367	0.248	1.138	2	3	2	l	0.087
BM2_984	0	2	1	52	3.18E+02	Cheetos.bmp	FlamingCheetos.bmp	38	19	0	i	4	1	2209.24	0.99	1.63	0.584	0.525	1.098	2	4	2	l	0.268
BM2_984	0	2	1	53	3.26E+02	Skittles.bmp	Ghiradelli_milk_Almonds.bmp	8	13	0	u	1	0	1959.46	1.97	1.95	0.774	1.184	0	2	2	0	l	0.024
BM2_984	0	2	1	54	3.31E+02	FamousAmos_small.bmp	TeddyGrahamschocolate.bmp	11	10	0	i	1	1	1623.03	1.96	1.97	0.156	0.716	0.75	1	2	1	l	0.156
BM2_984	0	2	1	55	3.36E+02	Skittles.bmp	Reeses.bmp	8	14	0	i	1	1	2039.1	1.97	1.75	0	1.288	0.75	0	1	1	r	0.75
BM2_984	0	2	1	56	3.41E+02	MilkyWay.bmp	PayDay.bmp	52	50	1	x	2	999	999000	0.53	0.56	1.106	0.888	0.5	4	5	1	l	0.252
BM2_984	0	2	1	57	3.45E+02	Butterfinger.bmp	Cheezits.bmp	42	16	0	i	4	1	1272.15	0.65	1.75	0.228	0.293	0.75	1	2	1	l	0.228
BM2_984	0	2	1	58	3.49E+02	Doritosranch.bmp	Toberlorone.bmp	9	12	1	u	1	1	1168.8	1.97	1.96	0.75	0.289	0.128	1	2	1	r	0.128
BM2_984	0	2	1	59	3.54E+02	Butterfinger.bmp	FlamingCheetos.bmp	42	19	0	i	4	1	1004.66	0.65	1.63	0	0.253	0.75	0	1	1	r	0.75
BM2_984	0	2	1	60	3.58E+02	FamousAmos_small.bmp	Doritosranch.bmp	11	9	0	i	1	1	1010.02	1.96	1.97	0	0.259	0.75	0	1	1	r	0.75
BM2_984	0	2	1	61	3.62E+02	MrGoodbar.bmp	Lollipopred.bmp	22	43	1	u	3	1	1230.65	1.53	0.61	0.75	0.167	0.312	1	2	1	r	0.312
BM2_984	0	2	1	62	3.70E+02	Lollipopred.bmp	SourSkittles.bmp	43	18	0	i	3	1	1171.96	0.61	1.69	0	0.42	0.75	0	1	1	r	0.75
BM2_984	0	2	1	63	3.76E+02	ChipsAhoy_small.bmp	Dots_one.bmp	17	39	1	u	3	1	1534.96	1.7	0.97	0.75	0.783	0	1	1	0	l	0.75
BM2_984	0	2	1	64	3.83E+02	Hersheymilk_several.bmp	PayDay.bmp	48	50	1	u	2	1	1485.7	0.56	0.56	0.75	0.338	0.396	1	2	1	r	0.396
