1201.jpg	12	3	8.518848e-01	22	
1206.jpg	12	4	8.407388e-01	27	
1202.jpg	12	7	7.162328e-01	23	
1106.jpg	11	8	6.923831e-01	6	
1213.jpg	11	9	6.799627e-01	34	
1103.jpg	12	10	6.600582e-01	3	
1215.jpg	11	11	6.263679e-01	36	
1214.jpg	12	12	5.828235e-01	35	
1208.jpg	12	13	5.785703e-01	29	
1110.jpg	11	14	5.759416e-01	10	
1216.jpg	12	15	5.740661e-01	37	
1209.jpg	11	16	5.675865e-01	30	
1121.jpg	11	17	5.557238e-01	21	
1114.jpg	12	18	5.234639e-01	14	
1117.jpg	12	19	5.205286e-01	17	
1105.jpg	12	20	5.051441e-01	5	
1109.jpg	12	21	4.924166e-01	9	
1115.jpg	12	22	4.911313e-01	15	
1112.jpg	12	37	1.970901e-01	12	
1120.jpg	12	38	1.711325e-01	20	
2218.jpg	24	43	7.945195e-01	39	
2206.jpg	24	44	7.881890e-01	27	
2207.jpg	24	47	7.603625e-01	28	
2211.jpg	22	48	7.312808e-01	32	
2121.jpg	22	49	6.957029e-01	21	
2209.jpg	24	50	6.804640e-01	30	
2106.jpg	22	51	6.784610e-01	6	
2217.jpg	24	52	6.488573e-01	38	
2215.jpg	24	53	6.229523e-01	36	
2204.jpg	22	54	6.222640e-01	25	
2111.jpg	24	55	6.109938e-01	11	
2208.jpg	22	56	5.852350e-01	29	
2213.jpg	22	57	5.616357e-01	34	
2115.jpg	24	58	5.336311e-01	15	
2203.jpg	24	59	5.304216e-01	24	
2109.jpg	24	60	5.282407e-01	9	
2212.jpg	24	61	5.188640e-01	33	
2202.jpg	24	62	4.889627e-01	23	
2113.jpg	24	77	2.220278e-01	13	
2104.jpg	24	78	1.834171e-01	4	

