subjectID	 order	 itemIndABC	 runtrial	 isGO?	 subjectAnswer	 onsettime	 Name	 resp_choice	 RT	 bidInd
bfer_106	 2	 29	 1	 0	 1	 3.028379e-02	 2203.jpg	 i	 4.018216e+00	 47	 
bfer_106	 2	 17	 2	 0	 0	 5.102533e+00	 1212.jpg	 u	 1.233981e+00	 15	 
bfer_106	 2	 5	 3	 0	 0	 7.388507e+00	 1108.jpg	 u	 1.620027e+00	 37	 
bfer_106	 2	 35	 4	 0	 1	 1.005809e+01	 2213.jpg	 i	 9.104100e-01	 59	 
bfer_106	 2	 20	 5	 0	 0	 1.202711e+01	 1218.jpg	 u	 2.613406e+00	 7	 
bfer_106	 2	 25	 6	 0	 0	 1.569776e+01	 2116.jpg	 u	 1.374739e+00	 55	 
bfer_106	 2	 32	 7	 0	 0	 1.811711e+01	 2207.jpg	 u	 1.955411e+00	 50	 
bfer_106	 2	 24	 8	 0	 1	 2.112054e+01	 2115.jpg	 i	 8.079603e-01	 62	 
bfer_106	 2	 1	 9	 1	 1	 2.297265e+01	 1101.jpg	 i	 1.331862e+00	 9	 
bfer_106	 2	 38	 10	 1	 1	 2.535860e+01	 2216.jpg	 i	 1.633896e+00	 48	 
bfer_106	 2	 2	 11	 0	 1	 2.804495e+01	 1103.jpg	 i	 3.763545e+00	 12	 
bfer_106	 2	 37	 12	 1	 0	 3.286705e+01	 2215.jpg	 u	 1.221455e+00	 56	 
bfer_106	 2	 16	 13	 1	 0	 3.513626e+01	 1211.jpg	 u	 1.032252e+00	 17	 
bfer_106	 2	 7	 14	 0	 0	 3.722201e+01	 1111.jpg	 u	 2.970499e+00	 19	 
bfer_106	 2	 39	 15	 0	 1	 4.124320e+01	 2218.jpg	 i	 1.245307e+00	 43	 
bfer_106	 2	 8	 16	 0	 0	 4.354575e+01	 1113.jpg	 u	 9.907959e-01	 10	 
bfer_106	 2	 19	 17	 1	 1	 4.558141e+01	 1216.jpg	 i	 1.019094e+00	 16	 
bfer_106	 2	 13	 18	 0	 0	 4.765035e+01	 1205.jpg	 u	 9.181505e-01	 20	 
bfer_106	 2	 31	 19	 0	 0	 4.961922e+01	 2205.jpg	 u	 8.452919e-01	 52	 
bfer_106	 2	 21	 20	 0	 0	 5.152134e+01	 2101.jpg	 u	 1.039166e+00	 61	 
bfer_106	 2	 11	 21	 1	 0	 5.360696e+01	 1121.jpg	 u	 1.129539e+00	 14	 
bfer_106	 2	 14	 22	 1	 0	 5.579278e+01	 1208.jpg	 u	 9.437210e-01	 8	 
bfer_106	 2	 4	 23	 1	 0	 5.779514e+01	 1105.jpg	 u	 7.413687e-01	 11	 
bfer_106	 2	 9	 24	 0	 0	 5.958037e+01	 1115.jpg	 u	 7.401214e-01	 18	 
bfer_106	 2	 22	 25	 0	 1	 6.136580e+01	 2102.jpg	 i	 1.002697e+00	 78	 
bfer_106	 2	 10	 26	 0	 0	 6.341801e+01	 1117.jpg	 u	 1.054483e+00	 38	 
bfer_106	 2	 40	 27	 1	 0	 6.552046e+01	 2219.jpg	 u	 1.528037e+00	 54	 
bfer_106	 2	 18	 28	 0	 0	 6.810665e+01	 1215.jpg	 u	 1.309872e+00	 22	 
bfer_106	 2	 33	 29	 0	 0	 7.047591e+01	 2210.jpg	 u	 6.212610e+00	 58	 
bfer_106	 2	 30	 30	 1	 0	 7.773425e+01	 2204.jpg	 u	 1.162246e+00	 51	 
bfer_106	 2	 6	 31	 0	 0	 7.995332e+01	 1110.jpg	 u	 1.519177e+00	 21	 
bfer_106	 2	 36	 32	 0	 1	 8.252285e+01	 2214.jpg	 i	 4.501650e+00	 60	 
bfer_106	 2	 12	 33	 0	 0	 8.807904e+01	 1202.jpg	 u	 1.201458e+00	 3	 
bfer_106	 2	 26	 34	 0	 0	 9.033167e+01	 2119.jpg	 u	 1.036832e+00	 77	 
bfer_106	 2	 28	 35	 0	 0	 9.241733e+01	 2202.jpg	 u	 1.703170e+00	 44	 
bfer_106	 2	 34	 36	 1	 0	 9.517034e+01	 2212.jpg	 u	 4.566157e+00	 57	 
bfer_106	 2	 23	 37	 0	 0	 1.007934e+02	 2109.jpg	 u	 6.551493e-01	 53	 
bfer_106	 2	 3	 38	 0	 1	 1.024953e+02	 1104.jpg	 i	 1.233244e+00	 13	 
bfer_106	 2	 15	 39	 0	 1	 1.047812e+02	 1209.jpg	 i	 1.227294e+00	 4	 
bfer_106	 2	 27	 40	 1	 0	 1.070671e+02	 2201.jpg	 u	 9.493712e-01	 49	 
