subjectID	order	itemIndABC	stimName	bidInd	runtrial	isOld?	subjectAnswerIsFamiliar	onsettime_isFamiliar	resp_isFamiliar	RT_isFamiliar	isGo?	subjectAnswerIsGo	onsettime_isGo	resp_isGo	RT_isGo
BMI_bff_127	1	24	305_erdan_gilad.jpg	13	1	1	3	3.063029e-02	3	2.786499e+00	1	3	3.351057e+00	3	3.002069e+00	
BMI_bff_127	1	25	306_gafni_moshe.jpg	49	2	1	4	7.906106e+00	4	2.759023e+00	0	2	1.120995e+01	2	2.751179e+00	
BMI_bff_127	1	5	111_odeh_aiman.jpg	52	3	1	4	1.551468e+01	4	2.654480e+00	1	3	1.870158e+01	3	2.867537e+00	
BMI_bff_127	1	23	303_deri_arye.jpg	53	4	1	1	2.312320e+01	1	2.725931e+00	1	3	2.639355e+01	3	1.719574e+00	
BMI_bff_127	1	4	109_michaeli_meirav.jpg	5	5	1	1	2.966395e+01	1	1.777186e+00	0	3	3.198319e+01	3	3.225938e+00	
BMI_bff_127	1	19	216_sharom_ariel.jpg	46	6	1	1	3.675521e+01	1	1.829916e+00	0	2	3.912456e+01	2	2.708603e+00	
BMI_bff_127	1	3	108_khenin_dov.jpg	8	7	1	1	4.339595e+01	1	3.045177e+00	0	2	4.698341e+01	2	3.753720e+00	
BMI_bff_127	1	22	301_benet_naftali.jpg	55	8	1	2	5.228937e+01	2	3.343763e+00	0	4	5.617702e+01	4	2.720112e+00	
BMI_bff_127	1	16	212_olmert_ehud.jpg	43	9	1	1	6.044847e+01	1	1.856663e+00	0	2	6.283469e+01	2	1.854493e+00	
BMI_bff_127	1	9	118_yacimovich_shelly.jpg	11	10	1	1	6.623835e+01	1	3.042805e+00	0	4	6.982574e+01	4	1.727387e+00	
BMI_bff_127	1	21	220_tamnu_shata_penina.jpg	15	11	1	5	7.311281e+01	5	3.224319e+00	1	2	7.686697e+01	2	5.342164e+00	
BMI_bff_127	1	17	213_perry_yaakov.jpg	10	12	1	5	8.375801e+01	5	3.347126e+00	1	2	8.764572e+01	2	2.211408e+00	
BMI_bff_127	1	7	115_shimon_peres.jpg	9	13	1	1	9.141660e+01	1	1.472553e+00	0	2	9.341885e+01	2	1.398284e+00	
BMI_bff_127	1	10	120_zuabi_hanin.jpg	14	14	1	2	9.637211e+01	2	3.501017e+00	0	2	1.004100e+02	2	1.263085e+00	
BMI_bff_127	1	14	210_mofaz_shaul.jpg	47	15	1	2	1.032299e+02	2	2.555195e+00	1	2	1.063167e+02	2	2.028458e+00	
BMI_bff_127	1	20	218_shitrit_meir.jpg	45	16	1	2	1.099040e+02	2	2.681115e+00	1	4	1.131244e+02	4	9.327787e-01	
BMI_bff_127	1	18	214_piron_shai.jpg	56	17	1	5	1.156105e+02	5	1.686752e+00	0	2	1.178296e+02	2	1.267563e+00	
BMI_bff_127	1	15	211_molla_shlomo.jpg	16	18	1	5	1.206495e+02	5	3.135664e+00	0	3	1.243202e+02	3	4.072879e+00	
BMI_bff_127	1	28	320_yaalon_moshe.jpg	54	19	1	2	1.299433e+02	2	1.969799e+00	0	1	1.324460e+02	1	1.563101e+00	
BMI_bff_127	1	11	201_baron_roni.jpg	51	20	1	3	1.355662e+02	3	3.394976e+00	0	2	1.395040e+02	2	1.969149e+00	
BMI_bff_127	1	26	309_katz_yisrael.jpg	48	21	1	3	1.430246e+02	3	4.664528e+00	0	2	1.482304e+02	2	1.946772e+00	
BMI_bff_127	1	6	114_shafir_stav.jpg	6	22	1	1	1.517345e+02	1	1.722636e+00	0	3	1.539869e+02	3	2.294216e+00	
BMI_bff_127	1	12	204_galant_yoav.jpg	17	23	1	4	1.578412e+02	4	3.503921e+00	0	2	1.618791e+02	2	1.322043e+00	
BMI_bff_127	1	13	206_itzik_dalia.jpg	12	24	1	2	1.647489e+02	2	1.884215e+00	1	3	1.671683e+02	3	4.008835e+00	
BMI_bff_127	1	8	117_tibi_ahmed.jpg	18	25	1	2	1.727247e+02	2	2.300401e+00	1	2	1.755611e+02	2	2.544009e+00	
BMI_bff_127	1	2	107_horowitz_nitzan.jpg	7	26	1	2	1.796657e+02	2	3.815442e+00	1	2	1.840206e+02	2	6.365603e-01	
BMI_bff_127	1	1	103_cabel_eitan.jpg	44	27	1	3	1.862064e+02	3	2.058735e+00	1	2	1.888095e+02	2	1.135657e+00	
BMI_bff_127	1	27	319_steinitz_yuval.jpg	50	28	1	5	1.914958e+02	5	2.825314e+00	1	3	1.948494e+02	3	2.159751e+00	
