subjectID	order	itemIndABC	stimName	bidInd	runtrial	isOld?	subjectAnswerIsFamiliar	onsettime_isFamiliar	resp_isFamiliar	RT_isFamiliar	isGo?	subjectAnswerIsGo	onsettime_isGo	resp_isGo	RT_isGo
BMI_bff_102	2	13	205_german_yael.jpg	16	1	1	1	2.254513e-02	1	2.017068e+00	1	1	2.591747e+00	1	1.815873e+00	
BMI_bff_102	2	10	120_zuabi_hanin.jpg	52	2	1	1	5.962549e+00	1	1.861070e+00	0	5	8.365022e+00	5	4.665956e-01	
BMI_bff_102	2	23	309_katz_yisrael.jpg	50	3	1	1	1.038417e+01	1	1.543433e+00	0	5	1.246982e+01	5	5.137952e-01	
BMI_bff_102	2	22	308_hotovely_tzipi.jpg	49	4	1	1	1.453880e+01	1	1.092812e+00	1	1	1.617394e+01	1	1.569690e+00	
BMI_bff_102	2	8	118_yacimovich_shelly.jpg	6	5	1	1	1.929416e+01	1	1.009461e+00	0	5	2.084588e+01	5	9.137312e-01	
BMI_bff_102	2	4	111_odeh_aiman.jpg	47	6	1	2	2.331524e+01	2	2.908376e+00	0	5	2.676934e+01	5	1.118273e+00	
BMI_bff_102	2	17	214_piron_shai.jpg	17	7	1	1	2.943875e+01	1	1.392864e+00	1	1	3.137434e+01	1	9.532730e-01	
BMI_bff_102	2	3	108_khenin_dov.jpg	5	8	1	1	3.387706e+01	1	1.034536e+00	0	5	3.544557e+01	5	4.020453e-01	
BMI_bff_102	2	21	302_danon_danny.jpg	46	9	1	2	3.739738e+01	2	1.466237e+00	1	1	3.940000e+01	1	7.036160e-01	
BMI_bff_102	2	1	101_barak_ehud.jpg	11	10	1	1	4.165245e+01	1	8.351731e-01	1	1	4.302069e+01	1	3.389642e-01	
BMI_bff_102	2	28	320_yaalon_moshe.jpg	15	11	1	1	4.492278e+01	1	1.252847e+00	0	5	4.670817e+01	5	3.474637e-01	
BMI_bff_102	2	27	318_shalom_silvan.jpg	45	12	1	1	4.861031e+01	1	1.485325e+00	0	5	5.062926e+01	5	7.943588e-01	
BMI_bff_102	2	18	217_shelach_ofer.jpg	14	13	1	1	5.298188e+01	1	8.977227e-01	1	1	5.441683e+01	1	2.867897e-01	
BMI_bff_102	2	25	314_netanyahu.jpg	51	14	1	1	5.625226e+01	1	6.353577e-01	1	1	5.742013e+01	1	2.434937e-01	
BMI_bff_102	2	5	112_peretz_amir.jpg	10	15	1	1	5.922213e+01	1	8.014668e-01	0	5	6.055706e+01	5	2.745584e-01	
BMI_bff_102	2	11	201_baron_roni.jpg	43	16	1	1	6.239238e+01	1	7.912374e-01	1	1	6.372718e+01	1	2.884498e-01	
BMI_bff_102	2	15	207_lapid_yair.jpg	7	17	1	1	6.556266e+01	1	9.729574e-01	0	5	6.708094e+01	5	4.066808e-01	
BMI_bff_102	2	12	202_cahlon_moshe.jpg	48	18	1	1	6.904991e+01	1	9.257042e-01	1	1	7.051816e+01	1	3.534591e-01	
BMI_bff_102	2	7	115_shimon_peres.jpg	12	19	1	1	7.242035e+01	1	9.072646e-01	0	5	7.387194e+01	5	2.476831e-01	
BMI_bff_102	2	26	317_shaked_ayelet.jpg	54	20	1	1	7.567403e+01	1	7.815881e-01	1	1	7.699204e+01	1	2.315818e-01	
BMI_bff_102	2	2	105_gilon_ilan.jpg	8	21	1	1	7.877749e+01	1	6.941208e-01	1	1	8.001210e+01	1	2.435149e-01	
BMI_bff_102	2	24	311_liberman_avigdor.jpg	55	22	1	1	8.181414e+01	1	9.134744e-01	0	5	8.326585e+01	5	2.297611e-01	
BMI_bff_102	2	19	220_tamnu_shata_penina.jpg	18	23	1	1	8.505114e+01	1	7.884753e-01	0	5	8.638597e+01	5	2.616426e-01	
BMI_bff_102	2	20	301_benet_naftali.jpg	56	24	1	1	8.820466e+01	1	1.058953e+00	0	5	8.980644e+01	5	2.171743e-01	
BMI_bff_102	2	16	209_mitzna_amram.jpg	53	25	1	3	9.157511e+01	3	2.056540e+00	0	5	9.417796e+01	5	9.816468e-01	
BMI_bff_102	2	9	119_zandberg_tamar.jpg	13	26	1	1	9.671413e+01	1	9.254863e-01	0	5	9.818249e+01	5	2.971231e-01	
BMI_bff_102	2	14	206_hasson_israel.JPG	44	27	1	3	1.000346e+02	3	1.541012e+00	0	5	1.021202e+02	5	1.399418e+00	
BMI_bff_102	2	6	114_shafir_stav.jpg	9	28	1	1	1.050735e+02	1	6.380693e-01	1	1	1.062415e+02	1	2.620740e-01	
