subjectID	order	itemIndABC	stimName	bidInd	runtrial	isOld?	subjectAnswerIsFamiliar	onsettime_isFamiliar	resp_isFamiliar	RT_isFamiliar	isGo?	subjectAnswerIsGo	onsettime_isGo	resp_isGo	RT_isGo
BMI_bff_110	2	1	101_barak_ehud.jpg	11	1	1	1	2.996589e-02	1	1.034674e+01	1	1	1.092563e+01	1	2.955069e+00	
BMI_bff_110	2	11	118_yacimovich_shelly.jpg	55	2	1	1	1.544738e+01	1	2.281319e+00	0	5	1.826716e+01	5	2.149526e+00	
BMI_bff_110	2	28	320_yaalon_moshe.jpg	5	3	1	1	2.197139e+01	1	1.621307e+00	0	5	2.414046e+01	5	1.452245e+00	
BMI_bff_110	2	25	314_netanyahu.jpg	10	4	1	1	2.714379e+01	1	1.000906e+00	0	5	2.867890e+01	5	9.457889e-01	
BMI_bff_110	2	5	108_khenin_dov.jpg	51	5	1	2	3.118171e+01	2	4.666987e+00	1	1	3.638753e+01	1	4.261163e+00	
BMI_bff_110	2	12	202_cahlon_moshe.jpg	16	6	1	2	4.221070e+01	2	2.350017e+00	1	1	4.509729e+01	1	1.791395e+00	
BMI_bff_110	2	8	115_shimon_peres.jpg	12	7	1	1	4.845109e+01	1	1.077608e+00	0	5	5.006949e+01	5	1.187201e+00	
BMI_bff_110	2	26	315_regev_miri.jpg	18	8	1	1	5.282260e+01	1	2.218093e+00	0	5	5.557568e+01	5	1.081020e+00	
BMI_bff_110	2	18	219_stern_eliezer.jpg	46	9	1	5	5.822869e+01	5	4.484011e+00	1	1	6.325102e+01	1	2.469673e+00	
BMI_bff_110	2	22	309_katz_yisrael.jpg	17	10	1	1	6.727216e+01	1	1.520558e+00	1	1	6.934120e+01	1	1.483496e+00	
BMI_bff_110	2	10	117_tibi_ahmed.jpg	56	11	1	1	7.237806e+01	1	1.462637e+00	0	5	7.438018e+01	5	9.245112e-01	
BMI_bff_110	2	7	114_shafir_stav.jpg	6	12	1	2	7.686628e+01	2	1.854411e+00	0	5	7.926900e+01	5	1.715695e+00	
BMI_bff_110	2	2	102_beneliezer_binyamin.jpg	15	13	1	1	8.253938e+01	1	2.021314e+00	0	5	8.510887e+01	5	4.758300e-01	
BMI_bff_110	2	23	310_kirshenbaum_faina.jpg	48	14	1	2	8.714449e+01	2	2.520201e+00	1	1	9.019793e+01	1	1.498764e+00	
BMI_bff_110	2	6	110_nachman_shai.jpg	50	15	1	2	9.325133e+01	2	2.821362e+00	0	5	9.662189e+01	5	1.922797e+00	
BMI_bff_110	2	20	303_deri_arye.jpg	52	16	1	1	1.001091e+02	1	1.859562e+00	0	5	1.025117e+02	5	1.208985e+00	
BMI_bff_110	2	17	216_sharom_ariel.jpg	7	17	1	1	1.052815e+02	1	1.071178e+00	0	5	1.069001e+02	5	4.686213e-01	
BMI_bff_110	2	27	316_saar_gidon.jpg	13	18	1	2	1.089356e+02	2	2.593112e+00	0	5	1.120724e+02	5	1.272249e+00	
BMI_bff_110	2	21	308_hotovely_tzipi.jpg	44	19	1	5	1.149090e+02	5	2.331699e+00	0	5	1.177789e+02	5	1.333784e+00	
BMI_bff_110	2	4	107_horowitz_nitzan.jpg	43	20	1	1	1.206655e+02	1	2.751230e+00	1	1	1.239525e+02	1	8.801934e-01	
BMI_bff_110	2	9	116_shmuli_itzik.jpg	54	21	1	5	1.263887e+02	5	1.395997e+00	1	1	1.283240e+02	1	4.446613e-01	
BMI_bff_110	2	24	313_lizman_yaakov.jpg	49	22	1	3	1.303263e+02	3	2.930426e+00	1	1	1.337969e+02	1	3.115834e+00	
BMI_bff_110	2	16	215_rozbozov_yoel.jpg	45	23	1	5	1.384689e+02	5	1.611839e+00	0	5	1.406212e+02	5	7.474381e-01	
BMI_bff_110	2	19	301_benet_naftali.jpg	8	24	1	1	1.429238e+02	1	1.828909e+00	1	1	1.452931e+02	1	1.595622e+00	
BMI_bff_110	2	3	104_galon_zahava.jpg	53	25	1	1	1.484466e+02	1	1.346078e+00	0	5	1.503321e+02	5	8.125565e-01	
BMI_bff_110	2	15	212_olmert_ehud.jpg	9	26	1	1	1.527014e+02	1	2.059263e+00	1	1	1.553044e+02	1	4.563145e-01	
BMI_bff_110	2	13	206_itzik_dalia.jpg	47	27	1	1	1.573233e+02	1	1.277367e+00	0	5	1.591420e+02	5	3.626480e-01	
BMI_bff_110	2	14	210_mofaz_shaul.jpg	14	28	1	1	1.610608e+02	1	1.707873e+00	1	1	1.633134e+02	1	4.152893e-01	
