subjectID	order	itemIndABC	stimName	bidInd	runtrial	isOld?	subjectAnswerIsFamiliar	onsettime_isFamiliar	resp_isFamiliar	RT_isFamiliar	isGo?	subjectAnswerIsGo	onsettime_isGo	resp_isGo	RT_isGo
BMI_bff_117	1	15	210_mofaz_shaul.jpg	14	1	1	1	3.009257e-02	1	3.056049e+00	0	4	3.634138e+00	4	2.363970e+00	
BMI_bff_117	1	9	201_baron_roni.jpg	44	2	1	5	7.555160e+00	5	2.434980e+00	1	2	1.052514e+01	2	1.929004e+00	
BMI_bff_117	1	16	213_perry_yaakov.jpg	10	3	1	2	1.401240e+01	2	3.505731e+00	1	3	1.805025e+01	3	3.451894e+00	
BMI_bff_117	1	18	302_danon_danny.jpg	51	4	1	1	2.305592e+01	1	1.998220e+00	0	4	2.559177e+01	4	1.966370e+00	
BMI_bff_117	1	25	315_regev_miri.jpg	46	5	1	1	2.911271e+01	1	1.317432e+00	0	4	3.096482e+01	4	1.273318e+00	
BMI_bff_117	1	17	217_shelach_ofer.jpg	11	6	1	1	3.380127e+01	1	1.252867e+00	0	4	3.558663e+01	4	9.075114e-01	
BMI_bff_117	1	22	308_hotovely_tzipi.jpg	7	7	1	1	3.805619e+01	1	1.021966e+00	1	2	3.960782e+01	2	1.566317e+00	
BMI_bff_117	1	5	114_shafir_stav.jpg	15	8	1	1	4.272796e+01	1	9.741771e-01	1	4	4.424641e+01	4	1.047727e+00	
BMI_bff_117	1	26	317_shaked_ayelet.jpg	16	9	1	1	4.684927e+01	1	8.368747e-01	0	4	4.821752e+01	4	1.980616e+00	
BMI_bff_117	1	8	117_tibi_ahmed.jpg	50	10	1	1	5.175476e+01	1	1.035382e+00	1	4	5.332320e+01	4	1.074942e+00	
BMI_bff_117	1	13	208_livnee_zipi.jpg	5	11	1	1	5.595958e+01	1	1.030566e+00	0	4	5.752794e+01	4	8.301973e-01	
BMI_bff_117	1	7	116_shmuli_itzik.jpg	52	12	1	1	5.991403e+01	1	1.340114e+00	1	4	6.179947e+01	4	1.182645e+00	
BMI_bff_117	1	23	312_livnat_limor.jpg	43	13	1	1	6.453585e+01	1	8.942593e-01	0	4	6.597079e+01	4	5.233476e-01	
BMI_bff_117	1	11	206_itzik_dalia.jpg	56	14	1	1	6.805643e+01	1	8.057088e-01	0	4	6.939128e+01	4	4.228692e-01	
BMI_bff_117	1	4	110_nachman_shai.jpg	48	15	1	1	7.136016e+01	1	4.277982e+00	0	4	7.618228e+01	4	6.638632e-01	
BMI_bff_117	1	2	104_galon_zahava.jpg	47	16	1	1	7.840135e+01	1	7.167952e-01	1	4	7.965280e+01	4	2.601345e+00	
BMI_bff_117	1	6	115_shimon_peres.jpg	8	17	1	1	8.380746e+01	1	1.510684e+00	0	4	8.585976e+01	4	1.554380e+00	
BMI_bff_117	1	27	318_shalom_silvan.jpg	55	18	1	1	8.896322e+01	1	1.458921e+00	0	4	9.096553e+01	4	7.926112e-01	
BMI_bff_117	1	20	304_dicter_abraham.jpg	45	19	1	5	9.331813e+01	5	2.816009e+00	1	3	9.667194e+01	3	1.462200e+00	
BMI_bff_117	1	19	303_deri_arye.jpg	49	20	1	1	9.969193e+01	1	1.042209e+00	0	4	1.012771e+02	4	1.216998e+00	
BMI_bff_117	1	10	205_german_yael.jpg	13	21	1	1	1.040469e+02	1	1.071230e+00	1	2	1.056487e+02	2	1.461457e+00	
BMI_bff_117	1	3	106_herzog_yitzhak.jpg	12	22	1	1	1.086687e+02	1	1.305438e+00	1	3	1.105041e+02	3	1.390028e+00	
BMI_bff_117	1	21	306_gafni_moshe.jpg	53	23	1	5	1.134575e+02	5	3.156651e+00	1	4	1.171449e+02	4	1.381243e+00	
BMI_bff_117	1	28	320_yaalon_moshe.jpg	18	24	1	1	1.200815e+02	1	1.436614e+00	1	3	1.220504e+02	3	1.323697e+00	
BMI_bff_117	1	24	313_lizman_yaakov.jpg	54	25	1	1	1.249370e+02	1	4.853114e+00	0	3	1.303264e+02	3	1.303754e+00	
BMI_bff_117	1	12	207_lapid_yair.jpg	6	26	1	1	1.331796e+02	1	1.002567e+00	0	4	1.347147e+02	4	9.234100e-01	
BMI_bff_117	1	1	101_barak_ehud.jpg	17	27	1	1	1.372008e+02	1	1.893370e+00	0	4	1.396369e+02	4	2.305237e+00	
BMI_bff_117	1	14	209_mitzna_amram.jpg	9	28	1	1	1.434912e+02	1	1.522970e+00	0	3	1.455435e+02	3	1.310624e+00	
