subjectID	 order	 itemIndABC	 runtrial	 isOld?	 subjectAnswer	 onsettime	 Name	 resp_choice	 RT	 bidInd	 isBeep?
ccat_403	 1	 67	 55	 0	 0	 1.101328e+02	 239.jpg	 i	 1.031491e+00	 0	 0	 
ccat_403	 1	 79	 56	 0	 0	 1.122487e+02	 251.jpg	 i	 7.476611e-01	 0	 0	 
ccat_403	 1	 13	 57	 1	 1	 1.140813e+02	 131.jpg	 u	 6.990116e-01	 46	 0	 
ccat_403	 1	 74	 58	 0	 1	 1.158639e+02	 246.jpg	 u	 6.363710e-01	 0	 0	 
ccat_403	 1	 55	 59	 0	 0	 1.175799e+02	 227.jpg	 i	 2.064469e+00	 0	 0	 
ccat_403	 1	 76	 60	 0	 0	 1.207287e+02	 248.jpg	 i	 1.475671e+00	 0	 0	 
ccat_403	 1	 1	 61	 1	 1	 1.232943e+02	 101.jpg	 u	 4.285994e+00	 5	 0	 
ccat_403	 1	 34	 62	 0	 0	 1.286590e+02	 206.jpg	 i	 6.654104e-01	 0	 0	 
ccat_403	 1	 57	 63	 0	 0	 1.304082e+02	 229.jpg	 i	 7.721316e-01	 0	 0	 
ccat_403	 1	 59	 64	 0	 0	 1.322743e+02	 231.jpg	 i	 6.900337e-01	 0	 0	 
ccat_403	 1	 42	 65	 0	 0	 1.340401e+02	 214.jpg	 i	 6.521968e-01	 0	 0	 
ccat_403	 1	 81	 66	 0	 0	 1.357728e+02	 253.jpg	 i	 1.143491e+00	 0	 0	 
ccat_403	 1	 47	 67	 0	 0	 1.380052e+02	 219.jpg	 i	 8.551471e-01	 0	 0	 
ccat_403	 1	 31	 68	 0	 0	 1.399379e+02	 203.jpg	 i	 7.945186e-01	 0	 0	 
ccat_403	 1	 30	 69	 0	 0	 1.418204e+02	 202.jpg	 i	 7.119996e-01	 0	 0	 
ccat_403	 1	 53	 70	 0	 0	 1.436197e+02	 225.jpg	 i	 5.686058e-01	 0	 0	 
ccat_403	 1	 69	 71	 0	 0	 1.452690e+02	 241.jpg	 i	 6.152920e-01	 0	 0	 
ccat_403	 1	 28	 72	 1	 1	 1.469684e+02	 160.jpg	 u	 9.479695e-01	 55	 0	 
ccat_403	 1	 70	 73	 0	 0	 1.490009e+02	 242.jpg	 i	 8.434364e-01	 0	 0	 
ccat_403	 1	 39	 74	 0	 0	 1.509335e+02	 211.jpg	 i	 9.588198e-01	 0	 0	 
ccat_403	 1	 38	 75	 0	 0	 1.529827e+02	 210.jpg	 i	 9.337030e-01	 0	 0	 
ccat_403	 1	 65	 76	 0	 0	 1.549986e+02	 237.jpg	 i	 1.029750e+00	 0	 0	 
ccat_403	 1	 12	 77	 1	 1	 1.571144e+02	 125.jpg	 u	 6.259683e-01	 12	 1	 
ccat_403	 1	 10	 78	 1	 1	 1.588304e+02	 116.jpg	 u	 6.298983e-01	 14	 0	 
ccat_403	 1	 8	 79	 1	 1	 1.605464e+02	 113.jpg	 u	 6.899971e-01	 6	 0	 
ccat_403	 1	 29	 80	 0	 0	 1.623290e+02	 201.jpg	 i	 7.313482e-01	 0	 0	 
ccat_403	 1	 48	 81	 0	 0	 1.641450e+02	 220.jpg	 i	 8.433625e-01	 0	 0	 
ccat_403	 1	 60	 82	 0	 0	 1.660776e+02	 232.jpg	 i	 7.587628e-01	 0	 0	 
ccat_403	 1	 85	 83	 0	 0	 1.679268e+02	 257.jpg	 i	 1.357539e+00	 0	 0	 
ccat_403	 1	 5	 84	 1	 1	 1.703759e+02	 108.jpg	 u	 6.284982e-01	 52	 1	 
ccat_403	 1	 40	 85	 0	 0	 1.720918e+02	 212.jpg	 i	 1.640504e+00	 0	 0	 
ccat_403	 1	 26	 86	 1	 1	 1.748075e+02	 158.jpg	 u	 6.928493e-01	 48	 0	 
ccat_403	 1	 2	 87	 1	 1	 1.765900e+02	 102.jpg	 u	 5.663183e-01	 11	 0	 
ccat_403	 1	 36	 88	 0	 0	 1.782394e+02	 208.jpg	 i	 7.249341e-01	 0	 0	 
