subjectID	 order	 itemIndABC	 runtrial	 isOld?	 subjectAnswer	 onsettime	 Name	 resp_choice	 RT	 bidInd	 isBeep?
ccat_124	 2	 13	 55	 1	 0	 1.071057e+02	 130.jpg	 u	 1.162011e+00	 12	 0	 
ccat_124	 2	 25	 56	 1	 1	 1.093548e+02	 155.jpg	 i	 7.527969e-01	 53	 0	 
ccat_124	 2	 3	 57	 1	 1	 1.111874e+02	 106.jpg	 i	 6.962529e-01	 8	 1	 
ccat_124	 2	 59	 58	 0	 0	 1.129701e+02	 231.jpg	 u	 1.137554e+00	 0	 0	 
ccat_124	 2	 32	 59	 0	 0	 1.151858e+02	 204.jpg	 u	 9.057983e-01	 0	 0	 
ccat_124	 2	 80	 60	 0	 0	 1.171851e+02	 252.jpg	 u	 1.026540e+00	 0	 0	 
ccat_124	 2	 35	 61	 0	 0	 1.193009e+02	 207.jpg	 u	 5.668107e-01	 0	 0	 
ccat_124	 2	 8	 62	 1	 1	 1.209503e+02	 120.jpg	 i	 9.573467e-01	 52	 0	 
ccat_124	 2	 15	 63	 1	 1	 1.229827e+02	 135.jpg	 i	 7.649068e-01	 10	 0	 
ccat_124	 2	 48	 64	 0	 0	 1.248321e+02	 220.jpg	 u	 6.115369e-01	 0	 0	 
ccat_124	 2	 6	 65	 1	 1	 1.265314e+02	 117.jpg	 i	 9.042770e-01	 56	 0	 
ccat_124	 2	 47	 66	 0	 0	 1.285142e+02	 219.jpg	 u	 6.414767e-01	 0	 0	 
ccat_124	 2	 79	 67	 0	 0	 1.302466e+02	 251.jpg	 u	 8.930744e-01	 0	 0	 
ccat_124	 2	 26	 68	 1	 1	 1.322292e+02	 156.jpg	 i	 8.144465e-01	 18	 0	 
ccat_124	 2	 19	 69	 1	 1	 1.341284e+02	 145.jpg	 i	 6.033131e-01	 47	 0	 
ccat_124	 2	 46	 70	 0	 0	 1.358111e+02	 218.jpg	 u	 6.565653e-01	 0	 0	 
ccat_124	 2	 33	 71	 0	 0	 1.375437e+02	 205.jpg	 u	 8.439670e-01	 0	 0	 
ccat_124	 2	 73	 72	 0	 1	 1.394763e+02	 245.jpg	 i	 1.015401e+00	 0	 0	 
ccat_124	 2	 42	 73	 0	 0	 1.415754e+02	 214.jpg	 u	 9.082389e-01	 0	 0	 
ccat_124	 2	 60	 74	 0	 1	 1.435914e+02	 232.jpg	 i	 6.842866e-01	 0	 0	 
ccat_124	 2	 76	 75	 0	 1	 1.453573e+02	 248.jpg	 i	 7.664258e-01	 0	 0	 
ccat_124	 2	 64	 76	 0	 0	 1.472066e+02	 236.jpg	 u	 9.730833e-01	 0	 0	 
ccat_124	 2	 83	 77	 0	 0	 1.492557e+02	 255.jpg	 u	 9.159422e-01	 0	 0	 
ccat_124	 2	 87	 78	 0	 1	 1.512550e+02	 259.jpg	 i	 6.606878e-01	 0	 0	 
ccat_124	 2	 84	 79	 0	 0	 1.530043e+02	 256.jpg	 u	 6.393833e-01	 0	 0	 
ccat_124	 2	 85	 80	 0	 1	 1.547370e+02	 257.jpg	 i	 1.298691e+00	 0	 0	 
ccat_124	 2	 56	 81	 0	 0	 1.571193e+02	 228.jpg	 u	 5.883076e-01	 0	 0	 
ccat_124	 2	 27	 82	 1	 1	 1.587854e+02	 157.jpg	 i	 8.822238e-01	 43	 1	 
ccat_124	 2	 86	 83	 0	 0	 1.607512e+02	 258.jpg	 u	 7.404037e-01	 0	 0	 
ccat_124	 2	 10	 84	 1	 1	 1.625839e+02	 122.jpg	 i	 9.077755e-01	 49	 1	 
ccat_124	 2	 22	 85	 1	 1	 1.645831e+02	 150.jpg	 i	 6.766234e-01	 51	 1	 
ccat_124	 2	 21	 86	 1	 1	 1.663491e+02	 147.jpg	 i	 7.186249e-01	 16	 1	 
ccat_124	 2	 37	 87	 0	 0	 1.681483e+02	 209.jpg	 u	 6.073552e-01	 0	 0	 
ccat_124	 2	 69	 88	 0	 0	 1.698644e+02	 241.jpg	 u	 8.513358e-01	 0	 0	 
