7359.jpg	 12	 1	 9.147979e-01	 33
2457.jpg	 12	 2	 8.868501e-01	 14
9340.jpg	 12	 3	 8.673553e-01	 48
9341.jpg	 12	 4	 8.667955e-01	 49
7078.jpg	 12	 5	 8.604378e-01	 32
1271.jpg	 12	 6	 8.422232e-01	 7
1274.jpg	 12	 7	 8.291144e-01	 8
1301.jpg	 11	 8	 7.808754e-01	 9
1019.jpg	 11	 9	 7.630299e-01	 4
9390.jpg	 12	 10	 7.192357e-01	 51
2455.jpg	 11	 11	 7.023831e-01	 12
2039.jpg	 12	 12	 7.002786e-01	 10
10003.JPG	 12	 13	 6.988499e-01	 2
9090.jpg	 11	 14	 6.946041e-01	 38
9561.jpg	 12	 15	 6.921213e-01	 56
1205.jpg	 11	 16	 6.912299e-01	 6
9291.jpg	 11	 17	 6.539527e-01	 41
2750.jpg	 12	 18	 6.479329e-01	 16
1111.jpg	 11	 19	 6.344365e-01	 5
9622.jpg	 12	 20	 6.319200e-01	 58
9008.jpg	 12	 21	 6.303745e-01	 35
9490.jpg	 11	 22	 6.210747e-01	 54
10005.JPG	 11	 23	 5.947991e-01	 3
9905.jpg	 12	 24	 5.890327e-01	 60
2456.jpg	 12	 25	 5.604987e-01	 13
9330.jpg	 11	 26	 5.332499e-01	 47
8480.jpg	 12	 27	 5.298447e-01	 34
9325.jpg	 12	 28	 5.250478e-01	 46
9050.jpg	 12	 29	 5.231212e-01	 37
9322.jpg	 12	 30	 5.229223e-01	 45
6210.jpg	 24	 31	 4.928988e-01	 22
9480.jpg	 24	 32	 4.873217e-01	 53
3500.jpg	 24	 33	 4.865200e-01	 21
6370.jpg	 24	 34	 4.673615e-01	 27
9301.jpg	 22	 35	 4.377141e-01	 43
6242.jpg	 24	 36	 4.339289e-01	 25
6211.jpg	 24	 37	 4.294641e-01	 23
9300.jpg	 22	 38	 4.156380e-01	 42
2683.jpg	 24	 39	 4.033289e-01	 15
9600.jpg	 22	 40	 3.981821e-01	 57
9903.jpg	 22	 41	 3.884301e-01	 59
9495.jpg	 24	 42	 3.665334e-01	 55
9321.jpg	 22	 43	 3.481662e-01	 44
6838.jpg	 24	 44	 3.473417e-01	 31
2205.jpg	 24	 45	 3.067676e-01	 11
10002.JPG	 22	 46	 2.997509e-01	 1
6213.jpg	 24	 47	 2.918648e-01	 24
9120.jpg	 22	 48	 2.833891e-01	 39
9254.jpg	 22	 49	 2.791739e-01	 40
2799.jpg	 24	 50	 2.639420e-01	 17
6570.1.JPG	 22	 51	 2.447315e-01	 30
9425.jpg	 24	 52	 2.392579e-01	 52
6250.1.jpg	 24	 53	 1.970289e-01	 26
3180.jpg	 22	 54	 1.930123e-01	 20
6555.jpg	 24	 55	 1.595882e-01	 28
3160.jpg	 24	 56	 1.584377e-01	 19
9373.jpg	 24	 57	 1.372235e-01	 50
3103.jpg	 24	 58	 1.245359e-01	 18
6560.JPG	 24	 59	 1.218242e-01	 29
9042.jpg	 24	 60	 8.825253e-02	 36

