subjid	 runtrial	 onsettime	 ImageLeft	 ImageRight	 StimNumLeft	 StimNumRight	 Response	 Outcome	 RT
n_127	 60	 2.070164e+02	 8480.jpg	 2456.jpg	 34	 13	 i	 0	 7.656667e+02
n_127	 61	 2.105151e+02	 6370.jpg	 6570.1.JPG	 27	 30	 i	 0	 6.270061e+02
n_127	 62	 2.140137e+02	 9254.jpg	 2750.jpg	 40	 16	 i	 0	 9.681938e+02
n_127	 63	 2.175123e+02	 2205.jpg	 10002.JPG	 11	 1	 u	 0	 9.256495e+02
n_127	 64	 2.210110e+02	 1019.jpg	 9390.jpg	 4	 51	 i	 0	 1.027024e+03
n_127	 65	 2.245096e+02	 10003.JPG	 9090.jpg	 2	 38	 i	 0	 6.323544e+02
n_127	 66	 2.280082e+02	 1301.jpg	 3160.jpg	 9	 19	 u	 0	 8.936538e+02
n_127	 67	 2.315068e+02	 8480.jpg	 9325.jpg	 34	 46	 u	 0	 8.509998e+02
n_127	 68	 2.350055e+02	 3103.jpg	 9340.jpg	 18	 48	 i	 0	 7.443509e+02
n_127	 69	 2.385041e+02	 1205.jpg	 9561.jpg	 6	 56	 i	 0	 9.256686e+02
n_127	 70	 2.420161e+02	 6210.jpg	 9341.jpg	 22	 49	 i	 0	 7.415221e+02
n_127	 71	 2.455147e+02	 9373.jpg	 9301.jpg	 50	 43	 u	 0	 1.258995e+03
n_127	 72	 2.490134e+02	 7359.jpg	 9008.jpg	 33	 35	 u	 0	 1.280326e+03
n_127	 73	 2.525120e+02	 7078.jpg	 9600.jpg	 32	 57	 u	 0	 9.656482e+02
n_127	 74	 2.560106e+02	 2456.jpg	 6213.jpg	 13	 24	 u	 0	 1.066995e+03
n_127	 75	 2.595093e+02	 9321.jpg	 9903.jpg	 44	 59	 i	 0	 1.088292e+03
n_127	 76	 2.630079e+02	 3500.jpg	 6211.jpg	 21	 23	 i	 0	 8.056270e+02
n_127	 77	 2.665065e+02	 2455.jpg	 9042.jpg	 12	 36	 i	 0	 8.270134e+02
n_127	 78	 2.700051e+02	 6560.JPG	 3180.jpg	 29	 20	 u	 0	 7.203250e+02
n_127	 79	 2.735038e+02	 2799.jpg	 9480.jpg	 17	 53	 u	 0	 1.045678e+03
n_127	 80	 2.770158e+02	 9495.jpg	 9425.jpg	 55	 52	 i	 0	 7.976415e+02
n_127	 81	 2.805144e+02	 2683.jpg	 9330.jpg	 15	 47	 u	 0	 1.266957e+03
n_127	 82	 2.840130e+02	 9050.jpg	 6838.jpg	 37	 31	 i	 0	 7.603011e+02
n_127	 83	 2.875117e+02	 9120.jpg	 2039.jpg	 39	 10	 i	 0	 6.216293e+02
n_127	 84	 2.910103e+02	 9622.jpg	 1271.jpg	 58	 7	 u	 0	 6.589803e+02
n_127	 85	 2.945089e+02	 9490.jpg	 2457.jpg	 54	 14	 i	 0	 7.122976e+02
n_127	 86	 2.980209e+02	 6250.1.jpg	 9905.jpg	 26	 60	 u	 0	 7.203555e+02
n_127	 87	 3.015361e+02	 1274.jpg	 1111.jpg	 8	 5	 u	 0	 6.130915e+02
n_127	 88	 3.050048e+02	 9291.jpg	 9300.jpg	 41	 42	 u	 0	 1.096297e+03
n_127	 89	 3.085168e+02	 6555.jpg	 6242.jpg	 28	 25	 u	 0	 1.024292e+03
n_127	 90	 3.120154e+02	 9322.jpg	 10005.JPG	 45	 3	 u	 0	 1.189601e+03
n_127	 91	 3.155141e+02	 10003.JPG	 3103.jpg	 2	 18	 i	 0	 1.098800e+03
n_127	 92	 3.190127e+02	 6250.1.jpg	 9330.jpg	 26	 47	 u	 0	 9.442736e+02
n_127	 93	 3.225113e+02	 6242.jpg	 9325.jpg	 25	 46	 u	 0	 7.416113e+02
n_127	 94	 3.260100e+02	 9561.jpg	 9090.jpg	 56	 38	 i	 0	 1.002968e+03
n_127	 95	 3.295086e+02	 8480.jpg	 9301.jpg	 34	 43	 u	 0	 8.802815e+02
n_127	 96	 3.330072e+02	 7359.jpg	 9495.jpg	 33	 55	 i	 0	 1.077634e+03
n_127	 97	 3.365059e+02	 6211.jpg	 9903.jpg	 23	 59	 u	 0	 1.178937e+03
n_127	 98	 3.400045e+02	 1019.jpg	 2039.jpg	 4	 10	 i	 0	 5.922692e+02
n_127	 99	 3.435165e+02	 6570.1.JPG	 10005.JPG	 30	 3	 u	 0	 7.441223e+02
n_127	 100	 3.470151e+02	 9425.jpg	 3500.jpg	 52	 21	 i	 0	 1.197576e+03
n_127	 101	 3.505137e+02	 1301.jpg	 9300.jpg	 9	 42	 u	 0	 1.170909e+03
n_127	 102	 3.540124e+02	 1271.jpg	 9322.jpg	 7	 45	 i	 0	 9.842787e+02
n_127	 103	 3.575110e+02	 2750.jpg	 6370.jpg	 16	 27	 u	 0	 9.895908e+02
n_127	 104	 3.610096e+02	 6213.jpg	 9120.jpg	 24	 39	 i	 0	 8.029171e+02
n_127	 105	 3.645083e+02	 10002.JPG	 9373.jpg	 1	 50	 i	 0	 1.112252e+03
n_127	 106	 3.680069e+02	 9008.jpg	 9490.jpg	 35	 54	 i	 0	 1.405434e+03
n_127	 107	 3.715055e+02	 2456.jpg	 6838.jpg	 13	 31	 i	 0	 6.269342e+02
n_127	 108	 3.750042e+02	 9905.jpg	 9622.jpg	 60	 58	 i	 0	 6.002532e+02
n_127	 109	 3.785161e+02	 9291.jpg	 2457.jpg	 41	 14	 i	 0	 6.241055e+02
n_127	 110	 3.820148e+02	 2205.jpg	 6210.jpg	 11	 22	 u	 0	 1.077592e+03
n_127	 111	 3.855134e+02	 1274.jpg	 3180.jpg	 8	 20	 i	 0	 8.109128e+02
n_127	 112	 3.890120e+02	 9050.jpg	 2683.jpg	 37	 15	 u	 0	 7.682131e+02
n_127	 113	 3.925107e+02	 9341.jpg	 6560.JPG	 49	 29	 u	 0	 9.975651e+02
n_127	 114	 3.960093e+02	 9600.jpg	 3160.jpg	 57	 19	 u	 0	 7.947606e+02
n_127	 115	 3.995079e+02	 1111.jpg	 9321.jpg	 5	 44	 i	 0	 8.322416e+02
n_127	 116	 4.030066e+02	 2799.jpg	 9390.jpg	 17	 51	 u	 0	 1.125561e+03
n_127	 117	 4.065052e+02	 2455.jpg	 1205.jpg	 12	 6	 u	 0	 6.989327e+02
n_127	 118	 4.100038e+02	 9254.jpg	 9340.jpg	 40	 48	 i	 0	 1.136210e+03
n_127	 119	 4.135158e+02	 7078.jpg	 6555.jpg	 32	 28	 i	 0	 1.144220e+03
n_127	 120	 4.170144e+02	 9480.jpg	 9042.jpg	 53	 36	 u	 0	 1.277560e+03
n_127	 121	 4.205131e+02	 9322.jpg	 6370.jpg	 45	 27	 i	 0	 1.090895e+03
n_127	 122	 4.240117e+02	 3500.jpg	 9300.jpg	 21	 42	 u	 0	 7.760830e+02
n_127	 123	 4.275103e+02	 9600.jpg	 3103.jpg	 57	 18	 u	 0	 8.295707e+02
n_127	 124	 4.310090e+02	 3180.jpg	 6213.jpg	 20	 24	 i	 0	 7.868640e+02
n_127	 125	 4.345076e+02	 9120.jpg	 1019.jpg	 39	 4	 u	 0	 1.064214e+03
n_127	 126	 4.380062e+02	 1271.jpg	 1111.jpg	 7	 5	 u	 0	 1.757540e+03
n_127	 127	 4.415049e+02	 9341.jpg	 9495.jpg	 49	 55	 u	 0	 1.250737e+03
n_127	 128	 4.450169e+02	 6560.JPG	 9390.jpg	 29	 51	 u	 0	 8.748592e+02
n_127	 129	 4.485155e+02	 6555.jpg	 9008.jpg	 28	 35	 u	 0	 8.321864e+02
n_127	 130	 4.520141e+02	 9905.jpg	 8480.jpg	 60	 34	 u	 0	 1.541521e+03
n_127	 131	 4.555127e+02	 9561.jpg	 6570.1.JPG	 56	 30	 i	 0	 6.828500e+02
n_127	 132	 4.590114e+02	 9254.jpg	 9373.jpg	 40	 50	 u	 0	 8.641902e+02
n_127	 133	 4.625100e+02	 6210.jpg	 6211.jpg	 22	 23	 u	 0	 1.045393e+03
