1	 39	 9561.jpg	 1	 1	 0	 1	 44 
2	 33	 9330.jpg	 1	 1	 0	 1	 24 
3	 14	 6210.jpg	 1	 1	 1	 1	 17 
4	 5	 2039.jpg	 1	 1	 0	 0	 18 
5	 80	 9941.jpg	 0	 1	 0	 0	 0 
6	 1	 10003.JPG	 1	 1	 1	 1	 48 
7	 36	 9480.jpg	 1	 1	 1	 0	 43 
8	 11	 2799.jpg	 1	 1	 0	 0	 20 
9	 22	 9042.jpg	 1	 1	 0	 0	 47 
10	 70	 9320.jpg	 0	 1	 0	 0	 0 
11	 24	 9090.jpg	 1	 1	 1	 0	 11 
12	 18	 6570.1.JPG	 1	 1	 1	 1	 22 
13	 16	 6555.jpg	 1	 1	 0	 1	 50 
14	 62	 8230.jpg	 0	 1	 0	 0	 0 
15	 10	 2750.jpg	 1	 1	 0	 0	 42 
16	 28	 9300.jpg	 1	 1	 1	 0	 49 
17	 25	 9120.jpg	 1	 1	 0	 0	 15 
18	 30	 9321.jpg	 1	 1	 1	 0	 35 
19	 8	 2456.jpg	 1	 1	 1	 0	 26 
20	 29	 9301.jpg	 1	 1	 1	 0	 51 
21	 26	 9254.jpg	 1	 1	 0	 0	 37 
22	 21	 9008.jpg	 1	 1	 0	 0	 36 
23	 4	 1111.jpg	 1	 1	 1	 0	 41 
24	 12	 3180.jpg	 1	 1	 1	 1	 14 
25	 13	 3500.jpg	 1	 1	 1	 0	 23 
26	 27	 9291.jpg	 1	 1	 0	 0	 12 
27	 35	 9373.jpg	 1	 1	 1	 0	 46 
28	 31	 9322.jpg	 1	 1	 0	 0	 39 
29	 7	 2455.jpg	 1	 1	 1	 0	 19 
30	 15	 6370.jpg	 1	 1	 0	 0	 10 
31	 40	 9905.jpg	 1	 1	 0	 0	 25 
32	 19	 6838.jpg	 1	 1	 1	 0	 38 
33	 20	 7359.jpg	 1	 1	 0	 0	 7 
34	 34	 9341.jpg	 1	 1	 0	 0	 52 
35	 17	 6560.JPG	 1	 1	 0	 0	 13 
36	 9	 2457.jpg	 1	 1	 0	 0	 21 
37	 23	 9050.jpg	 1	 1	 1	 0	 9 
38	 37	 9490.jpg	 1	 1	 1	 0	 16 
39	 38	 9495.jpg	 1	 1	 1	 0	 8 
40	 32	 9325.jpg	 1	 1	 1	 0	 54 
41	 6	 2205.jpg	 1	 1	 1	 1	 40 
42	 3	 1019.jpg	 1	 1	 0	 0	 53 
