Subject	StimRank	StimValue	StimName	StimNum	ValueGroup	Contingency	Go	Run	TrialInRun	Trial
BM_161	47	0.4504292	2155.jpg	67	5	1	1	1	1	1
BM_161	28	0.6408762	2054.jpg	52	3	0	0	1	2	2
BM_161	4	0.8484656	2124.jpg	61	0	0	0	1	3	3
BM_161	39	0.5286999	1017.jpg	4	4	0	0	1	4	4
BM_161	31	0.6107046	1027.jpg	6	3	0.5	0	1	5	5
BM_161	61	0.2988241	2024.jpg	46	7	0	0	1	6	6
BM_161	5	0.832701	1262.jpg	40	0	0	0	1	7	7
BM_161	29	0.6405744	1130.jpg	19	3	0	0	1	8	8
BM_161	23	0.6578654	2218.jpg	75	2	0	0	1	9	9
BM_161	1	0.9331638	2125.jpg	62	0	0	0	1	10	10
BM_161	57	0.319642	1127.jpg	18	7	0.5	1	1	11	11
BM_161	19	0.6739068	2039.jpg	47	2	0.5	1	1	12	12
BM_161	6	0.8011918	2010.jpg	43	0	0	0	1	13	13
BM_161	14	0.7411946	2181.jpg	69	1	0	0	1	14	14
BM_161	54	0.3540034	2194.jpg	70	6	0	0	1	15	15
BM_161	12	0.7608602	1035.jpg	9	1	0	0	1	16	16
BM_161	8	0.7873915	2149.jpg	64	0	0	0	1	17	17
BM_161	48	0.4383238	1013.jpg	3	5	0	0	1	18	18
BM_161	45	0.4762627	1145.jpg	21	5	0	0	1	19	19
BM_161	74	0.1871984	1204.jpg	30	0	0	0	1	20	20
BM_161	32	0.6094789	2249.jpg	80	3	0	0	1	21	21
BM_161	34	0.5950035	2229.jpg	77	4	0	0	1	22	22
BM_161	75	0.1871181	2015.jpg	44	0	0	0	1	23	23
BM_161	67	0.2469575	1173.jpg	24	8	0	0	1	24	24
BM_161	9	0.7750884	1254.jpg	38	1	0	0	1	25	25
BM_161	26	0.6447815	2089.jpg	55	3	0.5	1	1	26	26
BM_161	65	0.2486383	2111.jpg	58	8	1	1	1	27	27
BM_161	33	0.6013278	1182.jpg	25	4	1	1	1	28	28
BM_161	60	0.3071884	2201.jpg	71	7	0.5	1	1	29	29
BM_161	11	0.7694762	2045.jpg	50	1	1	1	1	30	30
BM_161	42	0.5081147	1246.jpg	37	5	1	1	1	31	31
BM_161	40	0.5251924	1207.jpg	31	4	1	1	1	32	32
BM_161	63	0.2826445	2128.jpg	63	7	0.5	0	1	33	33
BM_161	22	0.661141	1115.jpg	17	2	0	0	1	34	34
BM_161	2	0.8633702	1028.jpg	7	0	0	0	1	35	35
BM_161	37	0.5497057	1019.jpg	5	4	1	1	1	36	36
BM_161	56	0.3353767	1057.jpg	12	6	0.5	0	1	37	37
BM_161	51	0.4080708	1191.jpg	27	6	0	0	1	38	38
BM_161	77	0.1788617	1228.jpg	36	0	0	0	1	39	39
BM_161	3	0.8576799	1114.jpg	16	0	0	0	1	40	40
BM_161	10	0.7750753	1031.jpg	8	1	1	1	1	41	41
BM_161	58	0.3166193	1150.jpg	23	7	0	0	1	42	42
BM_161	7	0.8000579	2153.jpg	65	0	0	0	1	43	43
BM_161	72	0.2174924	1080.jpg	15	8	1	1	1	44	44
BM_161	68	0.243689	1210.jpg	32	8	1	1	1	45	45
BM_161	66	0.2480796	2008.jpg	42	8	0	0	1	46	46
BM_161	38	0.5472428	2212.jpg	73	4	0	0	1	47	47
BM_161	49	0.4347801	1192.jpg	28	6	0.5	0	1	48	48
BM_161	43	0.4866244	1007.jpg	1	5	1	1	1	49	49
BM_161	71	0.2220217	1052.jpg	11	8	0	0	1	50	50
BM_161	13	0.7417419	1073.jpg	14	1	1	1	1	51	51
BM_161	44	0.4792474	2112.jpg	59	5	0	0	1	52	52
BM_161	20	0.6712507	2118.jpg	60	2	0	0	1	53	53
BM_161	53	0.3675212	2221.jpg	76	6	0.5	1	1	54	54
BM_161	24	0.6559294	2063.jpg	54	2	0.5	0	1	55	55
BM_161	50	0.4267954	1226.jpg	35	6	0	0	1	56	56
BM_161	69	0.2386804	2058.jpg	53	8	1	1	1	57	57
BM_161	25	0.6451053	1255.jpg	39	3	0	0	1	58	58
BM_161	16	0.731355	2053.jpg	51	1	1	1	1	59	59
BM_161	78	0.1110852	2110.jpg	57	0	0	0	1	60	60
BM_161	80	0.01887127	2016.jpg	45	0	0	0	1	61	61
BM_161	18	0.6939334	2154.jpg	66	2	0.5	0	1	62	62
BM_161	35	0.5860717	1202.jpg	29	4	0	0	1	63	63
BM_161	30	0.6208582	1009.jpg	2	3	0.5	0	1	64	64
BM_161	21	0.6620893	1216.jpg	33	2	0.5	1	1	65	65
BM_161	55	0.3477387	1183.jpg	26	6	0	0	1	66	66
BM_161	73	0.2025143	2248.jpg	79	0	0	0	1	67	67
BM_161	46	0.4519372	1146.jpg	22	5	1	1	1	68	68
BM_161	70	0.2251906	1060.jpg	13	8	0	0	1	69	69
BM_161	15	0.7314292	1144.jpg	20	1	0	0	1	70	70
BM_161	79	0.04720764	2240.jpg	78	0	0	0	1	71	71
BM_161	41	0.5131538	2094.jpg	56	5	0	0	1	72	72
BM_161	36	0.5676574	2209.jpg	72	4	1	1	1	73	73
BM_161	52	0.3978294	2041.jpg	48	6	0.5	0	1	74	74
BM_161	17	0.7221854	1050.jpg	10	2	0	0	1	75	75
BM_161	62	0.2971964	2164.jpg	68	7	0.5	0	1	76	76
BM_161	27	0.6445095	2006.jpg	41	3	0.5	0	1	77	77
BM_161	59	0.3138194	1220.jpg	34	7	0	0	1	78	78
BM_161	64	0.2758884	2217.jpg	74	7	0	0	1	79	79
BM_161	76	0.1820289	2043.jpg	49	0	0	0	1	80	80
BM_161	59	0.3138194	1220.jpg	34	7	0	0	2	1	81
BM_161	30	0.6208582	1009.jpg	2	3	0.5	1	2	2	82
BM_161	67	0.2469575	1173.jpg	24	8	0	0	2	3	83
BM_161	46	0.4519372	1146.jpg	22	5	1	1	2	4	84
BM_161	9	0.7750884	1254.jpg	38	1	0	0	2	5	85
BM_161	78	0.1110852	2110.jpg	57	0	0	0	2	6	86
BM_161	57	0.319642	1127.jpg	18	7	0.5	1	2	7	87
BM_161	38	0.5472428	2212.jpg	73	4	0	0	2	8	88
BM_161	8	0.7873915	2149.jpg	64	0	0	0	2	9	89
BM_161	77	0.1788617	1228.jpg	36	0	0	0	2	10	90
BM_161	34	0.5950035	2229.jpg	77	4	0	0	2	11	91
BM_161	31	0.6107046	1027.jpg	6	3	0.5	1	2	12	92
BM_161	27	0.6445095	2006.jpg	41	3	0.5	0	2	13	93
BM_161	21	0.6620893	1216.jpg	33	2	0.5	0	2	14	94
BM_161	66	0.2480796	2008.jpg	42	8	0	0	2	15	95
BM_161	49	0.4347801	1192.jpg	28	6	0.5	1	2	16	96
BM_161	15	0.7314292	1144.jpg	20	1	0	0	2	17	97
BM_161	72	0.2174924	1080.jpg	15	8	1	1	2	18	98
BM_161	40	0.5251924	1207.jpg	31	4	1	1	2	19	99
BM_161	6	0.8011918	2010.jpg	43	0	0	0	2	20	100
BM_161	62	0.2971964	2164.jpg	68	7	0.5	1	2	21	101
BM_161	5	0.832701	1262.jpg	40	0	0	0	2	22	102
BM_161	60	0.3071884	2201.jpg	71	7	0.5	1	2	23	103
BM_161	32	0.6094789	2249.jpg	80	3	0	0	2	24	104
BM_161	3	0.8576799	1114.jpg	16	0	0	0	2	25	105
BM_161	26	0.6447815	2089.jpg	55	3	0.5	1	2	26	106
BM_161	50	0.4267954	1226.jpg	35	6	0	0	2	27	107
BM_161	75	0.1871181	2015.jpg	44	0	0	0	2	28	108
BM_161	53	0.3675212	2221.jpg	76	6	0.5	0	2	29	109
BM_161	12	0.7608602	1035.jpg	9	1	0	0	2	30	110
BM_161	10	0.7750753	1031.jpg	8	1	1	1	2	31	111
BM_161	17	0.7221854	1050.jpg	10	2	0	0	2	32	112
BM_161	42	0.5081147	1246.jpg	37	5	1	1	2	33	113
