subjid runtrial onsettime Name resp_choc RT order
BM2_177 1 3.339884e-02 Twix.bmp 0 1.255627e+00 1 
BM2_177 2 2.002126e+00 Granolabar.bmp 0 8.868998e-01 1 
BM2_177 3 5.005365e+00 PayDay.bmp 0 1.467664e+00 1 
BM2_177 4 7.011774e+00 Goldfish.bmp 0 1.061252e+00 1 
BM2_177 5 1.401508e+01 100grand_small.bmp 0 9.619504e-01 1 
BM2_177 6 1.600055e+01 Almondjoy.bmp 0 7.204768e-01 1 
BM2_177 7 1.800271e+01 Milano.bmp 0 9.423151e-01 1 
BM2_177 8 2.201116e+01 Cheezits.bmp 0 1.141871e+00 1 
BM2_177 9 2.601173e+01 ChipsAhoy_small.bmp 0 8.772945e-01 1 
BM2_177 10 3.001566e+01 PringlesRed.bmp 1 7.133664e-01 1 
BM2_177 11 3.300222e+01 Ghiradelli_milk_Almonds.bmp 0 8.868049e-01 1 
BM2_177 12 3.901163e+01 SnoBall.bmp 0 6.773900e-01 1 
BM2_177 13 4.401414e+01 PopTartsCinnamon.bmp 0 1.058885e+00 1 
BM2_177 14 4.900286e+01 SourSkittles.bmp 0 8.221695e-01 1 
BM2_177 15 5.501122e+01 Reeses.bmp 0 8.218040e-01 1 
BM2_177 16 5.801258e+01 Twinkie.bmp 0 7.724474e-01 1 
BM2_177 17 6.801099e+01 Whatchamacallit.bmp 0 7.420396e-01 1 
BM2_177 18 7.401316e+01 BabyRuth.bmp 1 1.195867e+00 1 
BM2_177 19 7.601527e+01 Keeblerfudgestripes.bmp 1 8.177557e-01 1 
BM2_177 20 7.800078e+01 Riprolls.bmp 0 7.362462e-01 1 
BM2_177 21 8.901262e+01 Lollipopred.bmp 1 6.924112e-01 1 
BM2_177 22 9.301693e+01 Hersheykisses.bmp 0 8.080905e-01 1 
BM2_177 23 9.800565e+01 RitzBitz2.bmp 1 6.353739e-01 1 
BM2_177 24 1.090008e+02 Laffytaffyred_one.bmp 0 7.201925e-01 1 
BM2_177 25 1.150112e+02 PeanutMMs.bmp 0 1.005825e+00 1 
BM2_177 26 1.180111e+02 PopTartsStrawberry.bmp 0 8.379612e-01 1 
BM2_177 27 1.200128e+02 Cupcakes.bmp 0 8.522502e-01 1 
BM2_177 28 1.230159e+02 KitKat_small.bmp 0 7.210749e-01 1 
BM2_177 29 1.250014e+02 Laysclassic.bmp 0 8.475987e-01 1 
BM2_177 30 1.270036e+02 AnimalCrackers.bmp 0 7.254426e-01 1 
BM2_177 31 1.300110e+02 Ghiradelli_milk.bmp 1 9.820712e-01 1 
BM2_177 32 1.320115e+02 HoHo.bmp 999 999 1 
BM2_177 33 1.340117e+02 Cheetos.bmp 0 8.853145e-01 1 
BM2_177 34 1.400009e+02 FigNewton_small.bmp 0 8.000914e-01 1 
BM2_177 35 1.440053e+02 Toberlorone.bmp 1 7.637816e-01 1 
BM2_177 36 1.460116e+02 Nutterbutter.bmp 0 7.973728e-01 1 
BM2_177 37 1.530150e+02 Dots_one.bmp 0 7.540023e-01 1 
BM2_177 38 1.560015e+02 Sourpatch.bmp 1 6.635005e-01 1 
BM2_177 39 1.600109e+02 Jollyranchergreen.bmp 0 7.261228e-01 1 
BM2_177 40 1.630116e+02 CheesyDoritos.bmp 1 7.734394e-01 1 
BM2_177 41 1.680145e+02 Slimjim.bmp 1 7.785034e-01 1 
BM2_177 42 1.700167e+02 Funyuns_small.bmp 999 999 1 
BM2_177 43 1.720022e+02 FamousAmos_small.bmp 0 1.022867e+00 1 
BM2_177 44 1.760115e+02 TeddyGrahamschocolate.bmp 0 8.775303e-01 1 
BM2_177 45 1.860006e+02 FrootLoops.bmp 0 8.724266e-01 1 
BM2_177 46 1.930110e+02 FlamingCheetos.bmp 0 6.140626e-01 1 
BM2_177 47 1.990146e+02 3Musketeers.bmp 1 9.624593e-01 1 
BM2_177 48 2.030023e+02 Hersheymilk_several.bmp 0 9.907618e-01 1 
BM2_177 49 2.050044e+02 Butterfinger.bmp 1 1.092605e+00 1 
BM2_177 50 2.100108e+02 Doritosranch.bmp 1 6.622601e-01 1 
BM2_177 51 2.170006e+02 Oreos.bmp 0 1.160393e+00 1 
BM2_177 52 2.230110e+02 Fritos.bmp 1 1.149980e+00 1 
BM2_177 53 2.280125e+02 MrGoodbar.bmp 0 9.725230e-01 1 
BM2_177 54 2.310158e+02 Streusel.bmp 0 6.892209e-01 1 
BM2_177 55 2.360045e+02 Jollyrancherred.bmp 0 8.925663e-01 1 
BM2_177 56 2.380109e+02 Milkduds.bmp 1 1.302142e+00 1 
BM2_177 57 2.410113e+02 Chocolate_mm.bmp 0 7.897254e-01 1 
BM2_177 58 2.430120e+02 Snickers.bmp 1 7.730109e-01 1 
BM2_177 59 2.450142e+02 MilkyWay.bmp 0 7.868570e-01 1 
BM2_177 60 2.480008e+02 Skittles.bmp 0 6.001984e-01 1 
