subjid scanner order block runtrial onsettime ImageLeft ImageRight TypeLeft TypeRight IsLefthigh Response PairType Outcome RT bidIndexLeft bidIndexRight 
BM2_247 0 1 1 1 0 Cheetos.bmp Chocolate_mm.bmp 43 18 0 i 4 0 845.77 43.00 18.00 
BM2_247 0 1 1 2 10 MrGoodbar.bmp Streusel.bmp 39 21 0 x 4 999 999000.00 39.00 21.00 
BM2_247 0 1 1 3 13 Funyuns_small.bmp HoHo.bmp 50 47 1 i 2 1 697.83 50.00 47.00 
BM2_247 0 1 1 4 16 Nutterbutter.bmp Chocolate_mm.bmp 40 18 0 i 4 0 646.61 40.00 18.00 
BM2_247 0 1 1 5 20 Snickers.bmp Milkduds.bmp 20 41 1 u 3 0 703.29 20.00 41.00 
BM2_247 0 1 1 6 24 MrGoodbar.bmp Doritosranch.bmp 39 22 0 i 4 0 845.98 39.00 22.00 
BM2_247 0 1 1 7 28 Chocolate_mm.bmp MrGoodbar.bmp 18 39 1 u 4 0 457.67 18.00 39.00 
BM2_247 0 1 1 8 32 Oreos.bmp Nutterbutter.bmp 17 40 1 u 4 0 694.02 17.00 40.00 
BM2_247 0 1 1 9 38 Almondjoy.bmp FigNewton_small.bmp 23 42 1 u 3 0 623.30 23.00 42.00 
BM2_247 0 1 1 10 42 Hersheymilk_several.bmp PeanutMMs.bmp 11 9 1 i 1 1 563.23 11.00 9.00 
BM2_247 0 1 1 11 45 Cheezits.bmp Hersheymilk_several.bmp 10 11 0 i 1 0 784.68 10.00 11.00 
BM2_247 0 1 1 12 48 Dots_one.bmp Goldfish.bmp 14 12 0 u 1 1 637.38 14.00 12.00 
BM2_247 0 1 1 13 52 MrGoodbar.bmp Oreos.bmp 39 17 0 i 4 0 727.05 39.00 17.00 
BM2_247 0 1 1 14 61 SourSkittles.bmp PopTartsStrawberry.bmp 48 46 0 i 2 0 864.03 48.00 46.00 
BM2_247 0 1 1 15 68 FigNewton_small.bmp Snickers.bmp 42 20 0 i 3 0 583.09 42.00 20.00 
BM2_247 0 1 1 16 73 FrootLoops.bmp Lollipopred.bmp 19 38 1 i 3 1 723.14 19.00 38.00 
BM2_247 0 1 1 17 77 PeanutMMs.bmp ChipsAhoy_small.bmp 9 8 0 i 1 0 839.50 9.00 8.00 
BM2_247 0 1 1 18 80 Snickers.bmp Whatchamacallit.bmp 20 45 1 u 3 0 495.61 20.00 45.00 
BM2_247 0 1 1 19 84 Cheetos.bmp Doritosranch.bmp 43 22 0 i 4 0 646.78 43.00 22.00 
BM2_247 0 1 1 20 93 Funyuns_small.bmp Fritos.bmp 50 52 1 i 2 1 678.92 50.00 52.00 
BM2_247 0 1 1 21 98 Cupcakes.bmp HoHo.bmp 49 47 1 u 2 0 1031.21 49.00 47.00 
BM2_247 0 1 1 22 101 Almondjoy.bmp Whatchamacallit.bmp 23 45 1 u 3 0 606.28 23.00 45.00 
BM2_247 0 1 1 23 104 Milkduds.bmp MilkyWay.bmp 41 16 0 i 3 0 523.04 41.00 16.00 
BM2_247 0 1 1 24 108 ChipsAhoy_small.bmp RitzBitz2.bmp 8 13 1 u 1 0 623.35 8.00 13.00 
BM2_247 0 1 1 25 111 Streusel.bmp TeddyGrahamschocolate.bmp 21 44 1 i 4 1 623.46 21.00 44.00 
BM2_247 0 1 1 26 114 HoHo.bmp Jollyranchergreen.bmp 47 53 0 u 2 1 639.54 47.00 53.00 
BM2_247 0 1 1 27 123 RitzBitz2.bmp Hersheymilk_several.bmp 13 11 0 i 1 0 639.90 13.00 11.00 
BM2_247 0 1 1 28 126 Doritosranch.bmp TeddyGrahamschocolate.bmp 22 44 1 u 4 0 956.66 22.00 44.00 
BM2_247 0 1 1 29 130 HoHo.bmp PopTartsStrawberry.bmp 47 46 0 u 2 1 711.33 47.00 46.00 
BM2_247 0 1 1 30 135 Cheetos.bmp Oreos.bmp 43 17 0 i 4 0 522.95 43.00 17.00 
BM2_247 0 1 1 31 148 SourSkittles.bmp Funyuns_small.bmp 48 50 0 i 2 0 957.54 48.00 50.00 
BM2_247 0 1 1 32 151 Cupcakes.bmp SnoBall.bmp 49 51 1 u 2 0 986.37 49.00 51.00 
BM2_247 0 1 1 33 154 Nutterbutter.bmp Streusel.bmp 40 21 0 i 4 0 1103.75 40.00 21.00 
BM2_247 0 1 1 34 160 Hersheymilk_several.bmp Dots_one.bmp 11 14 1 u 1 0 847.23 11.00 14.00 
BM2_247 0 1 1 35 164 Almondjoy.bmp Milkduds.bmp 23 41 1 u 3 0 508.95 23.00 41.00 
BM2_247 0 1 1 36 168 FigNewton_small.bmp FrootLoops.bmp 42 19 0 i 3 0 529.38 42.00 19.00 
BM2_247 0 1 1 37 171 Fritos.bmp PopTartsStrawberry.bmp 52 46 0 i 2 0 974.14 52.00 46.00 
BM2_247 0 1 1 38 177 Snickers.bmp Lollipopred.bmp 20 38 1 u 3 0 758.79 20.00 38.00 
BM2_247 0 1 1 39 181 Goldfish.bmp PeanutMMs.bmp 12 9 1 i 1 1 635.35 12.00 9.00 
BM2_247 0 1 1 40 187 Jollyranchergreen.bmp Fritos.bmp 53 52 1 i 2 1 573.55 53.00 52.00 
BM2_247 0 1 1 41 192 MilkyWay.bmp Lollipopred.bmp 16 38 1 u 3 0 607.57 16.00 38.00 
BM2_247 0 1 1 42 202 Nutterbutter.bmp Doritosranch.bmp 40 22 0 i 4 0 750.05 40.00 22.00 
BM2_247 0 1 1 43 212 Oreos.bmp TeddyGrahamschocolate.bmp 17 44 1 u 4 0 715.19 17.00 44.00 
BM2_247 0 1 1 44 220 AnimalCrackers.bmp Cheezits.bmp 15 10 1 u 1 0 855.14 15.00 10.00 
BM2_247 0 1 1 45 224 Streusel.bmp Cheetos.bmp 21 43 1 u 4 0 1022.99 21.00 43.00 
BM2_247 0 1 1 46 227 AnimalCrackers.bmp RitzBitz2.bmp 15 13 1 u 1 0 803.74 15.00 13.00 
BM2_247 0 1 1 47 230 Dots_one.bmp AnimalCrackers.bmp 14 15 0 u 1 1 633.17 14.00 15.00 
BM2_247 0 1 1 48 233 Goldfish.bmp RitzBitz2.bmp 12 13 1 i 1 1 917.89 12.00 13.00 
