subjid scanner order block runtrial onsettime ImageLeft ImageRight TypeLeft TypeRight IsLefthigh Response PairType Outcome RT bidLeft bidRight 
BMS_056_TS1 1 1 1 1 2.004562e+00 Cheetos.bmp Milano.bmp 41 16 0 b 3 1 973.30 1.37 2.20 
BMS_056_TS1 1 1 1 2 1.100449e+01 Oreos.bmp Sourpatch.bmp 20 45 1 b 3 0 1209.34 2.02 1.15 
BMS_056_TS1 1 1 1 3 1.401017e+01 MrGoodbar.bmp SourSkittles.bmp 21 43 1 y 4 1 1457.68 2.01 1.29 
BMS_056_TS1 1 1 1 4 1.901927e+01 CheesyDoritos.bmp Funyuns_small.bmp 9 8 0 b 1 1 1153.51 2.52 2.56 
BMS_056_TS1 1 1 1 5 2.801925e+01 PopTartsStrawberry.bmp BabyRuth.bmp 46 48 1 b 2 0 1158.59 1.09 0.97 
BMS_056_TS1 1 1 1 6 3.401355e+01 Almondjoy.bmp BabyRuth.bmp 49 48 1 b 2 0 942.32 0.90 0.97 
BMS_056_TS1 1 1 1 7 3.701910e+01 Twinkie.bmp FamousAmos_small.bmp 12 14 1 y 1 1 775.69 2.49 2.43 
BMS_056_TS1 1 1 1 8 5.000974e+01 Cheezits.bmp Hersheymilk_several.bmp 17 40 1 b 4 0 1151.10 2.04 1.46 
BMS_056_TS1 1 1 1 9 6.001159e+01 Hersheymilk_several.bmp Reeses.bmp 40 22 0 y 4 0 1108.25 1.46 2.00 
BMS_056_TS1 1 1 1 10 6.502076e+01 Fritos.bmp Milano.bmp 42 16 0 x 3 999 999000.00 1.34 2.20 
BMS_056_TS1 1 1 1 11 6.800961e+01 Granolabar.bmp Fritos.bmp 19 42 1 b 3 0 969.23 2.02 1.34 
BMS_056_TS1 1 1 1 12 7.101516e+01 TeddyGrahamschocolate.bmp FrootLoops.bmp 10 11 0 b 1 1 622.72 2.52 2.51 
BMS_056_TS1 1 1 1 13 7.402071e+01 Streusel.bmp FrootLoops.bmp 13 11 0 b 1 1 700.13 2.44 2.51 
BMS_056_TS1 1 1 1 14 8.400580e+01 Butterfinger.bmp Cheezits.bmp 39 17 0 y 4 0 701.07 1.49 2.04 
BMS_056_TS1 1 1 1 15 8.701141e+01 PopTartsStrawberry.bmp PayDay.bmp 46 47 1 b 2 0 590.46 1.09 1.07 
BMS_056_TS1 1 1 1 16 9.701313e+01 Almondjoy.bmp Laffytaffyred_one.bmp 49 52 1 b 2 0 682.71 0.90 0.87 
BMS_056_TS1 1 1 1 17 1.000187e+02 TeddyGrahamschocolate.bmp PopTartsCinnamon.bmp 10 15 0 b 1 1 702.19 2.52 2.43 
