subjid scanner order block runtrial onsettime ImageLeft ImageRight TypeLeft TypeRight IsLefthigh Response PairType Outcome RT bidLeft bidRight 
BMS_058_TS1 1 1 2 1 2.006635e+00 PeanutMMs.bmp Hersheymilk_several.bmp 9 12 0 y 1 0 708.95 2.53 2.51 
BMS_058_TS1 1 1 2 2 1.100682e+01 BabyRuth.bmp Slimjim.bmp 46 47 1 b 2 0 673.77 0.07 0.07 
BMS_058_TS1 1 1 2 3 1.401212e+01 Ghiradelli_milk.bmp Doritosranch.bmp 11 14 1 y 1 1 510.50 2.51 2.48 
BMS_058_TS1 1 1 2 4 1.900467e+01 FamousAmos_small.bmp Twix.bmp 15 13 1 y 1 1 689.91 2.48 2.50 
BMS_058_TS1 1 1 2 5 2.800470e+01 Hersheymilk_several.bmp Doritosranch.bmp 12 14 1 y 1 1 428.93 2.51 2.48 
BMS_058_TS1 1 1 2 6 3.401570e+01 Chocolate_mm.bmp HoHo.bmp 17 43 1 b 4 0 755.88 2.45 0.09 
BMS_058_TS1 1 1 2 7 3.700461e+01 Almondjoy.bmp Jollyrancherred.bmp 48 53 0 b 2 1 776.01 0.07 0.06 
BMS_058_TS1 1 1 2 8 5.001194e+01 Cupcakes.bmp AnimalCrackers.bmp 41 20 0 y 3 0 710.65 0.54 2.01 
BMS_058_TS1 1 1 2 9 6.001376e+01 FamousAmos_small.bmp Doritosranch.bmp 15 14 1 b 1 0 917.86 2.48 2.48 
BMS_058_TS1 1 1 2 10 6.500642e+01 Laysclassic.bmp PopTartsStrawberry.bmp 8 10 1 b 1 0 729.20 2.57 2.53 
BMS_058_TS1 1 1 2 11 6.801184e+01 Jollyranchergreen.bmp 100grand_small.bmp 16 45 1 b 3 0 974.75 2.46 0.07 
BMS_058_TS1 1 1 2 12 7.101733e+01 FamousAmos_small.bmp PeanutMMs.bmp 15 9 1 y 1 1 653.26 2.48 2.53 
BMS_058_TS1 1 1 2 13 7.400657e+01 Goldfish.bmp Jollyrancherred.bmp 52 53 0 b 2 1 588.99 0.06 0.06 
BMS_058_TS1 1 1 2 14 8.400797e+01 100grand_small.bmp AnimalCrackers.bmp 45 20 0 y 3 0 635.62 0.07 2.01 
BMS_058_TS1 1 1 2 15 8.701351e+01 Riprolls.bmp Dots_one.bmp 23 38 1 b 3 0 595.09 2.01 0.59 
BMS_058_TS1 1 1 2 16 9.701530e+01 FlamingCheetos.bmp Goldfish.bmp 49 52 1 b 2 0 700.28 0.07 0.06 
BMS_058_TS1 1 1 2 17 1.000041e+02 Fritos.bmp Snickers.bmp 40 18 0 y 4 0 985.43 0.57 2.42 
BMS_058_TS1 1 1 2 18 1.030098e+02 Streusel.bmp Cheezits.bmp 42 19 0 y 3 0 687.78 0.49 2.03 
