subjid scanner order block runtrial onsettime ImageLeft ImageRight TypeLeft TypeRight IsLefthigh Response PairType Outcome RT bidLeft bidRight 
BMS_035_TS1 1 2 1 1 2.021343e+00 PopTartsStrawberry.bmp Jollyrancherred.bmp 21 44 1 y 3 1 1056.85 1.04 0.17 
BMS_035_TS1 1 2 1 2 1.102133e+01 Sourpatch.bmp Doritosranch.bmp 9 11 1 b 1 0 745.88 1.47 1.43 
BMS_035_TS1 1 2 1 3 1.402687e+01 AnimalCrackers.bmp MrGoodbar.bmp 38 19 0 y 4 0 610.37 0.53 1.05 
BMS_035_TS1 1 2 1 4 1.901941e+01 Laysclassic.bmp Streusel.bmp 51 50 1 b 2 0 534.79 0.11 0.12 
BMS_035_TS1 1 2 1 5 2.801934e+01 Twix.bmp FamousAmos_small.bmp 14 15 1 b 1 0 576.82 1.09 1.05 
BMS_035_TS1 1 2 1 6 3.401368e+01 Keeblerfudgestripes.bmp PayDay.bmp 23 45 1 b 4 0 564.52 1.03 0.17 
BMS_035_TS1 1 2 1 7 3.701927e+01 HoHo.bmp Goldfish.bmp 41 20 0 y 4 0 1038.94 0.23 1.04 
BMS_035_TS1 1 2 1 8 5.002661e+01 AnimalCrackers.bmp Keeblerfudgestripes.bmp 38 23 0 y 4 0 947.60 0.53 1.03 
BMS_035_TS1 1 2 1 9 6.001163e+01 Oreos.bmp PayDay.bmp 16 45 1 b 4 0 629.60 1.05 0.17 
BMS_035_TS1 1 2 1 10 6.502092e+01 PopTartsStrawberry.bmp MilkyWay.bmp 21 43 1 b 3 0 539.28 1.04 0.21 
BMS_035_TS1 1 2 1 11 6.802642e+01 100grand_small.bmp Fritos.bmp 47 53 1 y 2 1 1304.81 0.14 0.09 
BMS_035_TS1 1 2 1 12 7.101533e+01 Riprolls.bmp RitzBitz2.bmp 12 13 0 b 1 1 550.90 1.29 1.09 
BMS_035_TS1 1 2 1 13 7.402082e+01 Doritosranch.bmp RitzBitz2.bmp 11 13 0 b 1 1 569.35 1.43 1.09 
BMS_035_TS1 1 2 1 14 8.402260e+01 Lollipopred.bmp SnoBall.bmp 52 46 1 y 2 1 1008.59 0.11 0.17 
BMS_035_TS1 1 2 1 15 8.701142e+01 CheesyDoritos.bmp Milkduds.bmp 18 39 1 b 3 0 554.78 1.05 0.33 
BMS_035_TS1 1 2 1 16 9.701323e+01 Twix.bmp Doritosranch.bmp 14 11 1 b 1 0 549.93 1.09 1.43 
