subjectID	order	stimName	itemIndABC	bidInd	runtrial	isOld?	subjectAnswerIsOld	isBeep?	subjectAnswerIsBeep	onsettime	resp_choice	RT
MRI_snacks_102	 2	 CheetosSpicey.bmp	 33	 0	 1	 0	 1	 0	 0	 1.466168e-02	 u	 1.227152e+00	 
MRI_snacks_102	 2	 KinderBuenoWhite2.bmp	 17	 43	 2	 1	 1	 1	 1	 2.801421e+00	 i	 2.423062e+00	 
MRI_snacks_102	 2	 KinderJoy.bmp	 18	 47	 3	 1	 1	 0	 0	 6.772566e+00	 u	 1.253281e+00	 
MRI_snacks_102	 2	 Shugi.bmp	 22	 48	 4	 1	 1	 1	 0	 9.575724e+00	 u	 1.510251e+00	 
MRI_snacks_102	 2	 CrunchShokoVanil.bmp	 7	 50	 5	 1	 1	 0	 0	 1.264577e+01	 u	 1.140369e+00	 
MRI_snacks_102	 2	 PesekZman.bmp	 21	 56	 6	 1	 1	 0	 0	 1.534874e+01	 u	 1.373757e+00	 
MRI_snacks_102	 2	 Twist.bmp	 27	 54	 7	 1	 1	 1	 0	 1.826874e+01	 u	 7.375884e-01	 
MRI_snacks_102	 2	 Loacker.bmp	 20	 18	 8	 1	 1	 0	 0	 2.055470e+01	 u	 2.884330e+00	 
MRI_snacks_102	 2	 DoritosSourSpicy.bmp	 10	 15	 9	 1	 1	 0	 0	 2.499285e+01	 u	 9.213148e-01	 
MRI_snacks_102	 2	 ChocolateParaSucariotKoftzot2.bmp	 3	 51	 10	 1	 1	 1	 1	 2.746228e+01	 i	 8.482413e-01	 
MRI_snacks_102	 2	 GumiSnakes3.bmp	 12	 6	 11	 1	 1	 0	 0	 2.986497e+01	 u	 1.190647e+00	 
MRI_snacks_102	 2	 HispusimShatiah.bmp	 14	 8	 12	 1	 1	 1	 1	 3.260147e+01	 i	 9.742810e-01	 
MRI_snacks_102	 2	 Snickers.bmp	 24	 7	 13	 1	 1	 0	 0	 3.512097e+01	 u	 8.061719e-01	 
MRI_snacks_102	 2	 ClickBlackWhite3.bmp	 5	 44	 14	 1	 1	 0	 0	 3.749037e+01	 u	 6.868290e-01	 
MRI_snacks_102	 2	 BabyDoll.bmp	 1	 10	 15	 1	 1	 0	 0	 3.972612e+01	 u	 1.376252e+00	 
MRI_snacks_102	 2	 SkittlesFruits2.bmp	 23	 16	 16	 1	 1	 1	 1	 4.266269e+01	 i	 8.022566e-01	 
MRI_snacks_102	 2	 Kitkat.bmp	 19	 12	 17	 1	 1	 0	 0	 4.501542e+01	 u	 1.509716e+00	 
MRI_snacks_102	 2	 Twix.bmp	 28	 5	 18	 1	 1	 0	 0	 4.808535e+01	 u	 8.248186e-01	 
MRI_snacks_102	 2	 KashitSour.bmp	 15	 9	 19	 1	 1	 1	 0	 5.047146e+01	 u	 2.893945e+00	 
MRI_snacks_102	 2	 DoritosGrill.bmp	 8	 11	 20	 1	 1	 1	 1	 5.492640e+01	 i	 4.660543e+00	 
MRI_snacks_102	 2	 Dubonim.bmp	 11	 14	 21	 1	 1	 1	 1	 6.113332e+01	 i	 1.592547e+00	 
MRI_snacks_102	 2	 HappyHippo.bmp	 13	 17	 22	 1	 1	 1	 0	 6.428683e+01	 u	 9.253716e-01	 
MRI_snacks_102	 2	 CrunchBisquitWhite2.bmp	 6	 45	 23	 1	 1	 0	 0	 6.677300e+01	 u	 4.458231e+00	 
MRI_snacks_102	 2	 ClickBalls5.bmp	 4	 52	 24	 1	 1	 0	 0	 7.277968e+01	 u	 6.678768e-01	 
MRI_snacks_102	 2	 DoritosNatural.bmp	 9	 13	 25	 1	 1	 0	 0	 7.499881e+01	 u	 1.261403e+00	 
MRI_snacks_102	 2	 Tictac.bmp	 25	 55	 26	 1	 1	 0	 0	 7.781872e+01	 u	 2.131636e+00	 
MRI_snacks_102	 2	 Tortit.bmp	 26	 53	 27	 1	 1	 0	 0	 8.150610e+01	 u	 7.956203e-01	 
MRI_snacks_102	 2	 KifkefMaklot2.bmp	 16	 46	 28	 1	 1	 1	 1	 8.385871e+01	 i	 1.795654e+00	 
MRI_snacks_102	 2	 BisliOnion.bmp	 2	 49	 29	 1	 1	 1	 0	 8.721254e+01	 u	 4.202083e+00	 
