subjectID	order	itemIndABC	stimName	bidInd	runtrial	isOld?	subjectAnswerIsOld	onsettime_isOld	resp_isOld	RT_isOld	isGo?	subjectAnswerIsGo	onsettime_isGo	resp_isGo	RT_isGo
MRI_snacks_112	2	52	PitaCrunch.bmp	0	42	0	5	1.867232e+02	5	1.083863e+00	0	5	1.883417e+02	5	5.027781e-01	
MRI_snacks_112	2	4	BisliGrill.bmp	47	43	1	1	1.903942e+02	1	1.037950e+00	0	5	1.919625e+02	5	3.322524e-01	
MRI_snacks_112	2	47	Lotus.bmp	0	44	0	5	1.938479e+02	5	9.219396e-01	0	5	1.952996e+02	5	2.952179e-01	
MRI_snacks_112	2	6	ChocolateParaMilk3.bmp	7	45	1	1	1.971515e+02	1	1.468424e+00	0	5	1.991538e+02	5	3.412726e-01	
MRI_snacks_112	2	50	MnM2.bmp	0	46	0	5	2.010560e+02	5	8.016721e-01	0	5	2.023908e+02	5	3.793762e-01	
MRI_snacks_112	2	15	KifkefMaklot2.bmp	9	47	1	1	2.043263e+02	1	1.419027e+00	1	1	2.062784e+02	1	8.044261e-01	
MRI_snacks_112	2	8	ClickBalls5.bmp	45	48	1	1	2.086478e+02	1	1.047639e+00	0	5	2.102329e+02	5	2.751355e-01	
MRI_snacks_112	2	28	WerthersOriginal.bmp	44	49	1	1	2.120683e+02	1	1.152335e+00	0	5	2.137535e+02	5	8.297492e-01	
MRI_snacks_112	2	40	Crunch4.bmp	0	50	0	1	2.161395e+02	1	1.093851e+00	0	5	2.177747e+02	5	2.858799e+00	
MRI_snacks_112	2	39	Corny.bmp	0	51	0	5	2.221963e+02	5	8.622612e-01	0	5	2.235978e+02	5	7.483233e-01	
MRI_snacks_112	2	18	KinderJoy.bmp	12	52	1	1	2.259005e+02	1	8.457589e-01	0	5	2.272853e+02	5	2.984514e-01	
MRI_snacks_112	2	33	CheetosSpicey.bmp	0	53	0	2	2.291373e+02	2	7.259360e+00	0	5	2.369295e+02	5	1.442316e+00	
MRI_snacks_112	2	25	Tortit.bmp	48	54	1	1	2.399328e+02	1	9.516209e-01	1	1	2.414178e+02	1	3.917198e-01	
MRI_snacks_112	2	29	Abadi2.bmp	0	55	0	5	2.433700e+02	5	1.014602e+00	0	5	2.449217e+02	5	5.754439e-01	
MRI_snacks_112	2	38	CookiesSmile.bmp	0	56	0	5	2.470575e+02	5	8.522124e-01	0	5	2.484424e+02	5	4.049110e-01	
