subjid scanner order block runtrial onsettime ImageLeft ImageRight TypeLeft TypeRight IsLefthigh Response PairType Outcome RT bidIndexLeft bidIndexRight 
BM2_404 0 2 1 1 0 Toberlorone.bmp KitKat_small.bmp 14 15 1 u 1 0 638.57 14.00 15.00 
BM2_404 0 2 1 2 9 Funyuns_small.bmp KitKat_small.bmp 13 15 1 u 1 0 541.71 13.00 15.00 
BM2_404 0 2 1 3 12 TeddyGrahamschocolate.bmp PayDay.bmp 21 43 1 u 3 0 837.47 21.00 43.00 
BM2_404 0 2 1 4 17 PayDay.bmp Snickers.bmp 43 17 0 i 3 0 896.76 43.00 17.00 
BM2_404 0 2 1 5 26 FigNewton_small.bmp Hersheykisses.bmp 39 18 0 i 3 0 878.09 39.00 18.00 
BM2_404 0 2 1 6 32 SnoBall.bmp Dots_one.bmp 51 46 1 i 2 1 952.51 51.00 46.00 
BM2_404 0 2 1 7 35 Skittles.bmp PopTartsCinnamon.bmp 53 47 0 u 2 1 1190.01 53.00 47.00 
BM2_404 0 2 1 8 48 Granolabar.bmp 100grand_small.bmp 19 42 1 u 4 0 1296.60 19.00 42.00 
BM2_404 0 2 1 9 58 PayDay.bmp Whatchamacallit.bmp 43 22 0 i 3 0 845.88 43.00 22.00 
BM2_404 0 2 1 10 63 PopTartsStrawberry.bmp Snickers.bmp 44 17 0 i 3 0 864.48 44.00 17.00 
BM2_404 0 2 1 11 66 MrGoodbar.bmp Cheezits.bmp 41 23 0 u 4 1 909.93 41.00 23.00 
BM2_404 0 2 1 12 69 Keeblerfudgestripes.bmp Toberlorone.bmp 12 14 0 i 1 0 853.60 12.00 14.00 
BM2_404 0 2 1 13 72 Toberlorone.bmp Twix.bmp 14 11 1 u 1 0 733.49 14.00 11.00 
BM2_404 0 2 1 14 82 CheesyDoritos.bmp HoHo.bmp 16 38 1 i 4 1 797.30 16.00 38.00 
BM2_404 0 2 1 15 85 Keeblerfudgestripes.bmp Funyuns_small.bmp 12 13 0 u 1 1 814.18 12.00 13.00 
BM2_404 0 2 1 16 95 Twix.bmp Chocolate_mm.bmp 11 9 0 u 1 1 848.02 11.00 9.00 
BM2_404 0 2 1 17 98 FigNewton_small.bmp TeddyGrahamschocolate.bmp 39 21 0 i 3 0 996.77 39.00 21.00 
BM2_404 0 2 1 18 101 PringlesRed.bmp MrGoodbar.bmp 20 41 1 i 4 1 822.03 20.00 41.00 
BM2_404 0 2 1 19 105 Skittles.bmp SnoBall.bmp 53 51 0 i 2 0 997.22 53.00 51.00 
BM2_404 0 2 1 20 109 Lollipopred.bmp Streusel.bmp 50 52 0 i 2 0 1184.90 50.00 52.00 
BM2_404 0 2 1 21 113 Jollyranchergreen.bmp Skittles.bmp 48 53 1 i 2 1 885.27 48.00 53.00 
BM2_404 0 2 1 22 119 Reeses.bmp PopTartsCinnamon.bmp 49 47 0 i 2 0 885.65 49.00 47.00 
BM2_404 0 2 1 23 123 Streusel.bmp Dots_one.bmp 52 46 1 u 2 0 930.48 52.00 46.00 
BM2_404 0 2 1 24 132 100grand_small.bmp Cheezits.bmp 42 23 0 i 4 0 909.40 42.00 23.00 
BM2_404 0 2 1 25 140 Goldfish.bmp Snickers.bmp 40 17 0 u 3 1 992.82 40.00 17.00 
BM2_404 0 2 1 26 144 Chocolate_mm.bmp Keeblerfudgestripes.bmp 9 12 1 i 1 1 1301.18 9.00 12.00 
BM2_404 0 2 1 27 147 Reeses.bmp SnoBall.bmp 49 51 0 i 2 0 1022.18 49.00 51.00 
BM2_404 0 2 1 28 151 Ghiradelli_milk.bmp Keeblerfudgestripes.bmp 10 12 1 u 1 0 637.63 10.00 12.00 
BM2_404 0 2 1 29 154 BabyRuth.bmp Granolabar.bmp 45 19 0 i 4 0 866.40 45.00 19.00 
BM2_404 0 2 1 30 158 BabyRuth.bmp Cheezits.bmp 45 23 0 i 4 0 806.71 45.00 23.00 
BM2_404 0 2 1 31 161 MrGoodbar.bmp CheesyDoritos.bmp 41 16 0 u 4 1 691.46 41.00 16.00 
BM2_404 0 2 1 32 167 Dots_one.bmp Jollyranchergreen.bmp 46 48 0 i 2 0 749.06 46.00 48.00 
BM2_404 0 2 1 33 170 PayDay.bmp Hersheykisses.bmp 43 18 0 i 3 0 801.76 43.00 18.00 
BM2_404 0 2 1 34 174 TeddyGrahamschocolate.bmp PopTartsStrawberry.bmp 21 44 1 u 3 0 646.18 21.00 44.00 
BM2_404 0 2 1 35 179 Ghiradelli_milk.bmp Hersheymilk_several.bmp 10 8 1 u 1 0 741.84 10.00 8.00 
BM2_404 0 2 1 36 182 MrGoodbar.bmp Granolabar.bmp 41 19 0 u 4 1 741.55 41.00 19.00 
BM2_404 0 2 1 37 185 Lollipopred.bmp Jollyranchergreen.bmp 50 48 0 i 2 0 642.31 50.00 48.00 
BM2_404 0 2 1 38 188 Reeses.bmp Jollyranchergreen.bmp 49 48 0 i 2 0 831.75 49.00 48.00 
BM2_404 0 2 1 39 191 PringlesRed.bmp HoHo.bmp 20 38 1 i 4 1 764.52 20.00 38.00 
BM2_404 0 2 1 40 195 Hersheykisses.bmp Goldfish.bmp 18 40 1 u 3 0 606.41 18.00 40.00 
BM2_404 0 2 1 41 200 CheesyDoritos.bmp BabyRuth.bmp 16 45 1 u 4 0 858.75 16.00 45.00 
BM2_404 0 2 1 42 204 TeddyGrahamschocolate.bmp Goldfish.bmp 21 40 1 u 3 0 607.18 21.00 40.00 
BM2_404 0 2 1 43 208 SnoBall.bmp Lollipopred.bmp 51 50 1 u 2 0 621.85 51.00 50.00 
BM2_404 0 2 1 44 212 Ghiradelli_milk.bmp KitKat_small.bmp 10 15 1 u 1 0 574.16 10.00 15.00 
BM2_404 0 2 1 45 218 Ghiradelli_milk.bmp Twix.bmp 10 11 1 u 1 0 520.73 10.00 11.00 
BM2_404 0 2 1 46 224 Chocolate_mm.bmp Hersheymilk_several.bmp 9 8 1 u 1 0 661.82 9.00 8.00 
BM2_404 0 2 1 47 229 Hersheymilk_several.bmp Funyuns_small.bmp 8 13 0 i 1 0 860.83 8.00 13.00 
BM2_404 0 2 1 48 236 Snickers.bmp FigNewton_small.bmp 17 39 1 u 3 0 661.97 17.00 39.00 
BM2_404 0 2 1 49 240 Funyuns_small.bmp Twix.bmp 13 11 1 u 1 0 790.01 13.00 11.00 
BM2_404 0 2 1 50 250 Hersheykisses.bmp PopTartsStrawberry.bmp 18 44 1 u 3 0 631.60 18.00 44.00 
BM2_404 0 2 1 51 260 HoHo.bmp Cheezits.bmp 38 23 0 i 4 0 1140.81 38.00 23.00 
BM2_404 0 2 1 52 264 PopTartsCinnamon.bmp Lollipopred.bmp 47 50 1 i 2 1 984.45 47.00 50.00 
BM2_404 0 2 1 53 271 KitKat_small.bmp Chocolate_mm.bmp 15 9 0 i 1 0 661.44 15.00 9.00 
BM2_404 0 2 1 54 275 Toberlorone.bmp Hersheymilk_several.bmp 14 8 1 u 1 0 549.32 14.00 8.00 
BM2_404 0 2 1 55 279 Goldfish.bmp Whatchamacallit.bmp 40 22 0 u 3 1 672.99 40.00 22.00 
BM2_404 0 2 1 56 283 PopTartsCinnamon.bmp Dots_one.bmp 47 46 1 u 2 0 741.36 47.00 46.00 
BM2_404 0 2 1 57 286 100grand_small.bmp PringlesRed.bmp 42 20 0 i 4 0 861.63 42.00 20.00 
BM2_404 0 2 1 58 289 Streusel.bmp Skittles.bmp 52 53 1 u 2 0 685.53 52.00 53.00 
BM2_404 0 2 1 59 293 PringlesRed.bmp BabyRuth.bmp 20 45 1 i 4 1 674.57 20.00 45.00 
BM2_404 0 2 1 60 296 Reeses.bmp Streusel.bmp 49 52 0 i 2 0 776.02 49.00 52.00 
BM2_404 0 2 1 61 299 PopTartsStrawberry.bmp Whatchamacallit.bmp 44 22 0 i 3 0 732.78 44.00 22.00 
BM2_404 0 2 1 62 306 Granolabar.bmp HoHo.bmp 19 38 1 u 4 0 973.23 19.00 38.00 
BM2_404 0 2 1 63 311 FigNewton_small.bmp Whatchamacallit.bmp 39 22 0 i 3 0 872.51 39.00 22.00 
BM2_404 0 2 1 64 317 CheesyDoritos.bmp 100grand_small.bmp 16 42 1 u 4 0 1110.27 16.00 42.00 
BM2_404 0 2 2 65 3.234952e+02 100grand_small.bmp Granolabar.bmp 42 19 0 i 4 0 959.64 42.00 19.00 
BM2_404 0 2 2 66 3.274952e+02 KitKat_small.bmp Toberlorone.bmp 15 14 0 i 1 0 590.38 15.00 14.00 
BM2_404 0 2 2 67 3.304952e+02 KitKat_small.bmp Funyuns_small.bmp 15 13 0 i 1 0 607.08 15.00 13.00 
BM2_404 0 2 2 68 3.334952e+02 PayDay.bmp TeddyGrahamschocolate.bmp 43 21 0 i 3 0 748.92 43.00 21.00 
BM2_404 0 2 2 69 3.364952e+02 Cheezits.bmp MrGoodbar.bmp 23 41 1 i 4 1 609.69 23.00 41.00 
BM2_404 0 2 2 70 3.444952e+02 SnoBall.bmp Dots_one.bmp 51 46 1 u 2 0 590.62 51.00 46.00 
BM2_404 0 2 2 71 3.474952e+02 HoHo.bmp CheesyDoritos.bmp 38 16 0 i 4 0 726.48 38.00 16.00 
BM2_404 0 2 2 72 3.554952e+02 PayDay.bmp Snickers.bmp 43 17 0 i 3 0 726.55 43.00 17.00 
BM2_404 0 2 2 73 3.584952e+02 MrGoodbar.bmp PringlesRed.bmp 41 20 0 u 4 1 598.82 41.00 20.00 
BM2_404 0 2 2 74 3.674952e+02 PopTartsCinnamon.bmp Skittles.bmp 47 53 1 i 2 1 833.55 47.00 53.00 
BM2_404 0 2 2 75 3.704952e+02 Hersheykisses.bmp FigNewton_small.bmp 18 39 1 u 3 0 551.05 18.00 39.00 
BM2_404 0 2 2 76 3.784952e+02 Cheezits.bmp 100grand_small.bmp 23 42 1 u 4 0 942.42 23.00 42.00 
BM2_404 0 2 2 77 3.834952e+02 BabyRuth.bmp Granolabar.bmp 45 19 0 i 4 0 952.96 45.00 19.00 
BM2_404 0 2 2 78 3.974952e+02 Skittles.bmp SnoBall.bmp 53 51 0 u 2 1 842.60 53.00 51.00 
BM2_404 0 2 2 79 4.004952e+02 Keeblerfudgestripes.bmp Toberlorone.bmp 12 14 0 i 1 0 728.05 12.00 14.00 
BM2_404 0 2 2 80 4.044952e+02 Toberlorone.bmp Twix.bmp 14 11 1 u 1 0 523.68 14.00 11.00 
