subjid scanner order block runtrial onsettime ImageLeft ImageRight TypeLeft TypeRight IsLefthigh Response PairType Outcome RT bidIndexLeft bidIndexRight 
BM2_336 0 2 1 62 312 Funyuns_small.bmp Hersheymilk_several.bmp 47 53 1 u 2 0 700.56 47.00 53.00 
BM2_336 0 2 1 63 315 Sourpatch.bmp Almondjoy.bmp 13 11 1 i 1 1 940.57 13.00 11.00 
BM2_336 0 2 1 64 318 Jollyrancherred.bmp Funyuns_small.bmp 49 47 0 u 2 1 875.17 49.00 47.00 
BM2_336 0 2 2 65 3.255333e+02 Skittles.bmp Laysclassic.bmp 19 41 1 x 4 999 999000.00 19.00 41.00 
BM2_336 0 2 2 66 3.295333e+02 Chocolate_mm.bmp Butterfinger.bmp 15 10 0 i 1 0 935.41 15.00 10.00 
BM2_336 0 2 2 67 3.345333e+02 Jollyrancherred.bmp Hersheykisses.bmp 49 51 0 i 2 0 948.62 49.00 51.00 
BM2_336 0 2 2 68 3.405333e+02 Skittles.bmp Slimjim.bmp 19 42 1 u 4 0 654.89 19.00 42.00 
BM2_336 0 2 2 69 3.435333e+02 3Musketeers.bmp PringlesRed.bmp 18 44 1 u 3 0 671.58 18.00 44.00 
BM2_336 0 2 2 70 3.465333e+02 AnimalCrackers.bmp Jollyrancherred.bmp 48 49 1 u 2 0 894.91 48.00 49.00 
BM2_336 0 2 2 71 3.505333e+02 Snickers.bmp Keeblerfudgestripes.bmp 8 14 0 u 1 1 860.04 8.00 14.00 
BM2_336 0 2 2 72 3.535333e+02 Doritosranch.bmp Skittles.bmp 45 19 0 i 4 0 705.55 45.00 19.00 
BM2_336 0 2 2 73 3.635333e+02 Snickers.bmp Sourpatch.bmp 8 13 0 u 1 1 638.70 8.00 13.00 
BM2_336 0 2 2 74 3.715333e+02 Milano.bmp Chocolate_mm.bmp 9 15 1 i 1 1 1102.81 9.00 15.00 
BM2_336 0 2 2 75 3.815333e+02 Slimjim.bmp SourSkittles.bmp 42 16 0 i 4 0 755.96 42.00 16.00 
BM2_336 0 2 2 76 3.845333e+02 Hersheymilk_several.bmp Hersheykisses.bmp 53 51 0 i 2 0 913.47 53.00 51.00 
BM2_336 0 2 2 77 3.885333e+02 100grand_small.bmp Nutterbutter.bmp 17 40 1 u 3 0 901.16 17.00 40.00 
BM2_336 0 2 2 78 3.935333e+02 Keeblerfudgestripes.bmp PeanutMMs.bmp 14 12 1 i 1 1 926.87 14.00 12.00 
BM2_336 0 2 2 79 3.975333e+02 Butterfinger.bmp Snickers.bmp 10 8 1 i 1 1 979.44 10.00 8.00 
BM2_336 0 2 2 80 4.025333e+02 Butterfinger.bmp Almondjoy.bmp 10 11 1 u 1 0 1342.73 10.00 11.00 
BM2_336 0 2 2 81 4.055333e+02 Riprolls.bmp 100grand_small.bmp 39 17 0 i 3 0 799.36 39.00 17.00 
BM2_336 0 2 2 82 4.095333e+02 PopTartsCinnamon.bmp CheesyDoritos.bmp 21 43 1 i 3 1 1167.01 21.00 43.00 
BM2_336 0 2 2 83 4.125333e+02 Milano.bmp Almondjoy.bmp 9 11 1 i 1 1 1219.96 9.00 11.00 
BM2_336 0 2 2 84 4.155333e+02 PayDay.bmp Streusel.bmp 20 38 1 u 4 0 1041.33 20.00 38.00 
BM2_336 0 2 2 85 4.245333e+02 Goldfish.bmp PringlesRed.bmp 22 44 1 u 3 0 687.26 22.00 44.00 
