subjectID	order	itemIndABC	stimName	bidInd	runtrial	isOld?	subjectAnswerIsOld	onsettime_isOld	resp_isOld	RT_isOld	isGo?	subjectAnswerIsGo	onsettime_isGo	resp_isGo	RT_isGo
bmem_snacks2_128	2	13	DoritosSourSpicy.bmp	12	1	1	1	1.156759e+00	1	1.624424e+00	0	5	3.325870e+00	5	1.911310e+00	
bmem_snacks2_128	2	1	Apropo.bmp	5	2	1	1	6.796400e+00	1	1.320780e+00	0	5	8.648500e+00	5	2.860667e+00	
bmem_snacks2_128	2	24	SkittlesFruits2.bmp	43	3	1	1	1.307014e+01	1	1.455038e+00	1	3	1.505575e+01	3	2.141455e+00	
bmem_snacks2_128	2	21	Loacker.bmp	50	4	1	1	1.875993e+01	1	2.093311e+00	0	3	2.139622e+01	3	1.128959e+00	
bmem_snacks2_128	2	40	Crunch4.bmp	0	5	0	999	2.408247e+01	999	999	0	3	2.761990e+01	3	8.252696e-01	
bmem_snacks2_128	2	56	bagaleShminiot.bmp	0	6	0	3	3.000588e+01	3	1.599297e+00	0	5	3.214154e+01	5	1.311655e+00	
bmem_snacks2_128	2	10	ClickXLbrown4.bmp	10	7	1	1	3.501146e+01	1	1.225719e+00	0	2	3.678009e+01	2	1.593082e+00	
bmem_snacks2_128	2	9	ClickBlackWhite3.bmp	13	8	1	1	3.993360e+01	1	1.159585e+00	0	2	4.163548e+01	2	9.457128e-01	
bmem_snacks2_128	2	50	MnM2.bmp	0	9	0	2	4.413833e+01	2	1.466850e+00	0	5	4.614052e+01	5	1.520661e+00	
bmem_snacks2_128	2	44	Kifkef.bmp	0	10	0	1	4.921063e+01	1	1.386552e+00	0	999	5.112946e+01	999	999	
bmem_snacks2_128	2	23	Shugi.bmp	8	11	1	1	5.566795e+01	1	1.361231e+00	1	1	5.757009e+01	1	6.590749e-01	
bmem_snacks2_128	2	2	BambaSweet.bmp	46	12	1	1	5.978919e+01	1	9.519864e-01	1	1	6.127426e+01	1	3.469207e-01	
bmem_snacks2_128	2	55	Toblerone.bmp	0	13	0	3	6.317634e+01	3	2.564831e+00	0	5	6.627980e+01	5	1.245383e+00	
bmem_snacks2_128	2	16	HispusimShatiah.bmp	53	14	1	2	6.908306e+01	2	1.810113e+00	0	5	7.143563e+01	5	1.329548e+00	
bmem_snacks2_128	2	47	Lotus.bmp	0	15	0	3	7.432211e+01	3	2.075073e+00	0	5	7.694173e+01	5	9.834487e-01	
bmem_snacks2_128	2	26	Taami.bmp	55	16	1	1	7.947805e+01	1	1.767129e+00	0	1	8.178051e+01	1	2.552683e+00	
bmem_snacks2_128	2	33	CheetosSpicey.bmp	0	17	0	3	8.588513e+01	3	2.736063e+00	0	5	8.915551e+01	5	3.376718e-01	
bmem_snacks2_128	2	28	Twix.bmp	47	18	1	1	9.104094e+01	1	1.236237e+00	0	2	9.280960e+01	2	1.435581e+00	
bmem_snacks2_128	2	37	ClickCornflakes.bmp	0	19	0	999	9.579629e+01	999	999	0	5	9.931697e+01	5	1.296210e+00	
bmem_snacks2_128	2	29	Abadi2.bmp	0	20	0	5	1.021701e+02	5	2.059090e+00	0	5	1.047730e+02	5	7.441617e-01	
bmem_snacks2_128	2	39	Corny.bmp	0	21	0	5	1.070756e+02	5	1.265583e+00	0	5	1.088777e+02	5	3.434794e-01	
bmem_snacks2_128	2	35	ChocolateParaNuts2.bmp	0	22	0	5	1.107797e+02	5	1.801446e+00	0	5	1.131157e+02	5	3.934900e-01	
