subjectID	order	itemIndABC	stimName	bidInd	runtrial	isOld?	subjectAnswerIsOld	onsettime_isOld	resp_isOld	RT_isOld	isGo?	subjectAnswerIsGo	onsettime_isGo	resp_isGo	RT_isGo
bmem_snacks2_112	2	34	ChocolateChipsCookies.bmp	0	42	0	3	2.087951e+02	3	2.017719e+00	0	3	2.113481e+02	3	2.407625e-01	
bmem_snacks2_112	2	30	Argaliyot.bmp	0	43	0	3	2.131500e+02	3	2.590805e+00	0	3	2.162869e+02	3	2.859439e-01	
bmem_snacks2_112	2	23	Loacker.bmp	8	44	1	3	2.181223e+02	3	2.290534e+00	1	3	2.209589e+02	3	2.539818e-01	
bmem_snacks2_112	2	48	MikeAndIke.bmp	0	45	0	2	2.227609e+02	2	2.227922e+00	0	3	2.255307e+02	3	8.502099e-01	
bmem_snacks2_112	2	29	Abadi2.bmp	0	46	0	5	2.279334e+02	5	1.975511e+00	0	5	2.304529e+02	5	2.399768e-01	
bmem_snacks2_112	2	14	CrunchBisquitBrown3.bmp	6	47	1	1	2.322550e+02	1	1.309884e+00	0	3	2.341069e+02	3	1.577925e+00	
bmem_snacks2_112	2	20	Keifli.bmp	48	48	1	3	2.372438e+02	3	2.289043e+00	1	3	2.400637e+02	3	2.931550e-01	
bmem_snacks2_112	2	7	BisliGrill.bmp	10	49	1	2	2.419157e+02	2	1.497139e+00	0	3	2.439514e+02	3	4.614759e-01	
bmem_snacks2_112	2	6	BambaSweet.bmp	44	50	1	1	2.459703e+02	1	1.514520e+00	0	3	2.480227e+02	3	2.134186e+00	
bmem_snacks2_112	2	28	WerthersOriginal.bmp	46	51	1	1	2.517101e+02	1	1.270807e+00	1	4	2.535123e+02	4	2.124582e+00	
bmem_snacks2_112	2	16	Dubonim.bmp	47	52	1	2	2.571995e+02	2	2.397318e+00	0	3	2.601362e+02	3	2.046256e-01	
bmem_snacks2_112	2	36	ChocolateWhite.bmp	0	53	0	5	2.619049e+02	5	1.723952e+00	0	5	2.641741e+02	5	1.747525e-01	
bmem_snacks2_112	2	55	Toblerone.bmp	0	54	0	4	2.659094e+02	4	1.887476e+00	0	4	2.683288e+02	4	2.360350e-01	
bmem_snacks2_112	2	27	Snickers.bmp	45	55	1	1	2.701141e+02	1	1.194799e+00	0	3	2.718495e+02	3	1.953891e-01	
bmem_snacks2_112	2	26	Smarties.bmp	50	56	1	1	2.736013e+02	1	1.051528e+00	0	3	2.751866e+02	3	2.102924e-01	
