subjid test_comp runnum runtrial itemname question onsettime RT response fixationtime bidindex itemnameIndex bid 
BMS_084 arizona 1 1 ChipsAhoy_small.bmp 2 4.818478e+00 2.726586e+00 y 8.40 4 10 1.513333
BMS_084 arizona 1 2 FamousAmos_small.bmp 2 1.440554e+01 1.946505e+00 y 18.01 10 15 1.046667
BMS_084 arizona 1 3 FlamingCheetos.bmp 2 2.400919e+01 2.532898e+00 y 27.61 44 17 0.053333
BMS_084 arizona 1 4 Jollyrancherred.bmp 2 3.361288e+01 3.600000e+00 x 37.23 29 27 0.526667
BMS_084 arizona 1 5 Milano.bmp 3 4.321661e+01 1.851476e+00 y 46.82 1 33 2.033333
BMS_084 arizona 1 6 Whatchamacallit.bmp 3 5.280359e+01 2.109487e+00 b 56.40 56 56 0.013333
BMS_084 arizona 1 7 Whatchamacallit.bmp 2 6.240733e+01 2.599768e+00 b 66.01 56 56 0.013333
BMS_084 arizona 1 8 AnimalCrackers.bmp 3 7.201098e+01 2.423115e+00 g 75.61 25 4 0.700000
BMS_084 arizona 1 9 Sourpatch.bmp 2 8.161467e+01 2.117430e+00 y 85.22 30 52 0.520000
BMS_084 arizona 1 10 Crunch.bmp 2 9.121836e+01 3.600000e+00 x 94.84 41 12 0.066667
BMS_084 arizona 1 11 AnimalCrackers.bmp 2 1.008054e+02 2.338667e+00 y 104.41 25 4 0.700000
BMS_084 arizona 1 12 FlamingCheetos.bmp 1 1.104091e+02 3.600000e+00 x 114.04 44 17 0.053333
BMS_084 arizona 1 13 Whatchamacallit.bmp 1 1.200128e+02 2.154304e+00 r 123.61 56 56 0.013333
BMS_084 arizona 1 14 Granolabar.bmp 3 1.296165e+02 1.595641e+00 y 133.22 19 24 0.806667
BMS_084 arizona 1 15 MilkyWay.bmp 3 1.392035e+02 3.161589e+00 g 142.80 38 35 0.073333
BMS_084 arizona 1 16 Reeses.bmp 3 1.488072e+02 1.688927e+00 y 152.41 7 45 1.493333
BMS_084 arizona 1 17 Lollipopred.bmp 1 1.584109e+02 1.740191e+00 r 162.01 53 32 0.040000
BMS_084 arizona 1 18 Dots_one.bmp 3 1.680146e+02 3.112513e+00 r 171.62 50 14 0.046667
BMS_084 arizona 1 19 MilkyWay.bmp 2 1.776182e+02 2.525867e+00 b 181.20 38 35 0.073333
BMS_084 arizona 1 20 Jollyrancherred.bmp 1 1.872053e+02 2.306802e+00 y 190.81 29 27 0.526667
BMS_084 arizona 1 21 Butterfinger.bmp 2 1.968090e+02 1.776193e+00 b 200.41 31 6 0.513333
BMS_084 arizona 1 22 Butterfinger.bmp 3 2.064127e+02 2.975422e+00 g 210.01 31 6 0.513333
BMS_084 arizona 1 23 AnimalCrackers.bmp 1 2.160163e+02 2.757776e+00 g 219.62 25 4 0.700000
BMS_084 arizona 1 24 Hersheykisses.bmp 1 2.256034e+02 1.984765e+00 g 229.20 35 25 0.086667
BMS_084 arizona 1 25 Granolabar.bmp 1 2.352070e+02 2.667961e+00 y 238.81 19 24 0.806667
BMS_084 arizona 1 26 Lollipopred.bmp 2 2.448107e+02 2.671370e+00 b 248.41 53 32 0.040000
BMS_084 arizona 1 27 Sourpatch.bmp 3 2.544144e+02 3.600000e+00 x 258.03 30 52 0.520000
BMS_084 arizona 1 28 Ghiradelli_milk_Almonds.bmp 2 2.640181e+02 2.823897e+00 b 267.60 27 22 0.553333
BMS_084 arizona 1 29 Ghiradelli_milk.bmp 3 2.736051e+02 1.726976e+00 y 277.21 22 21 0.753333
BMS_084 arizona 1 30 MilkyWay.bmp 1 2.832088e+02 2.271289e+00 g 286.81 38 35 0.073333
BMS_084 arizona 1 31 Ghiradelli_milk.bmp 2 2.928126e+02 1.523554e+00 b 296.41 22 21 0.753333
BMS_084 arizona 1 32 Butterfinger.bmp 1 3.024162e+02 2.832909e+00 g 306.02 31 6 0.513333
BMS_084 arizona 1 33 Fritos.bmp 3 3.120032e+02 3.195838e+00 g 315.60 26 18 0.620000
BMS_084 arizona 1 34 FlamingCheetos.bmp 3 3.216070e+02 3.430164e+00 g 325.21 44 17 0.053333
BMS_084 arizona 1 35 TeddyGrahamschocolate.bmp 2 3.312106e+02 1.680399e+00 b 334.81 28 53 0.540000
BMS_084 arizona 1 36 Crunch.bmp 3 3.408144e+02 2.423766e+00 g 344.42 41 12 0.066667
