subjid scanner order block runtrial onsettime ImageLeft ImageRight TypeLeft TypeRight IsLefthigh Response PairType Outcome RT bidIndexLeft bidIndexRight bidLeft bidRight
BMS_089 1 1 1 1 4.801846e+00 AnimalCrackers.bmp RitzBitz2.bmp 21 22 1 b 2 1 0.826068 39 40 1.446667 1.446667 
BMS_089 1 1 1 2 1.080415e+01 PopTartsStrawberry.bmp Nutterbutter.bmp 12 11 0 y 1 1 1.028766 15 12 2.120000 2.253333 
BMS_089 1 1 1 3 1.680642e+01 Milkduds.bmp Riprolls.bmp 11 12 1 b 1 1 0.723496 8 17 2.400000 2.013333 
BMS_089 1 1 1 4 2.280873e+01 FigNewton_small.bmp RitzBitz2.bmp 21 22 1 b 2 1 1.105186 43 40 1.326667 1.446667 
BMS_089 1 1 1 5 2.881103e+01 Snickers.bmp Nutterbutter.bmp 12 11 0 b 1 0 0.779904 9 12 2.380000 2.253333 
BMS_089 1 1 1 6 3.481334e+01 FrootLoops.bmp AnimalCrackers.bmp 22 21 0 y 2 1 0.909518 42 39 1.333333 1.446667 
BMS_089 1 1 1 7 4.081565e+01 Ghiradelli_milk_Almonds.bmp PopTartsStrawberry.bmp 11 12 1 b 1 1 0.636273 14 15 2.226667 2.120000 
BMS_089 1 1 1 8 4.680128e+01 Fritos.bmp Keeblerfudgestripes.bmp 21 22 1 b 2 1 0.899639 45 46 1.306667 1.280000 
BMS_089 1 1 1 9 5.280359e+01 Crunch.bmp PopTartsStrawberry.bmp 11 12 1 b 1 1 0.776331 18 15 1.980000 2.120000 
BMS_089 1 1 1 10 5.880594e+01 KitKat_small.bmp Nutterbutter.bmp 12 11 0 b 1 0 0.565979 11 12 2.266667 2.253333 
BMS_089 1 1 1 11 6.480825e+01 Milkduds.bmp KitKat_small.bmp 11 12 1 b 1 1 0.707665 8 11 2.400000 2.266667 
BMS_089 1 1 1 12 7.081056e+01 Keeblerfudgestripes.bmp Butterfinger.bmp 22 21 0 y 2 1 0.744369 46 49 1.280000 1.206667 
BMS_089 1 1 1 13 7.681282e+01 FrootLoops.bmp Butterfinger.bmp 22 21 0 y 2 1 0.735095 42 49 1.333333 1.206667 
BMS_089 1 1 1 14 8.281517e+01 Fritos.bmp FrootLoops.bmp 21 22 1 b 2 1 1.038766 45 42 1.306667 1.333333 
BMS_089 1 1 1 15 8.881744e+01 Crunch.bmp Riprolls.bmp 11 12 1 y 1 0 0.945496 18 17 1.980000 2.013333 
BMS_089 1 1 1 16 9.480307e+01 PopTartsStrawberry.bmp Milkduds.bmp 12 11 0 y 1 1 0.764855 15 8 2.120000 2.400000 
BMS_089 1 1 1 17 1.008054e+02 MilkyWay.bmp AnimalCrackers.bmp 22 21 0 y 2 1 1.334545 48 39 1.213333 1.446667 
BMS_089 1 1 1 18 1.068077e+02 Riprolls.bmp Ghiradelli_milk_Almonds.bmp 12 11 0 y 1 1 1.010197 17 14 2.013333 2.226667 
BMS_089 1 1 1 19 1.128100e+02 RitzBitz2.bmp Fritos.bmp 22 21 0 b 2 0 1.138935 40 45 1.446667 1.306667 
BMS_089 1 1 1 20 1.188123e+02 Nutterbutter.bmp Riprolls.bmp 11 12 1 y 1 0 0.640621 12 17 2.253333 2.013333 
BMS_089 1 1 1 21 1.248146e+02 FigNewton_small.bmp Keeblerfudgestripes.bmp 21 22 1 b 2 1 1.254317 43 46 1.326667 1.280000 
BMS_089 1 1 1 22 1.308170e+02 KitKat_small.bmp Ghiradelli_milk_Almonds.bmp 12 11 0 b 1 0 0.971981 11 14 2.266667 2.226667 
BMS_089 1 1 1 23 1.368026e+02 Butterfinger.bmp MilkyWay.bmp 21 22 1 y 2 0 1.145342 49 48 1.206667 1.213333 
BMS_089 1 1 1 24 1.428049e+02 Crunch.bmp Snickers.bmp 11 12 1 y 1 0 1.028034 18 9 1.980000 2.380000 
BMS_089 1 1 1 25 1.488072e+02 Snickers.bmp Ghiradelli_milk_Almonds.bmp 12 11 0 b 1 0 0.964736 9 14 2.380000 2.226667 
BMS_089 1 1 1 26 1.548095e+02 KitKat_small.bmp Crunch.bmp 12 11 0 b 1 0 1.040460 11 18 2.266667 1.980000 
BMS_089 1 1 1 27 1.608118e+02 AnimalCrackers.bmp Keeblerfudgestripes.bmp 21 22 1 b 2 1 1.027112 39 46 1.446667 1.280000 
BMS_089 1 1 1 28 1.668141e+02 RitzBitz2.bmp Butterfinger.bmp 22 21 0 b 2 0 1.358844 40 49 1.446667 1.206667 
BMS_089 1 1 1 29 1.728164e+02 MilkyWay.bmp FigNewton_small.bmp 22 21 0 y 2 1 0.973509 48 43 1.213333 1.326667 
BMS_089 1 1 1 30 1.788020e+02 MilkyWay.bmp Fritos.bmp 22 21 0 b 2 0 1.219891 48 45 1.213333 1.306667 
BMS_089 1 1 1 31 1.848043e+02 Milkduds.bmp Snickers.bmp 11 12 1 b 1 1 1.551595 8 9 2.400000 2.380000 
BMS_089 1 1 1 32 1.908066e+02 FigNewton_small.bmp FrootLoops.bmp 21 22 1 b 2 1 0.754247 43 42 1.326667 1.333333 
BMS_089 1 1 2 33 1.968090e+02 Nutterbutter.bmp KitKat_small.bmp 11 12 1 y 1 0 1.038941 12 11 2.253333 2.266667 
BMS_089 1 1 2 34 2.028113e+02 MilkyWay.bmp Fritos.bmp 22 21 0 b 2 0 1.252634 48 45 1.213333 1.306667 
BMS_089 1 1 2 35 2.088136e+02 Snickers.bmp Crunch.bmp 12 11 0 b 1 0 0.765338 9 18 2.380000 1.980000 
BMS_089 1 1 2 36 2.148159e+02 Ghiradelli_milk_Almonds.bmp Snickers.bmp 11 12 1 y 1 0 0.857030 14 9 2.226667 2.380000 
BMS_089 1 1 2 37 2.208015e+02 PopTartsStrawberry.bmp Nutterbutter.bmp 12 11 0 y 1 1 1.039438 15 12 2.120000 2.253333 
BMS_089 1 1 2 38 2.268038e+02 FrootLoops.bmp Fritos.bmp 22 21 0 y 2 1 0.593120 42 45 1.333333 1.306667 
BMS_089 1 1 2 39 2.328061e+02 Milkduds.bmp Snickers.bmp 11 12 1 b 1 1 0.723812 8 9 2.400000 2.380000 
BMS_089 1 1 2 40 2.388084e+02 Keeblerfudgestripes.bmp Butterfinger.bmp 22 21 0 y 2 1 0.773505 46 49 1.280000 1.206667 
BMS_089 1 1 2 41 2.448107e+02 FrootLoops.bmp AnimalCrackers.bmp 22 21 0 y 2 1 0.775213 42 39 1.333333 1.446667 
BMS_089 1 1 2 42 2.508131e+02 Milkduds.bmp Riprolls.bmp 11 12 1 y 1 0 1.084843 8 17 2.400000 2.013333 
BMS_089 1 1 2 43 2.568154e+02 Crunch.bmp Riprolls.bmp 11 12 1 y 1 0 0.768592 18 17 1.980000 2.013333 
BMS_089 1 1 2 44 2.628177e+02 FrootLoops.bmp FigNewton_small.bmp 22 21 0 y 2 1 0.654286 42 43 1.333333 1.326667 
BMS_089 1 1 2 45 2.688033e+02 Crunch.bmp KitKat_small.bmp 11 12 1 y 1 0 0.757648 18 11 1.980000 2.266667 
BMS_089 1 1 2 46 2.748056e+02 Keeblerfudgestripes.bmp FigNewton_small.bmp 22 21 0 y 2 1 0.573356 46 43 1.280000 1.326667 
BMS_089 1 1 2 47 2.808079e+02 Fritos.bmp RitzBitz2.bmp 21 22 1 y 2 0 1.166039 45 40 1.306667 1.446667 
BMS_089 1 1 2 48 2.868103e+02 Ghiradelli_milk_Almonds.bmp Riprolls.bmp 11 12 1 b 1 1 0.941681 14 17 2.226667 2.013333 
BMS_089 1 1 2 49 2.928126e+02 Keeblerfudgestripes.bmp Fritos.bmp 22 21 0 y 2 1 0.978366 46 45 1.280000 1.306667 
BMS_089 1 1 2 50 2.988149e+02 Snickers.bmp Nutterbutter.bmp 12 11 0 b 1 0 0.742082 9 12 2.380000 2.253333 
BMS_089 1 1 2 51 3.048338e+02 FigNewton_small.bmp RitzBitz2.bmp 21 22 1 b 2 1 0.703121 43 40 1.326667 1.446667 
BMS_089 1 1 2 52 3.108028e+02 RitzBitz2.bmp AnimalCrackers.bmp 22 21 0 y 2 1 0.820089 40 39 1.446667 1.446667 
BMS_089 1 1 2 53 3.168051e+02 AnimalCrackers.bmp MilkyWay.bmp 21 22 1 y 2 0 0.604871 39 48 1.446667 1.213333 
BMS_089 1 1 2 54 3.228074e+02 RitzBitz2.bmp Butterfinger.bmp 22 21 0 y 2 1 1.123510 40 49 1.446667 1.206667 
BMS_089 1 1 2 55 3.288097e+02 Crunch.bmp PopTartsStrawberry.bmp 11 12 1 b 1 1 1.019253 18 15 1.980000 2.120000 
BMS_089 1 1 2 56 3.348120e+02 FigNewton_small.bmp MilkyWay.bmp 21 22 1 b 2 1 0.725910 43 48 1.326667 1.213333 
BMS_089 1 1 2 57 3.408143e+02 KitKat_small.bmp Ghiradelli_milk_Almonds.bmp 12 11 0 b 1 0 1.289640 11 14 2.266667 2.226667 
BMS_089 1 1 2 58 3.468166e+02 PopTartsStrawberry.bmp Milkduds.bmp 12 11 0 y 1 1 0.806341 15 8 2.120000 2.400000 
BMS_089 1 1 2 59 3.528023e+02 MilkyWay.bmp Butterfinger.bmp 22 21 0 y 2 1 1.025680 48 49 1.213333 1.206667 
BMS_089 1 1 2 60 3.588046e+02 Butterfinger.bmp FrootLoops.bmp 21 22 1 b 2 1 0.843355 49 42 1.206667 1.333333 
BMS_089 1 1 2 61 3.648069e+02 KitKat_small.bmp Milkduds.bmp 12 11 0 y 1 1 1.021030 11 8 2.266667 2.400000 
BMS_089 1 1 2 62 3.708092e+02 Ghiradelli_milk_Almonds.bmp PopTartsStrawberry.bmp 11 12 1 b 1 1 0.933783 14 15 2.226667 2.120000 
BMS_089 1 1 2 63 3.768115e+02 Nutterbutter.bmp Riprolls.bmp 11 12 1 b 1 1 1.049433 12 17 2.253333 2.013333 
BMS_089 1 1 2 64 3.828138e+02 AnimalCrackers.bmp Keeblerfudgestripes.bmp 21 22 1 b 2 1 0.830115 39 46 1.446667 1.280000 
