subjid test_comp runnum runtrial itemname question onsettime RT response fixationtime bidindex itemnameIndex bid 
BMS_061 arizona 1 1 Funyuns_small.bmp 2 4.816801e+00 1.550535e+00 28 8.42 53 20 0.346667
BMS_061 arizona 1 2 Jollyrancherred.bmp 3 1.441707e+01 2.421248e+00 28 18.02 35 27 1.046667
BMS_061 arizona 1 3 Almondjoy.bmp 1 2.401734e+01 2.062015e+00 28 27.62 27 3 1.533333
BMS_061 arizona 1 4 Ghiradelli_milk_Almonds.bmp 1 3.361760e+01 2.105700e+00 5 37.22 1 22 2.986667
BMS_061 arizona 1 5 Dots_one.bmp 3 4.321787e+01 1.404478e+00 21 46.80 30 14 1.346667
BMS_061 arizona 1 6 Lollipopred.bmp 1 5.280147e+01 1.761860e+00 10 56.40 29 32 1.493333
BMS_061 arizona 1 7 CheesyDoritos.bmp 3 6.240174e+01 2.871617e+00 10 66.00 44 7 0.873333
BMS_061 arizona 1 8 PayDay.bmp 3 7.200200e+01 2.659336e+00 28 75.60 41 39 1.000000
BMS_061 arizona 1 9 FlamingCheetos.bmp 2 8.160227e+01 1.999075e+00 28 85.20 26 17 1.540000
BMS_061 arizona 1 10 Riprolls.bmp 2 9.120254e+01 1.650791e+00 5 94.80 4 46 2.733333
BMS_061 arizona 1 11 Dots_one.bmp 2 1.008028e+02 1.098531e+00 28 104.40 30 14 1.346667
BMS_061 arizona 1 12 Fritos.bmp 3 1.104031e+02 1.560259e+00 28 114.00 47 18 0.620000
BMS_061 arizona 1 13 CheesyDoritos.bmp 2 1.200033e+02 1.443994e+00 28 123.60 44 7 0.873333
BMS_061 arizona 1 14 Doritosranch.bmp 1 1.296036e+02 1.738729e+00 21 133.20 38 13 1.020000
BMS_061 arizona 1 15 Fritos.bmp 1 1.392039e+02 1.446440e+00 10 142.80 47 18 0.620000
BMS_061 arizona 1 16 Granolabar.bmp 2 1.488041e+02 1.403218e+00 5 152.40 32 24 1.093333
BMS_061 arizona 1 17 Hersheykisses.bmp 3 1.584044e+02 2.697942e+00 21 162.00 13 25 2.026667
BMS_061 arizona 1 18 Riprolls.bmp 1 1.680047e+02 1.673697e+00 5 171.60 4 46 2.733333
BMS_061 arizona 1 19 Ghiradelli_milk_Almonds.bmp 2 1.776049e+02 1.772415e+00 28 181.21 1 22 2.986667
BMS_061 arizona 1 20 Milano.bmp 3 1.872052e+02 1.947167e+00 21 190.81 31 33 1.160000
BMS_061 arizona 1 21 Slimjim.bmp 2 1.968055e+02 1.246826e+00 5 200.41 56 49 0.086667
BMS_061 arizona 1 22 Laffytaffyred_one.bmp 2 2.064057e+02 1.174623e+00 5 210.01 22 30 1.760000
BMS_061 arizona 1 23 Slimjim.bmp 3 2.160060e+02 2.208339e+00 21 219.61 56 49 0.086667
BMS_061 arizona 1 24 Laysclassic.bmp 2 2.256063e+02 1.377102e+00 28 229.21 10 31 2.046667
BMS_061 arizona 1 25 PayDay.bmp 1 2.352065e+02 2.599773e+00 10 238.81 41 39 1.000000
BMS_061 arizona 1 26 BabyRuth.bmp 2 2.448068e+02 2.979561e+00 5 248.41 16 5 2.000000
BMS_061 arizona 1 27 PeanutMMs.bmp 1 2.544071e+02 2.041282e+00 28 258.01 19 40 1.986667
BMS_061 arizona 1 28 PringlesRed.bmp 1 2.640073e+02 1.748101e+00 28 267.61 25 43 1.560000
BMS_061 arizona 1 29 Funyuns_small.bmp 1 2.736076e+02 2.063734e+00 21 277.21 53 20 0.346667
BMS_061 arizona 1 30 Jollyrancherred.bmp 2 2.832079e+02 2.831505e+00 5 286.81 35 27 1.046667
BMS_061 arizona 1 31 PeanutMMs.bmp 3 2.928081e+02 1.596230e+00 28 296.41 19 40 1.986667
BMS_061 arizona 1 32 Milano.bmp 2 3.024084e+02 1.694877e+00 28 306.01 31 33 1.160000
BMS_061 arizona 1 33 Granolabar.bmp 1 3.120087e+02 2.283676e+00 10 315.61 32 24 1.093333
BMS_061 arizona 1 34 Crunch.bmp 3 3.216089e+02 2.832432e+00 21 325.21 50 12 0.473333
BMS_061 arizona 1 35 Doritosranch.bmp 3 3.312092e+02 2.343165e+00 21 334.81 38 13 1.020000
BMS_061 arizona 1 36 Laffytaffyred_one.bmp 3 3.408095e+02 3.458895e+00 5 344.41 22 30 1.760000
