subjid test_comp runnum runtrial itemname question onsettime RT response fixationtime bidindex itemnameIndex bid 
BMS_061 arizona 2 1 Laysclassic.bmp 1 4.816801e+00 1.642018e+00 5 8.42 10 31 2.046667
BMS_061 arizona 2 2 PopTartsStrawberry.bmp 2 1.441707e+01 1.233584e+00 5 18.02 28 42 1.500000
BMS_061 arizona 2 3 Hersheykisses.bmp 1 2.401733e+01 3.017472e+00 28 27.62 13 25 2.026667
BMS_061 arizona 2 4 Lollipopred.bmp 2 3.361760e+01 1.296211e+00 5 37.22 29 32 1.493333
BMS_061 arizona 2 5 Fritos.bmp 2 4.321786e+01 1.824939e+00 28 46.80 47 18 0.620000
BMS_061 arizona 2 6 PopTartsStrawberry.bmp 3 5.280147e+01 1.735331e+00 21 56.40 28 42 1.500000
BMS_061 arizona 2 7 Jollyrancherred.bmp 1 6.240173e+01 1.935080e+00 5 66.00 35 27 1.046667
BMS_061 arizona 2 8 Doritosranch.bmp 2 7.200200e+01 1.227807e+00 28 75.60 38 13 1.020000
BMS_061 arizona 2 9 PayDay.bmp 2 8.160226e+01 1.216553e+00 5 85.20 41 39 1.000000
BMS_061 arizona 2 10 RitzBitz2.bmp 2 9.120253e+01 1.225263e+00 28 94.80 7 47 2.433333
BMS_061 arizona 2 11 CheesyDoritos.bmp 1 1.008028e+02 2.395019e+00 10 104.40 44 7 0.873333
BMS_061 arizona 2 12 Hersheykisses.bmp 2 1.104031e+02 1.367759e+00 5 114.00 13 25 2.026667
BMS_061 arizona 2 13 PringlesRed.bmp 2 1.200033e+02 1.530472e+00 28 123.60 25 43 1.560000
BMS_061 arizona 2 14 Milano.bmp 1 1.296036e+02 2.739224e+00 10 133.20 31 33 1.160000
BMS_061 arizona 2 15 BabyRuth.bmp 1 1.392039e+02 2.367819e+00 28 142.80 16 5 2.000000
BMS_061 arizona 2 16 PopTartsStrawberry.bmp 1 1.488041e+02 3.600000e+00 27 152.44 28 42 1.500000
BMS_061 arizona 2 17 Riprolls.bmp 3 1.584044e+02 1.940394e+00 10 162.00 4 46 2.733333
BMS_061 arizona 2 18 FlamingCheetos.bmp 1 1.680047e+02 1.683150e+00 10 171.60 26 17 1.540000
BMS_061 arizona 2 19 Funyuns_small.bmp 3 1.776049e+02 2.001893e+00 10 181.21 53 20 0.346667
BMS_061 arizona 2 20 PeanutMMs.bmp 2 1.872052e+02 1.222639e+00 28 190.81 19 40 1.986667
BMS_061 arizona 2 21 Laffytaffyred_one.bmp 1 1.968055e+02 1.876357e+00 10 200.41 22 30 1.760000
BMS_061 arizona 2 22 Almondjoy.bmp 3 2.064057e+02 1.709099e+00 10 210.01 27 3 1.533333
BMS_061 arizona 2 23 Dots_one.bmp 1 2.160060e+02 1.281838e+00 21 219.61 30 14 1.346667
BMS_061 arizona 2 24 Laysclassic.bmp 3 2.256063e+02 1.443556e+00 28 229.21 10 31 2.046667
BMS_061 arizona 2 25 Granolabar.bmp 3 2.352065e+02 1.950288e+00 28 238.81 32 24 1.093333
BMS_061 arizona 2 26 Almondjoy.bmp 2 2.448068e+02 1.659037e+00 5 248.41 27 3 1.533333
BMS_061 arizona 2 27 Crunch.bmp 1 2.544071e+02 1.364738e+00 28 258.01 50 12 0.473333
BMS_061 arizona 2 28 Ghiradelli_milk_Almonds.bmp 3 2.640073e+02 2.578484e+00 21 267.61 1 22 2.986667
BMS_061 arizona 2 29 BabyRuth.bmp 3 2.736076e+02 2.621225e+00 10 277.21 16 5 2.000000
BMS_061 arizona 2 30 Slimjim.bmp 1 2.832079e+02 1.320982e+00 21 286.81 56 49 0.086667
BMS_061 arizona 2 31 RitzBitz2.bmp 3 2.928081e+02 2.823715e+00 21 296.41 7 47 2.433333
BMS_061 arizona 2 32 FlamingCheetos.bmp 3 3.024084e+02 3.049460e+00 21 306.01 26 17 1.540000
BMS_061 arizona 2 33 Lollipopred.bmp 3 3.120087e+02 1.843140e+00 21 315.61 29 32 1.493333
BMS_061 arizona 2 34 Crunch.bmp 2 3.216089e+02 1.484899e+00 5 325.21 50 12 0.473333
BMS_061 arizona 2 35 PringlesRed.bmp 3 3.312092e+02 3.351663e+00 10 334.81 25 43 1.560000
BMS_061 arizona 2 36 RitzBitz2.bmp 1 3.408095e+02 1.740387e+00 28 344.41 7 47 2.433333
