subjid scanner order block runtrial onsettime ImageLeft ImageRight TypeLeft TypeRight IsLefthigh Response PairType Outcome RT bidIndexLeft bidIndexRight bidLeft bidRight
BMS_075 1 1 2 42 2.508131e+02 Snickers.bmp Hersheykisses.bmp 21 22 1 y 2 0 1.161424 45 42 0.860000 0.880000 
BMS_075 1 1 2 43 2.568154e+02 Sourpatch.bmp Milano.bmp 12 11 0 y 1 1 0.919217 17 14 1.726667 1.760000 
BMS_075 1 1 2 44 2.628177e+02 Hersheykisses.bmp Reeses.bmp 22 21 0 y 2 1 0.793872 42 39 0.880000 0.980000 
BMS_075 1 1 2 45 2.688033e+02 Doritosranch.bmp Snickers.bmp 22 21 0 b 2 0 1.092237 40 45 0.900000 0.860000 
BMS_075 1 1 2 46 2.748056e+02 Snickers.bmp Milkduds.bmp 21 22 1 b 2 1 1.452974 45 48 0.860000 0.686667 
BMS_075 1 1 2 47 2.808079e+02 Milano.bmp Oreos.bmp 11 12 1 y 1 0 0.836585 14 15 1.760000 1.746667 
BMS_075 1 1 2 48 2.868102e+02 Butterfinger.bmp Twix.bmp 12 11 0 b 1 0 1.093358 9 18 1.993333 1.726667 
BMS_075 1 1 2 49 2.928126e+02 Chocolate_mm.bmp Sourpatch.bmp 11 12 1 b 1 1 0.953992 12 17 1.973333 1.726667 
BMS_075 1 1 2 50 2.988149e+02 Reeses.bmp Nutterbutter.bmp 21 22 1 b 2 1 1.040739 39 46 0.980000 0.773333 
BMS_075 1 1 2 51 3.048172e+02 Twix.bmp Crunch.bmp 11 12 1 y 1 0 1.429437 18 11 1.726667 1.980000 
BMS_075 1 1 2 52 3.108028e+02 Crunch.bmp Milano.bmp 12 11 0 y 1 1 1.303796 11 14 1.980000 1.760000 
BMS_075 1 1 2 53 3.168051e+02 Hersheykisses.bmp FigNewton_small.bmp 22 21 0 y 2 1 1.197481 42 43 0.880000 0.873333 
BMS_075 1 1 2 54 3.228075e+02 MrGoodbar.bmp Nutterbutter.bmp 21 22 1 y 2 0 1.252147 49 46 0.526667 0.773333 
BMS_075 1 1 2 55 3.288097e+02 Reeses.bmp Doritosranch.bmp 21 22 1 b 2 1 0.952879 39 40 0.980000 0.900000 
BMS_075 1 1 2 56 3.348120e+02 Laffytaffyred_one.bmp Crunch.bmp 11 12 1 b 1 1 1.176576 8 11 2.006667 1.980000 
BMS_075 1 1 2 57 3.408143e+02 Doritosranch.bmp MrGoodbar.bmp 22 21 0 b 2 0 1.069269 40 49 0.900000 0.526667 
BMS_075 1 1 2 58 3.468167e+02 Nutterbutter.bmp Snickers.bmp 22 21 0 b 2 0 1.193952 46 45 0.773333 0.860000 
BMS_075 1 1 2 59 3.528023e+02 Milkduds.bmp FigNewton_small.bmp 22 21 0 y 2 1 1.098239 48 43 0.686667 0.873333 
BMS_075 1 1 2 60 3.588046e+02 Butterfinger.bmp Laffytaffyred_one.bmp 12 11 0 b 1 0 0.998971 9 8 1.993333 2.006667 
BMS_075 1 1 2 61 3.648069e+02 Milano.bmp Butterfinger.bmp 11 12 1 y 1 0 1.087710 14 9 1.760000 1.993333 
BMS_075 1 1 2 62 3.708093e+02 Milkduds.bmp MrGoodbar.bmp 22 21 0 b 2 0 1.274365 48 49 0.686667 0.526667 
BMS_075 1 1 2 63 3.768115e+02 Chocolate_mm.bmp Oreos.bmp 11 12 1 y 1 0 0.915104 12 15 1.973333 1.746667 
BMS_075 1 1 2 64 3.828138e+02 Oreos.bmp Twix.bmp 12 11 0 b 1 0 1.159789 15 18 1.746667 1.726667 
