subjid test_comp runnum runtrial itemname question onsettime RT response fixationtime bidindex itemnameIndex bid 
BMS_085 arizona 1 1 Whatchamacallit.bmp 2 4.801845e+00 2.001698e+00 b 8.40 35 56 0.553333
BMS_085 arizona 1 2 ChipsAhoy_small.bmp 3 1.440554e+01 2.280019e+00 y 18.01 31 10 0.580000
BMS_085 arizona 1 3 Dots_one.bmp 1 2.400919e+01 2.864363e+00 g 27.61 27 14 0.713333
BMS_085 arizona 1 4 Cheezits.bmp 1 3.361292e+01 2.543626e+00 g 37.21 25 9 0.740000
BMS_085 arizona 1 5 Whatchamacallit.bmp 1 4.321657e+01 3.098983e+00 y 46.80 35 56 0.553333
BMS_085 arizona 1 6 Ghiradelli_milk_Almonds.bmp 2 5.280359e+01 2.764959e+00 y 56.40 1 22 2.993333
BMS_085 arizona 1 7 Snickers.bmp 1 6.240728e+01 1.546273e+00 b 66.01 7 50 2.506667
BMS_085 arizona 1 8 FrootLoops.bmp 2 7.201102e+01 1.907526e+00 y 75.61 26 19 0.733333
BMS_085 arizona 1 9 PopTartsCinnamon.bmp 1 8.161467e+01 2.826896e+00 g 85.22 32 41 0.580000
BMS_085 arizona 1 10 Riprolls.bmp 3 9.123503e+01 3.532510e+00 r 94.80 30 46 0.586667
BMS_085 arizona 1 11 Cheezits.bmp 2 1.008054e+02 2.018170e+00 y 104.41 25 9 0.740000
BMS_085 arizona 1 12 TeddyGrahamschocolate.bmp 3 1.104091e+02 1.827444e+00 r 114.01 13 53 2.013333
BMS_085 arizona 1 13 Slimjim.bmp 1 1.200128e+02 1.679808e+00 b 123.61 10 49 2.420000
BMS_085 arizona 1 14 Laysclassic.bmp 3 1.296165e+02 2.267033e+00 y 133.20 41 31 0.466667
BMS_085 arizona 1 15 MilkyWay.bmp 3 1.392035e+02 2.131062e+00 y 142.80 16 35 2.000000
BMS_085 arizona 1 16 Slimjim.bmp 3 1.488072e+02 1.832375e+00 y 152.41 10 49 2.420000
BMS_085 arizona 1 17 Snickers.bmp 2 1.584109e+02 2.083711e+00 b 162.01 7 50 2.506667
BMS_085 arizona 1 18 Laysclassic.bmp 2 1.680146e+02 1.500875e+00 y 171.62 41 31 0.466667
BMS_085 arizona 1 19 Butterfinger.bmp 2 1.776016e+02 1.719004e+00 b 181.20 29 6 0.680000
BMS_085 arizona 1 20 Butterfinger.bmp 3 1.872053e+02 1.642266e+00 y 190.81 29 6 0.680000
BMS_085 arizona 1 21 Redvines_small.bmp 2 1.968090e+02 1.776614e+00 y 200.41 28 44 0.693333
BMS_085 arizona 1 22 TeddyGrahamschocolate.bmp 1 2.064126e+02 2.472923e+00 y 210.01 13 53 2.013333
BMS_085 arizona 1 23 Snickers.bmp 3 2.160163e+02 1.738234e+00 y 219.62 7 50 2.506667
BMS_085 arizona 1 24 PayDay.bmp 1 2.256034e+02 2.655188e+00 r 229.20 56 39 0.006667
BMS_085 arizona 1 25 MilkyWay.bmp 1 2.352071e+02 1.279498e+00 b 238.81 16 35 2.000000
BMS_085 arizona 1 26 FamousAmos_small.bmp 1 2.448107e+02 1.964843e+00 y 248.41 22 15 1.060000
BMS_085 arizona 1 27 Riprolls.bmp 1 2.544145e+02 2.418007e+00 g 258.02 30 46 0.586667
BMS_085 arizona 1 28 FigNewton_small.bmp 1 2.640014e+02 3.241035e+00 y 267.60 38 16 0.526667
BMS_085 arizona 1 29 Whatchamacallit.bmp 3 2.736051e+02 3.206425e+00 r 277.21 35 56 0.553333
BMS_085 arizona 1 30 Nutterbutter.bmp 1 2.832089e+02 3.320594e+00 g 286.81 47 37 0.233333
BMS_085 arizona 1 31 Crunch.bmp 3 2.928125e+02 1.557062e+00 y 296.41 19 12 1.586667
BMS_085 arizona 1 32 MilkyWay.bmp 2 3.024163e+02 2.321321e+00 b 306.02 16 35 2.000000
BMS_085 arizona 1 33 Funyuns_small.bmp 3 3.120032e+02 2.681351e+00 y 315.60 44 20 0.320000
BMS_085 arizona 1 34 Dots_one.bmp 3 3.216069e+02 2.770654e+00 g 325.21 27 14 0.713333
BMS_085 arizona 1 35 PopTartsCinnamon.bmp 2 3.312107e+02 2.382903e+00 b 334.81 32 41 0.580000
BMS_085 arizona 1 36 FamousAmos_small.bmp 3 3.408143e+02 3.600000e+00 x 344.43 22 15 1.060000
