subjid scanner order block runtrial onsettime ImageLeft ImageRight TypeLeft TypeRight IsLefthigh Response PairType Outcome RT bidIndexLeft bidIndexRight bidLeft bidRight
BMS_087 1 1 1 1 4.801887e+00 Nutterbutter.bmp TeddyGrahamschocolate.bmp 12 11 0 y 1 1 0.777469 17 18 1.826667 1.760000 
BMS_087 1 1 1 2 1.080420e+01 BabyRuth.bmp Hersheymilk_several.bmp 22 21 0 y 2 1 0.983075 48 49 0.506667 0.506667 
BMS_087 1 1 1 3 1.680650e+01 Nutterbutter.bmp FamousAmos_small.bmp 12 11 0 y 1 1 1.048850 17 8 1.826667 2.520000 
BMS_087 1 1 1 4 2.280881e+01 BabyRuth.bmp PringlesRed.bmp 22 21 0 y 2 1 1.173544 48 43 0.506667 0.846667 
BMS_087 1 1 1 5 2.881112e+01 Slimjim.bmp Hersheymilk_several.bmp 22 21 0 y 2 1 1.375244 42 49 1.013333 0.506667 
BMS_087 1 1 1 6 3.481338e+01 Laysclassic.bmp Hersheymilk_several.bmp 22 21 0 y 2 1 1.139987 46 49 0.560000 0.506667 
BMS_087 1 1 1 7 4.081573e+01 FamousAmos_small.bmp Toberlorone.bmp 11 12 1 b 1 1 1.290626 8 9 2.520000 2.506667 
BMS_087 1 1 1 8 4.681804e+01 Ghiradelli_milk_Almonds.bmp Slimjim.bmp 21 22 1 b 2 1 1.132323 39 42 1.020000 1.013333 
BMS_087 1 1 1 9 5.280363e+01 PringlesRed.bmp Laysclassic.bmp 21 22 1 b 2 1 1.275744 43 46 0.846667 0.560000 
BMS_087 1 1 1 10 5.880594e+01 Chocolate_mm.bmp Nutterbutter.bmp 11 12 1 b 1 1 1.077422 12 17 2.420000 1.826667 
BMS_087 1 1 1 11 6.480829e+01 Redvines_small.bmp Hersheymilk_several.bmp 22 21 0 b 2 0 1.368073 40 49 1.020000 0.506667 
BMS_087 1 1 1 12 7.081060e+01 Slimjim.bmp PringlesRed.bmp 22 21 0 y 2 1 1.121781 42 43 1.013333 0.846667 
BMS_087 1 1 1 13 7.681286e+01 BabyRuth.bmp SourSkittles.bmp 22 21 0 y 2 1 1.453503 48 45 0.506667 0.566667 
BMS_087 1 1 1 14 8.281517e+01 Nutterbutter.bmp Ghiradelli_milk.bmp 12 11 0 b 1 0 1.268194 17 14 1.826667 2.013333 
BMS_087 1 1 1 15 8.881752e+01 Chocolate_mm.bmp Toberlorone.bmp 11 12 1 b 1 1 1.220855 12 9 2.420000 2.506667 
BMS_087 1 1 1 16 9.480311e+01 SourSkittles.bmp Redvines_small.bmp 21 22 1 y 2 0 1.111260 45 40 0.566667 1.020000 
BMS_087 1 1 1 17 1.008055e+02 PringlesRed.bmp Redvines_small.bmp 21 22 1 y 2 0 1.131900 43 40 0.846667 1.020000 
BMS_087 1 1 1 18 1.068078e+02 Redvines_small.bmp Ghiradelli_milk_Almonds.bmp 22 21 0 b 2 0 1.262589 40 39 1.020000 1.020000 
BMS_087 1 1 1 19 1.128101e+02 CheesyDoritos.bmp Chocolate_mm.bmp 12 11 0 b 1 0 1.292289 11 12 2.473333 2.420000 
BMS_087 1 1 1 20 1.188123e+02 CheesyDoritos.bmp Ghiradelli_milk.bmp 12 11 0 b 1 0 1.058038 11 14 2.473333 2.013333 
BMS_087 1 1 1 21 1.248147e+02 Ghiradelli_milk.bmp Toberlorone.bmp 11 12 1 y 1 0 1.679684 14 9 2.013333 2.506667 
BMS_087 1 1 1 22 1.308170e+02 FamousAmos_small.bmp Skittles.bmp 11 12 1 b 1 1 1.120422 8 15 2.520000 2.013333 
BMS_087 1 1 1 23 1.368026e+02 Chocolate_mm.bmp Skittles.bmp 11 12 1 b 1 1 1.030776 12 15 2.420000 2.013333 
BMS_087 1 1 1 24 1.428049e+02 Ghiradelli_milk.bmp Skittles.bmp 11 12 1 b 1 1 1.193474 14 15 2.013333 2.013333 
BMS_087 1 1 1 25 1.488073e+02 Toberlorone.bmp TeddyGrahamschocolate.bmp 12 11 0 y 1 1 0.874133 9 18 2.506667 1.760000 
BMS_087 1 1 1 26 1.548095e+02 SourSkittles.bmp Slimjim.bmp 21 22 1 b 2 1 1.116854 45 42 0.566667 1.013333 
BMS_087 1 1 1 27 1.608118e+02 TeddyGrahamschocolate.bmp CheesyDoritos.bmp 11 12 1 y 1 0 1.078564 18 11 1.760000 2.473333 
BMS_087 1 1 1 28 1.668142e+02 SourSkittles.bmp Laysclassic.bmp 21 22 1 b 2 1 1.356208 45 46 0.566667 0.560000 
BMS_087 1 1 1 29 1.728164e+02 Laysclassic.bmp Ghiradelli_milk_Almonds.bmp 22 21 0 y 2 1 1.191935 46 39 0.560000 1.020000 
BMS_087 1 1 1 30 1.788021e+02 Ghiradelli_milk_Almonds.bmp BabyRuth.bmp 21 22 1 b 2 1 1.109259 39 48 1.020000 0.506667 
BMS_087 1 1 1 31 1.848044e+02 CheesyDoritos.bmp FamousAmos_small.bmp 12 11 0 b 1 0 1.635950 11 8 2.473333 2.520000 
BMS_087 1 1 1 32 1.908067e+02 TeddyGrahamschocolate.bmp Skittles.bmp 11 12 1 b 1 1 0.956645 18 15 1.760000 2.013333 
BMS_087 1 1 2 33 1.968090e+02 Toberlorone.bmp Chocolate_mm.bmp 12 11 0 b 1 0 1.421386 9 12 2.506667 2.420000 
BMS_087 1 1 2 34 2.028113e+02 Nutterbutter.bmp TeddyGrahamschocolate.bmp 12 11 0 y 1 1 0.868082 17 18 1.826667 1.760000 
