subjid scanner order block runtrial onsettime ImageLeft ImageRight TypeLeft TypeRight IsLefthigh Response PairType Outcome RT bidIndexLeft bidIndexRight bidLeft bidRight
BMS_076 1 2 1 1 4.801804e+00 Lollipopred.bmp Keeblerfudgestripes.bmp 21 22 1 y 2 0 0.981759 42 43 0.633333 0.540000 
BMS_076 1 2 1 2 1.080415e+01 FrootLoops.bmp Skittles.bmp 22 21 0 y 2 1 1.351431 39 48 0.800000 0.260000 
BMS_076 1 2 1 3 1.680646e+01 PopTartsCinnamon.bmp FrootLoops.bmp 21 22 1 b 2 1 0.854131 46 39 0.346667 0.800000 
BMS_076 1 2 1 4 2.280877e+01 RitzBitz2.bmp TeddyGrahamschocolate.bmp 11 12 1 y 1 0 1.051820 9 8 1.706667 1.713333 
BMS_076 1 2 1 5 2.881107e+01 SourSkittles.bmp Lollipopred.bmp 22 21 0 b 2 0 1.199517 49 42 0.253333 0.633333 
BMS_076 1 2 1 6 3.481334e+01 Twix.bmp Granolabar.bmp 12 11 0 y 1 1 1.468250 14 17 1.593333 1.526667 
BMS_076 1 2 1 7 4.081569e+01 Doritosranch.bmp FrootLoops.bmp 21 22 1 b 2 1 1.608902 40 39 0.793333 0.800000 
BMS_076 1 2 1 8 4.680132e+01 Twix.bmp Chocolate_mm.bmp 12 11 0 b 1 0 1.345257 14 11 1.593333 1.666667 
BMS_076 1 2 1 9 5.280363e+01 Chocolate_mm.bmp Crunch.bmp 11 12 1 y 1 0 1.839948 11 12 1.666667 1.666667 
BMS_076 1 2 1 10 5.880590e+01 Chocolate_mm.bmp TeddyGrahamschocolate.bmp 11 12 1 y 1 0 1.220691 11 8 1.666667 1.713333 
BMS_076 1 2 1 11 6.482488e+01 SourSkittles.bmp Skittles.bmp 22 21 0 b 2 0 1.386707 49 48 0.253333 0.260000 
BMS_076 1 2 1 12 7.081055e+01 TeddyGrahamschocolate.bmp KitKat_small.bmp 12 11 0 y 1 1 1.507045 8 15 1.713333 1.566667 
BMS_076 1 2 1 13 7.681282e+01 Lollipopred.bmp Laysclassic.bmp 21 22 1 y 2 0 1.111781 42 45 0.633333 0.433333 
BMS_076 1 2 1 14 8.281513e+01 KitKat_small.bmp Hersheymilk_several.bmp 11 12 1 y 1 0 1.517470 15 18 1.566667 1.500000 
BMS_076 1 2 1 15 8.881743e+01 Granolabar.bmp Crunch.bmp 11 12 1 b 1 1 1.024178 17 12 1.526667 1.666667 
