subjid test_comp runnum runtrial itemname question onsettime RT response fixationtime bidindex itemnameIndex bid 
BMS_088 ariozona 2 1 Nutterbutter.bmp 2 4.801929e+00 1.360574e+00 y 8.40 32 37 1.053333
BMS_088 ariozona 2 2 Almondjoy.bmp 1 1.440558e+01 1.794939e+00 r 18.01 56 3 0.073333
BMS_088 ariozona 2 3 Cheezits.bmp 3 2.400931e+01 1.505230e+00 y 27.61 16 9 1.093333
BMS_088 ariozona 2 4 MilkyWay.bmp 1 3.361297e+01 1.509584e+00 y 37.21 41 35 1.033333
BMS_088 ariozona 2 5 Milkduds.bmp 3 4.321666e+01 2.599733e+00 y 46.80 7 34 2.013333
BMS_088 ariozona 2 6 Milano.bmp 2 5.280368e+01 1.649867e+00 y 56.41 35 33 1.046667
BMS_088 ariozona 2 7 TeddyGrahamschocolate.bmp 2 6.240737e+01 1.812180e+00 y 66.01 29 53 1.060000
BMS_088 ariozona 2 8 MilkyWay.bmp 3 7.201106e+01 1.530465e+00 y 75.61 41 35 1.033333
BMS_088 ariozona 2 9 Crunch.bmp 2 8.161480e+01 1.806751e+00 b 85.22 10 12 1.993333
BMS_088 ariozona 2 10 Milano.bmp 1 9.120182e+01 2.070750e+00 g 94.80 35 33 1.046667
BMS_088 ariozona 2 11 MrGoodbar.bmp 1 1.008055e+02 2.001098e+00 g 104.41 31 36 1.053333
BMS_088 ariozona 2 12 TeddyGrahamschocolate.bmp 1 1.104092e+02 1.785307e+00 g 114.01 29 53 1.060000
BMS_088 ariozona 2 13 Skittles.bmp 2 1.200129e+02 1.321606e+00 y 123.61 28 48 1.060000
BMS_088 ariozona 2 14 Funyuns_small.bmp 1 1.296166e+02 2.360010e+00 y 133.20 38 20 1.040000
BMS_088 ariozona 2 15 MrGoodbar.bmp 2 1.392036e+02 1.387994e+00 b 142.80 31 36 1.053333
BMS_088 ariozona 2 16 Crunch.bmp 3 1.488073e+02 1.628154e+00 y 152.41 10 12 1.993333
BMS_088 ariozona 2 17 PeanutMMs.bmp 3 1.584110e+02 1.196501e+00 y 162.01 1 40 2.060000
BMS_088 ariozona 2 18 MrGoodbar.bmp 3 1.680146e+02 1.673902e+00 y 171.62 31 36 1.053333
BMS_088 ariozona 2 19 Nutterbutter.bmp 3 1.776017e+02 2.009843e+00 g 181.20 32 37 1.053333
BMS_088 ariozona 2 20 3Musketeers.bmp 1 1.872054e+02 1.957168e+00 y 190.81 19 2 1.080000
BMS_088 ariozona 2 21 Cheezits.bmp 2 1.968091e+02 1.379454e+00 y 200.41 16 9 1.093333
BMS_088 ariozona 2 22 Almondjoy.bmp 3 2.064128e+02 1.612691e+00 y 210.01 56 3 0.073333
BMS_088 ariozona 2 23 PeanutMMs.bmp 1 2.160165e+02 2.439923e+00 b 219.62 1 40 2.060000
BMS_088 ariozona 2 24 Fritos.bmp 3 2.256035e+02 1.343109e+00 y 229.20 30 18 1.053333
BMS_088 ariozona 2 25 Cheetos.bmp 1 2.352072e+02 1.841317e+00 b 238.81 13 8 1.966667
BMS_088 ariozona 2 26 BabyRuth.bmp 1 2.448108e+02 2.009709e+00 y 248.41 26 5 1.060000
BMS_088 ariozona 2 27 Milkduds.bmp 1 2.544145e+02 2.449028e+00 b 258.02 7 34 2.013333
BMS_088 ariozona 2 28 Hersheykisses.bmp 2 2.640016e+02 2.348973e+00 b 267.60 22 25 1.066667
BMS_088 ariozona 2 29 Dots_one.bmp 1 2.736053e+02 2.009329e+00 g 277.21 47 14 0.140000
BMS_088 ariozona 2 30 Crunch.bmp 1 2.832090e+02 1.550576e+00 b 286.81 10 12 1.993333
BMS_088 ariozona 2 31 3Musketeers.bmp 3 2.928127e+02 1.357824e+00 y 296.41 19 2 1.080000
BMS_088 ariozona 2 32 Cheetos.bmp 2 3.024163e+02 1.214246e+00 y 306.02 13 8 1.966667
BMS_088 ariozona 2 33 KitKat_small.bmp 2 3.120034e+02 1.839073e+00 y 315.60 44 29 1.020000
BMS_088 ariozona 2 34 Skittles.bmp 1 3.216070e+02 1.648539e+00 y 325.21 28 48 1.060000
BMS_088 ariozona 2 35 Laffytaffyred_one.bmp 1 3.312107e+02 2.269808e+00 r 334.81 53 30 0.100000
BMS_088 ariozona 2 36 Milano.bmp 3 3.408145e+02 1.397120e+00 y 344.42 35 33 1.046667
