subjid scanner order block runtrial onsettime ImageLeft ImageRight TypeLeft TypeRight IsLefthigh Response PairType Outcome RT bidIndexLeft bidIndexRight bidLeft bidRight
BMS_061 1 1 1 1 4.816801e+00 Goldfish.bmp Redvines_small.bmp 22 21 0 y 2 1 1.011943 40 49 1.006667 0.553333 
BMS_061 1 1 1 2 1.081697e+01 3Musketeers.bmp MrGoodbar.bmp 21 22 1 b 2 1 1.013814 39 42 1.013333 0.960000 
BMS_061 1 1 1 3 1.681714e+01 KitKat_small.bmp SourSkittles.bmp 12 11 0 y 1 1 1.150653 11 8 2.040000 2.200000 
BMS_061 1 1 1 4 2.281730e+01 100grand_small.bmp KitKat_small.bmp 11 12 1 b 1 1 0.887497 14 11 2.020000 2.040000 
BMS_061 1 1 1 5 2.881747e+01 100grand_small.bmp Snickers.bmp 11 12 1 y 1 0 0.961209 14 17 2.020000 2.000000 
BMS_061 1 1 1 6 3.481764e+01 Butterfinger.bmp KitKat_small.bmp 11 12 1 b 1 1 0.906153 18 11 1.986667 2.040000 
BMS_061 1 1 1 7 4.081780e+01 Cheezits.bmp FamousAmos_small.bmp 21 22 1 b 2 1 1.042943 45 46 0.813333 0.760000 
BMS_061 1 1 1 8 4.681797e+01 3Musketeers.bmp Goldfish.bmp 21 22 1 b 2 1 0.948820 39 40 1.013333 1.006667 
BMS_061 1 1 1 9 5.280147e+01 Skittles.bmp Twix.bmp 12 11 0 b 1 0 0.808312 15 12 2.006667 2.033333 
BMS_061 1 1 1 10 5.880164e+01 Cheetos.bmp SourSkittles.bmp 12 11 0 y 1 1 1.149144 9 8 2.066667 2.200000 
BMS_061 1 1 1 11 6.480181e+01 Redvines_small.bmp FamousAmos_small.bmp 21 22 1 b 2 1 1.138977 49 46 0.553333 0.760000 
BMS_061 1 1 1 12 7.080197e+01 Goldfish.bmp Reeses.bmp 22 21 0 y 2 1 0.944823 40 43 1.006667 0.886667 
BMS_061 1 1 1 13 7.680214e+01 MrGoodbar.bmp Cheezits.bmp 22 21 0 y 2 1 0.954640 42 45 0.960000 0.813333 
BMS_061 1 1 1 14 8.280231e+01 TeddyGrahamschocolate.bmp 3Musketeers.bmp 22 21 0 y 2 1 0.864487 48 39 0.613333 1.013333 
