subjid runtrial onsettime Name resp_beep RT order
BMS_078 1 1.045809e+00 Nutterbutter.bmp 1 4.616158e+00 2 
BMS_078 2 7.225925e+00 FamousAmos_small.bmp 1 2.385435e+00 2 
BMS_078 3 1.115109e+01 AnimalCrackers.bmp 1 8.042385e-01 2 
BMS_078 4 1.348974e+01 Fritos.bmp 1 6.736013e-01 2 
BMS_078 5 1.569421e+01 FigNewton_small.bmp 1 9.651273e-01 2 
BMS_078 6 1.818286e+01 CheesyDoritos.bmp 1 9.004753e-01 2 
BMS_078 7 2.062148e+01 KitKat_small.bmp 1 9.418568e-01 2 
BMS_078 8 2.309374e+01 Jollyrancherred.bmp 1 7.335930e-01 2 
BMS_078 9 2.536503e+01 Hersheymilk_several.bmp 1 7.263083e-01 2 
BMS_078 10 2.761988e+01 Hersheykisses.bmp 1 7.914607e-01 2 
BMS_078 11 2.994154e+01 Doritosranch.bmp 1 6.137725e-01 2 
BMS_078 12 3.207988e+01 SourSkittles.bmp 1 3.954581e-01 2 
BMS_078 13 3.400029e+01 FlamingCheetos.bmp 1 5.710518e-01 2 
BMS_078 14 3.610524e+01 PopTartsCinnamon.bmp 1 8.821019e-01 2 
BMS_078 15 3.852664e+01 3Musketeers.bmp 1 6.127036e-01 2 
BMS_078 16 4.066461e+01 ChipsAhoy_small.bmp 1 5.547252e-01 2 
BMS_078 17 4.275208e+01 PeanutMMs.bmp 1 1.051260e+00 2 
BMS_078 18 4.534156e+01 Riprolls.bmp 1 1.197781e+00 2 
BMS_078 19 4.806356e+01 Milano.bmp 1 5.717792e-01 2 
BMS_078 20 5.016843e+01 Skittles.bmp 1 5.309123e-01 2 
BMS_078 21 5.222285e+01 Whatchamacallit.bmp 1 3.884841e-01 2 
BMS_078 22 5.414360e+01 Snickers.bmp 1 3.637416e-01 2 
BMS_078 23 5.603105e+01 PopTartsStrawberry.bmp 1 5.482853e-01 2 
BMS_078 24 5.811834e+01 Reeses.bmp 1 4.449973e-01 2 
BMS_078 25 6.009005e+01 Goldfish.bmp 1 6.012622e-01 2 
BMS_078 26 6.222725e+01 Keeblerfudgestripes.bmp 1 5.440928e-01 2 
BMS_078 27 6.429836e+01 redvines_small.bmp 1 7.209750e-01 2 
BMS_078 28 6.655314e+01 Twix.bmp 1 5.382012e-01 2 
BMS_078 29 6.862483e+01 Ghiradelli_milk.bmp 1 6.985095e-01 2 
BMS_078 30 7.087968e+01 Sourpatch.bmp 1 1.955658e+00 2 
BMS_078 31 7.437053e+01 Slimjim.bmp 1 8.168046e-01 2 
BMS_078 32 7.672568e+01 MrGoodbar.bmp 1 7.176627e-01 2 
BMS_078 33 7.898040e+01 Cheezits.bmp 1 5.269388e-01 2 
BMS_078 34 8.103511e+01 Ghiradelli_milk_Almonds.bmp 1 5.601942e-01 2 
BMS_078 35 8.312272e+01 FrootLoops.bmp 1 2.440393e+00 2 
BMS_078 36 8.709793e+01 Butterfinger.bmp 1 2.057164e+00 2 
BMS_078 37 9.068900e+01 Funyuns_small.bmp 1 1.474089e+00 2 
BMS_078 38 9.369548e+01 Toberlorone.bmp 1 1.507613e+00 2 
BMS_078 39 9.673536e+01 Dots_one.bmp 1 1.507733e+00 2 
BMS_078 40 9.977551e+01 PringlesRed.bmp 1 7.627581e+00 2 
BMS_078 41 1.089283e+02 PayDay.bmp 1 7.970462e+00 2 
BMS_078 42 1.184321e+02 Almondjoy.bmp 1 1.178628e+00 2 
BMS_078 43 1.211373e+02 100grand_small.bmp 1 4.093769e-01 2 
BMS_078 44 1.230754e+02 Oreos.bmp 1 3.672996e-01 2 
BMS_078 45 1.249795e+02 Laffytaffyred_one.bmp 1 5.192161e-01 2 
BMS_078 46 1.270336e+02 Milkduds.bmp 1 7.130596e-01 2 
BMS_078 47 1.292721e+02 BabyRuth.bmp 1 5.546442e-01 2 
BMS_078 48 1.313599e+02 MilkyWay.bmp 1 6.828042e-01 2 
BMS_078 49 1.335813e+02 Laysclassic.bmp 1 4.853923e-01 2 
BMS_078 50 1.356024e+02 Cheetos.bmp 1 3.683545e-01 2 
BMS_078 51 1.375064e+02 TeddyGrahamschocolate.bmp 1 7.522498e-01 2 
BMS_078 52 1.397950e+02 Chocolate_mm.bmp 1 4.317520e-01 2 
BMS_078 53 1.417660e+02 Lollipopred.bmp 1 4.127107e-01 2 
BMS_078 54 1.437031e+02 Crunch.bmp 1 3.875880e-01 2 
BMS_078 55 1.456239e+02 Granolabar.bmp 1 4.267616e-01 2 
BMS_078 56 1.475781e+02 RitzBitz2.bmp 1 5.445666e-01 2 
