subjid test_comp runnum runtrial itemname question onsettime RT response fixationtime bidindex itemnameIndex bid 
BMS_071 arizona 2 1 Doritosranch.bmp 2 4.801804e+00 1.595508e+00 y 8.40 7 13 1.980000
BMS_071 arizona 2 2 Laffytaffyred_one.bmp 2 1.440554e+01 1.568764e+00 b 18.01 44 30 1.060000
BMS_071 arizona 2 3 Redvines_small.bmp 3 2.402586e+01 1.773444e+00 r 27.61 53 44 0.593333
BMS_071 arizona 2 4 Laffytaffyred_one.bmp 3 3.361292e+01 2.010403e+00 r 37.21 44 30 1.060000
BMS_071 arizona 2 5 Fritos.bmp 2 4.321662e+01 1.782691e+00 y 46.80 47 18 1.053333
BMS_071 arizona 2 6 TeddyGrahamschocolate.bmp 3 5.280359e+01 1.296718e+00 r 56.41 38 53 1.193333
BMS_071 arizona 2 7 Milano.bmp 1 6.240729e+01 1.477049e+00 r 66.01 29 33 1.340000
BMS_071 arizona 2 8 FigNewton_small.bmp 3 7.201098e+01 1.606335e+00 r 75.61 41 16 1.100000
BMS_071 arizona 2 9 Ghiradelli_milk_Almonds.bmp 2 8.161467e+01 1.919653e+00 y 85.22 19 22 1.560000
BMS_071 arizona 2 10 PeanutMMs.bmp 1 9.120169e+01 1.276624e+00 r 94.80 16 40 1.646667
BMS_071 arizona 2 11 PeanutMMs.bmp 3 1.008054e+02 1.802896e+00 g 104.41 16 40 1.646667
BMS_071 arizona 2 12 Dots_one.bmp 1 1.104091e+02 1.196251e+00 r 114.01 56 14 0.226667
BMS_071 arizona 2 13 MrGoodbar.bmp 2 1.200128e+02 2.289565e+00 y 123.61 31 36 1.286667
BMS_071 arizona 2 14 Laysclassic.bmp 2 1.296165e+02 1.264807e+00 y 133.20 30 31 1.320000
BMS_071 arizona 2 15 FamousAmos_small.bmp 3 1.392035e+02 1.787848e+00 r 142.80 22 15 1.546667
BMS_071 arizona 2 16 Keeblerfudgestripes.bmp 3 1.488072e+02 2.059163e+00 r 152.41 26 28 1.360000
BMS_071 arizona 2 17 Cheezits.bmp 2 1.584109e+02 1.347425e+00 y 162.01 4 9 2.086667
BMS_071 arizona 2 18 Granolabar.bmp 3 1.680146e+02 1.936768e+00 g 171.62 27 24 1.346667
BMS_071 arizona 2 19 Doritosranch.bmp 1 1.776016e+02 1.537711e+00 b 181.20 7 13 1.980000
BMS_071 arizona 2 20 MrGoodbar.bmp 1 1.872053e+02 1.767009e+00 g 190.81 31 36 1.286667
BMS_071 arizona 2 21 Ghiradelli_milk.bmp 1 1.968090e+02 1.515298e+00 r 200.41 28 21 1.340000
BMS_071 arizona 2 22 3Musketeers.bmp 3 2.064126e+02 1.403686e+00 r 210.01 50 2 0.773333
BMS_071 arizona 2 23 3Musketeers.bmp 2 2.160164e+02 2.031949e+00 b 219.62 50 2 0.773333
BMS_071 arizona 2 24 FrootLoops.bmp 3 2.256034e+02 2.527974e+00 g 229.20 1 19 2.700000
BMS_071 arizona 2 25 TeddyGrahamschocolate.bmp 2 2.352071e+02 2.476281e+00 y 238.81 38 53 1.193333
BMS_071 arizona 2 26 Chocolate_mm.bmp 1 2.448108e+02 1.254547e+00 r 248.41 25 11 1.373333
BMS_071 arizona 2 27 Dots_one.bmp 3 2.544145e+02 1.721856e+00 r 258.02 56 14 0.226667
BMS_071 arizona 2 28 Butterfinger.bmp 1 2.640181e+02 1.481137e+00 r 267.60 32 6 1.260000
BMS_071 arizona 2 29 Keeblerfudgestripes.bmp 2 2.736052e+02 2.027148e+00 y 277.21 26 28 1.360000
BMS_071 arizona 2 30 Ghiradelli_milk.bmp 3 2.832089e+02 1.461466e+00 g 286.81 28 21 1.340000
BMS_071 arizona 2 31 Reeses.bmp 2 2.928126e+02 2.280765e+00 b 296.43 10 45 1.833333
BMS_071 arizona 2 32 Laysclassic.bmp 3 3.024162e+02 2.939109e+00 g 306.02 30 31 1.320000
BMS_071 arizona 2 33 FamousAmos_small.bmp 1 3.120033e+02 1.354053e+00 r 315.60 22 15 1.546667
BMS_071 arizona 2 34 FamousAmos_small.bmp 2 3.216069e+02 1.482414e+00 y 325.21 22 15 1.546667
BMS_071 arizona 2 35 PeanutMMs.bmp 2 3.312106e+02 1.939730e+00 y 334.81 16 40 1.646667
BMS_071 arizona 2 36 Goldfish.bmp 3 3.408143e+02 1.839037e+00 b 344.42 35 23 1.233333
