subjid scanner order block runtrial onsettime ImageLeft ImageRight TypeLeft TypeRight IsLefthigh Response PairType Outcome RT bidValueLeft bidValueRight 
BM2_701 0 1 1 1 0 Jollyrancherred.bmp Keeblerfudgestripes.bmp 41 43 1 u 1 0 822.999347 0.70 0.68 
BM2_701 0 1 1 2 10 Twix.bmp Lindt_small.bmp 47 50 0 u 2 1 1074.973709 0.59 0.56 
BM2_701 0 1 1 3 13 Jollyrancherred.bmp Laffytaffyred_one.bmp 41 44 1 u 1 0 1017.982928 0.70 0.66 
BM2_701 0 1 1 4 16 Milkduds.bmp Dots_one.bmp 37 57 1 x 3 999 999000.000000 0.75 0.02 
BM2_701 0 1 1 5 20 MilkyWay.bmp FamousAmos_small.bmp 51 53 0 u 2 1 1030.240152 0.55 0.41 
BM2_701 0 1 1 6 24 Whatchamacallit.bmp Doritosranch.bmp 58 34 0 i 3 0 930.320219 0.02 0.76 
BM2_701 0 1 1 7 28 Jollyrancherred.bmp Reeses.bmp 41 39 1 i 1 1 998.965369 0.70 0.71 
BM2_701 0 1 1 8 32 Milkduds.bmp Whatchamacallit.bmp 37 58 1 i 3 1 1219.600522 0.75 0.02 
BM2_701 0 1 1 9 38 Milano.bmp FamousAmos_small.bmp 48 53 0 u 2 1 1113.454315 0.59 0.41 
BM2_701 0 1 1 10 42 Keeblerfudgestripes.bmp ChipsAhoy_small.bmp 43 45 0 i 1 0 950.933656 0.68 0.63 
BM2_701 0 1 1 11 45 ChipsAhoy_small.bmp Laffytaffyred_one.bmp 45 44 1 u 1 0 941.962559 0.63 0.66 
BM2_701 0 1 1 12 48 Reeses.bmp Laysclassic.bmp 39 38 0 i 1 0 781.497399 0.71 0.72 
BM2_701 0 1 1 13 52 Butterfinger.bmp Toberlorone.bmp 40 42 0 u 1 1 913.572133 0.70 0.69 
BM2_701 0 1 1 14 61 Butterfinger.bmp Laysclassic.bmp 40 38 0 i 1 0 703.978754 0.70 0.72 
BM2_701 0 1 1 15 68 Doritosranch.bmp Fritos.bmp 34 60 1 u 3 0 979.600238 0.76 0.01 
BM2_701 0 1 1 16 73 Hersheymilk_several.bmp Fritos.bmp 35 60 1 u 3 0 1061.265775 0.75 0.01 
BM2_701 0 1 1 17 77 Riprolls.bmp Milano.bmp 49 48 1 u 2 0 1209.307495 0.59 0.59 
BM2_701 0 1 1 18 80 Hersheymilk_several.bmp redvines_small.bmp 35 59 1 u 3 0 912.843314 0.75 0.01 
BM2_701 0 1 1 19 84 Laysclassic.bmp Keeblerfudgestripes.bmp 38 43 1 u 1 0 813.533230 0.72 0.68 
BM2_701 0 1 1 20 93 redvines_small.bmp Milkduds.bmp 59 37 0 i 3 0 1043.833903 0.01 0.75 
BM2_701 0 1 1 21 98 FamousAmos_small.bmp Granolabar.bmp 53 52 1 u 2 0 917.409859 0.41 0.44 
BM2_701 0 1 1 22 101 Laffytaffyred_one.bmp Laysclassic.bmp 44 38 0 i 1 0 756.463627 0.66 0.72 
BM2_701 0 1 1 23 104 Whatchamacallit.bmp Hersheymilk_several.bmp 58 35 0 i 3 0 876.078125 0.02 0.75 
BM2_701 0 1 1 24 108 Butterfinger.bmp ChipsAhoy_small.bmp 40 45 0 i 1 0 896.813795 0.70 0.63 
BM2_701 0 1 1 25 111 Reeses.bmp Toberlorone.bmp 39 42 0 u 1 1 1047.852319 0.71 0.69 
BM2_701 0 1 1 26 114 Dots_one.bmp CheesyDoritos.bmp 57 36 0 i 3 0 943.399525 0.02 0.75 
BM2_701 0 1 1 27 123 Lindt_small.bmp MilkyWay.bmp 50 51 1 i 2 1 909.103667 0.56 0.55 
BM2_701 0 1 1 28 126 Dots_one.bmp Hersheymilk_several.bmp 57 35 0 i 3 0 820.658600 0.02 0.75 
BM2_701 0 1 1 29 130 FamousAmos_small.bmp Twix.bmp 53 47 1 u 2 0 808.766998 0.41 0.59 
BM2_701 0 1 1 30 135 Riprolls.bmp Twix.bmp 49 47 1 u 2 0 730.370885 0.59 0.59 
BM2_701 0 1 1 31 148 Toberlorone.bmp Laffytaffyred_one.bmp 42 44 1 u 1 0 829.284105 0.69 0.66 
BM2_701 0 1 1 32 151 Granolabar.bmp Riprolls.bmp 52 49 0 i 2 0 724.345171 0.44 0.59 
BM2_701 0 1 1 33 154 Fritos.bmp Milkduds.bmp 60 37 0 i 3 0 1027.955561 0.01 0.75 
BM2_701 0 1 1 34 160 Toberlorone.bmp Keeblerfudgestripes.bmp 42 43 1 u 1 0 801.715294 0.69 0.68 
BM2_701 0 1 1 35 164 Riprolls.bmp MilkyWay.bmp 49 51 1 i 2 1 879.335326 0.59 0.55 
BM2_701 0 1 1 36 168 MilkyWay.bmp Sourpatch.bmp 51 46 0 u 2 1 979.390991 0.55 0.61 
BM2_701 0 1 1 37 171 Jollyrancherred.bmp Butterfinger.bmp 41 40 1 i 1 1 1058.911770 0.70 0.70 
BM2_701 0 1 1 38 177 ChipsAhoy_small.bmp Reeses.bmp 45 39 1 u 1 0 1448.983972 0.63 0.71 
BM2_701 0 1 1 39 181 Milano.bmp Sourpatch.bmp 48 46 0 i 2 0 926.213839 0.59 0.61 
BM2_701 0 1 1 40 187 Granolabar.bmp Sourpatch.bmp 52 46 0 i 2 0 684.867378 0.44 0.61 
BM2_701 0 1 1 41 192 Lindt_small.bmp Milano.bmp 50 48 1 i 2 1 1086.563939 0.56 0.59 
BM2_701 0 1 1 42 202 Twix.bmp Sourpatch.bmp 47 46 0 i 2 0 857.317255 0.59 0.61 
BM2_701 0 1 1 43 212 Lindt_small.bmp Granolabar.bmp 50 52 1 u 2 0 1204.588723 0.56 0.44 
BM2_701 0 1 1 44 220 Dots_one.bmp Doritosranch.bmp 57 34 0 u 3 1 869.833086 0.02 0.76 
BM2_701 0 1 1 45 224 CheesyDoritos.bmp Fritos.bmp 36 60 1 u 3 0 1009.892509 0.75 0.01 
BM2_701 0 1 1 46 227 Whatchamacallit.bmp CheesyDoritos.bmp 58 36 0 i 3 0 921.218560 0.02 0.75 
BM2_701 0 1 1 47 230 redvines_small.bmp CheesyDoritos.bmp 59 36 0 i 3 0 945.215569 0.01 0.75 
BM2_701 0 1 1 48 233 Doritosranch.bmp redvines_small.bmp 34 59 1 u 3 0 1152.264391 0.76 0.01 
