subjid scanner order block runtrial onsettime ImageLeft ImageRight TypeLeft TypeRight IsLefthigh Response PairType Outcome RT bidIndexLeft bidIndexRight 
BM2_702 0 2 5 1 0 Butterfinger.bmp Fritos.bmp 46 47 0 i 2 0 859.912645 1.00 1.00 
BM2_702 0 2 5 2 10 Reeses.bmp PopTartsStrawberry.bmp 44 45 1 i 1 1 855.876572 1.00 1.00 
BM2_702 0 2 5 3 13 Dots_one.bmp FigNewton_small.bmp 59 34 0 i 3 0 854.933230 0.00 1.00 
BM2_702 0 2 5 4 16 TeddyGrahamschocolate.bmp PopTartsCinnamon.bmp 36 60 1 u 3 0 1014.618147 1.00 0.00 
BM2_702 0 2 5 5 20 Oreos.bmp FamousAmos_small.bmp 52 49 1 i 2 1 851.168146 0.00 1.00 
BM2_702 0 2 5 6 24 PopTartsStrawberry.bmp PringlesRed.bmp 45 43 0 i 1 0 703.227109 1.00 1.00 
BM2_702 0 2 5 7 28 Laffytaffyred_one.bmp Laysclassic.bmp 42 40 0 i 1 0 955.978276 1.00 1.00 
BM2_702 0 2 5 8 32 Butterfinger.bmp Milkduds.bmp 46 51 0 i 2 0 1216.476667 1.00 0.00 
BM2_702 0 2 5 9 38 Granolabar.bmp Funyuns_small.bmp 39 41 1 i 1 1 974.460777 1.00 1.00 
BM2_702 0 2 5 10 42 PopTartsStrawberry.bmp Granolabar.bmp 45 39 0 i 1 0 1275.865254 1.00 1.00 
BM2_702 0 2 5 11 45 AnimalCrackers.bmp Oreos.bmp 53 52 0 x 2 999 999000.000000 0.00 0.00 
BM2_702 0 2 5 12 48 RiceKrispyTreat_small.bmp Milkduds.bmp 50 51 0 i 2 0 930.513815 1.00 0.00 
BM2_702 0 2 5 13 52 Butterfinger.bmp Jollyranchergreen.bmp 46 48 0 i 2 0 782.591180 1.00 1.00 
BM2_702 0 2 5 14 61 AnimalCrackers.bmp Milkduds.bmp 53 51 0 i 2 0 988.914107 0.00 0.00 
