subjid scanner order block runtrial onsettime ImageLeft ImageRight TypeLeft TypeRight IsLefthigh Response PairType Outcome RT bidIndexLeft bidIndexRight 
BM2_699 0 1 1 1 0 TeddyGrahamschocolate.bmp PopTartsStrawberry.bmp 37 59 1 u 3 0 1388.575662 0.000000 0.000000 
BM2_699 0 1 1 2 9 PopTartsStrawberry.bmp FrootLoops.bmp 59 34 0 x 3 999 999000.000000 0.000000 0.000000 
BM2_699 0 1 1 3 12 3Musketeers.bmp Skittles.bmp 43 45 0 u 1 1 922.565164 0.000000 0.000000 
BM2_699 0 1 1 4 17 ChipsAhoy_small.bmp Laysclassic.bmp 50 51 1 u 2 0 876.150552 0.000000 0.000000 
BM2_699 0 1 1 5 26 Chocolate_mm.bmp Slimjim.bmp 44 38 0 u 1 1 978.390671 0.000000 0.000000 
BM2_699 0 1 1 6 32 MrsFields.bmp Dots_one.bmp 41 40 1 u 1 0 921.116233 0.000000 0.000000 
BM2_699 0 1 1 7 35 Jollyrancherred.bmp PopTartsCinnamon.bmp 46 52 1 x 2 999 999000.000000 0.000000 0.000000 
BM2_699 0 1 1 8 48 Laffytaffyred_one.bmp MrsFields.bmp 39 41 0 i 1 0 643.089295 0.000000 0.000000 
BM2_699 0 1 1 9 58 Laysclassic.bmp FamousAmos_small.bmp 51 49 0 i 2 0 1062.371521 0.000000 0.000000 
BM2_699 0 1 1 10 63 Sourpatch.bmp FamousAmos_small.bmp 47 49 0 i 2 0 951.373826 0.000000 0.000000 
BM2_699 0 1 1 11 66 Twix.bmp PopTartsStrawberry.bmp 36 59 1 u 3 0 1174.541112 0.000000 0.000000 
BM2_699 0 1 1 12 69 Slimjim.bmp Laffytaffyred_one.bmp 38 39 1 u 1 0 982.713706 0.000000 0.000000 
BM2_699 0 1 1 13 72 SourSkittles.bmp PopTartsStrawberry.bmp 35 59 1 i 3 1 701.788142 0.000000 0.000000 
BM2_699 0 1 1 14 82 Doritosranch.bmp SourSkittles.bmp 58 35 0 u 3 1 968.955638 0.000000 0.000000 
BM2_699 0 1 1 15 85 PopTartsCinnamon.bmp ChipsAhoy_small.bmp 52 50 0 i 2 0 832.011785 0.000000 0.000000 
BM2_699 0 1 1 16 95 SourSkittles.bmp Jollyranchergreen.bmp 35 60 1 u 3 0 867.392039 0.000000 0.000000 
BM2_699 0 1 1 17 98 Dots_one.bmp redvines_small.bmp 40 42 0 i 1 0 970.990937 0.000000 0.000000 
BM2_699 0 1 1 18 101 MilkyWay.bmp SourSkittles.bmp 57 35 0 i 3 0 1065.961763 0.000000 0.000000 
BM2_699 0 1 1 19 105 TeddyGrahamschocolate.bmp MilkyWay.bmp 37 57 1 u 3 0 1070.664026 0.000000 0.000000 
BM2_699 0 1 1 20 109 Sourpatch.bmp Jollyrancherred.bmp 47 46 0 u 2 1 971.216383 0.000000 0.000000 
BM2_699 0 1 1 21 113 Jollyrancherred.bmp CheesyDoritos.bmp 46 48 1 i 2 1 583.316415 0.000000 0.000000 
BM2_699 0 1 1 22 119 Jollyrancherred.bmp Laysclassic.bmp 46 51 1 u 2 0 1086.559461 0.000000 0.000000 
BM2_699 0 1 1 23 123 PopTartsCinnamon.bmp FamousAmos_small.bmp 52 49 0 i 2 0 786.665208 0.000000 0.000000 
BM2_699 0 1 1 24 132 Fritos.bmp PopTartsCinnamon.bmp 53 52 1 i 2 1 1488.818432 0.000000 0.000000 
BM2_699 0 1 1 25 140 Laysclassic.bmp Fritos.bmp 51 53 0 i 2 0 1073.585096 0.000000 0.000000 
BM2_699 0 1 1 26 144 Twix.bmp Jollyranchergreen.bmp 36 60 1 u 3 0 782.260444 0.000000 0.000000 
BM2_699 0 1 1 27 147 ChipsAhoy_small.bmp Sourpatch.bmp 50 47 1 u 2 0 829.991830 0.000000 0.000000 
