subjid runnum itemname onsettime trialtype RT respInTime Audiotime response fixationtime ladder1 ladder2 bidindex itemnameIndex
BM2_722 9 BabyRuth.bmp 796.91 22 980.62 220.00 7.501308e+02 b 797.92 7.500000e+02 7.666667e+02 47 53 
BM2_722 9 Slimjim.bmp 799.90 12 999000.00 120.00 999000  800.92 7.500000e+02 7.666667e+02 38 16 
BM2_722 9 Doritosranch.bmp 801.91 12 999000.00 120.00 999000  802.93 7.500000e+02 7.666667e+02 35 50 
BM2_722 9 Lollipopred.bmp 803.92 12 999000.00 120.00 999000  804.94 7.500000e+02 7.666667e+02 34 4 
BM2_722 9 Fritos.bmp 805.91 22 970.84 220.00 7.667743e+02 b 806.93 7.500000e+02 7.833333e+02 48 58 
BM2_722 9 RitzBitz2.bmp 808.92 11 985.85 110.00 7.501337e+02 b 809.93 7.666667e+02 7.833333e+02 43 24 
BM2_722 9 Laffytaffyred_one.bmp 810.90 24 999000.00 240.00 999000  811.92 7.666667e+02 7.833333e+02 57 32 
BM2_722 9 Laysclassic.bmp 814.92 12 999000.00 120.00 999000  815.94 7.666667e+02 7.833333e+02 31 11 
BM2_722 9 Dots_one.bmp 816.91 24 999000.00 240.00 999000  817.93 7.666667e+02 7.833333e+02 59 13 
BM2_722 9 Nutterbutter.bmp 821.90 24 999000.00 240.00 999000  822.92 7.666667e+02 7.833333e+02 54 52 
BM2_722 9 Snickers.bmp 823.91 12 999000.00 120.00 999000  824.93 7.666667e+02 7.833333e+02 32 25 
BM2_722 9 Jollyranchergreen.bmp 827.91 24 999000.00 240.00 999000  828.93 7.666667e+02 7.833333e+02 56 45 
BM2_722 9 Milano.bmp 829.91 24 999000.00 240.00 999000  830.93 7.666667e+02 7.833333e+02 49 42 
BM2_722 9 Ghiradelli_milk_Almonds.bmp 832.90 11 973.07 110.00 7.667589e+02 b 833.92 7.833333e+02 7.833333e+02 40 60 
BM2_722 9 AnimalCrackers.bmp 837.90 12 999000.00 120.00 999000  838.92 7.833333e+02 7.833333e+02 41 31 
BM2_722 9 Goldfish.bmp 839.91 12 999000.00 120.00 999000  840.93 7.833333e+02 7.833333e+02 33 7 
BM2_722 9 FigNewton_small.bmp 841.91 12 999000.00 120.00 999000  842.93 7.833333e+02 7.833333e+02 45 38 
BM2_722 9 Riprolls.bmp 845.91 24 999000.00 240.00 999000  846.93 7.833333e+02 7.833333e+02 50 14 
BM2_722 9 Cheezits.bmp 849.90 12 999000.00 120.00 999000  850.92 7.833333e+02 7.833333e+02 37 12 
BM2_722 9 Granolabar.bmp 853.92 12 999000.00 120.00 999000  854.94 7.833333e+02 7.833333e+02 42 1 
BM2_722 9 Sourpatch.bmp 855.91 22 978.77 220.00 7.834206e+02 b 856.93 7.833333e+02 8.000000e+02 51 35 
BM2_722 9 PopTartsCinnamon.bmp 857.91 24 999000.00 240.00 999000  858.93 7.833333e+02 8.000000e+02 53 47 
BM2_722 9 Toberlorone.bmp 859.90 11 983.47 110.00 7.834054e+02 b 860.92 8.000000e+02 8.000000e+02 44 19 
BM2_722 9 FlamingCheetos.bmp 861.91 24 999000.00 240.00 999000  862.93 8.000000e+02 8.000000e+02 46 41 
BM2_722 9 PayDay.bmp 867.91 22 1031.82 2200.00 8.001088e+02 b 868.93 8.000000e+02 7.500000e+02 52 39 
BM2_722 9 Almondjoy.bmp 870.90 24 999000.00 240.00 999000  871.92 8.000000e+02 7.500000e+02 60 26 
BM2_722 9 Lindt_small.bmp 872.91 24 999000.00 240.00 999000  873.93 8.000000e+02 7.500000e+02 55 44 
BM2_722 9 Hersheymilk_several.bmp 874.91 12 999000.00 120.00 999000  875.93 8.000000e+02 7.500000e+02 36 3 
BM2_722 9 redvines_small.bmp 877.91 24 999000.00 240.00 999000  878.93 8.000000e+02 7.500000e+02 58 34 
BM2_722 9 Jollyrancherred.bmp 879.91 11 1085.47 1100.00 8.000744e+02 b 880.93 7.500000e+02 7.500000e+02 39 56 
