subjid scanner order block runtrial onsettime ImageLeft ImageRight TypeLeft TypeRight IsLefthigh Response PairType Outcome RT bidValueLeft bidValueRight 
BM2_716 0 2 2 1 0 AnimalCrackers.bmp Jollyranchergreen.bmp 58 34 0 u 3 1 841.578980 0.01 0.37 
BM2_716 0 2 2 2 10 Jollyrancherred.bmp Laffytaffyred_one.bmp 41 39 0 i 1 0 1141.565516 0.02 0.02 
BM2_716 0 2 2 3 13 redvines_small.bmp 3Musketeers.bmp 42 40 0 i 1 0 660.618850 0.02 0.02 
BM2_716 0 2 2 4 16 PopTartsCinnamon.bmp RiceKrispyTreat_small.bmp 46 51 0 u 2 1 930.992519 0.01 0.01 
BM2_716 0 2 2 5 20 Dots_one.bmp FrootLoops.bmp 50 52 0 i 2 0 664.807557 0.01 0.01 
BM2_716 0 2 2 6 24 3Musketeers.bmp Doritosranch.bmp 40 38 1 i 1 1 1188.904164 0.02 0.03 
BM2_716 0 2 2 7 28 Skittles.bmp 100grand_small.bmp 49 48 0 i 2 0 1009.584927 0.01 0.01 
BM2_716 0 2 2 8 32 FrootLoops.bmp Skittles.bmp 52 49 1 u 2 0 1030.111931 0.01 0.01 
BM2_716 0 2 2 9 38 Laffytaffyred_one.bmp Doritosranch.bmp 39 38 1 i 1 1 1091.868228 0.02 0.03 
BM2_716 0 2 2 10 42 Lollipopred.bmp PringlesRed.bmp 59 36 0 i 3 0 1257.400791 0.01 0.25 
BM2_716 0 2 2 11 45 RiceKrispyTreat_small.bmp Dots_one.bmp 51 50 1 u 2 0 1016.485279 0.01 0.01 
BM2_716 0 2 2 12 48 SourSkittles.bmp Riprolls.bmp 44 45 1 u 1 0 952.133161 0.01 0.01 
BM2_716 0 2 2 13 52 Ghiradelli_milk.bmp Milkduds.bmp 57 35 0 u 3 1 812.206550 0.01 0.31 
BM2_716 0 2 2 14 61 redvines_small.bmp Funyuns_small.bmp 42 43 0 i 1 0 834.508319 0.02 0.01 
BM2_716 0 2 2 15 68 PopTartsStrawberry.bmp 100grand_small.bmp 53 48 0 u 2 1 902.139628 0.01 0.01 
BM2_716 0 2 2 16 73 PayDay.bmp FigNewton_small.bmp 60 37 0 u 3 1 823.813502 0.01 0.03 
BM2_716 0 2 2 17 77 Jollyranchergreen.bmp Ghiradelli_milk.bmp 34 57 1 i 3 1 756.408608 0.37 0.01 
