subjid runnum itemname onsettime trialtype RT respInTime Audiotime response fixationtime ladder1 ladder2 bidindex itemnameIndex
BM2_714 5 100grand_small.bmp 385.33 22 951.33 220.00 7.500783e+02 b 386.34 7.500000e+02 7.666667e+02 47 15 
BM2_714 5 Laffytaffyred_one.bmp 388.33 22 982.91 220.00 7.667596e+02 b 389.35 7.500000e+02 7.833333e+02 52 6 
BM2_714 5 Hersheymilk_several.bmp 390.33 24 999000.00 240.00 999000  391.35 7.500000e+02 7.833333e+02 55 12 
BM2_714 5 TeddyGrahamschocolate.bmp 392.32 12 999000.00 120.00 999000  393.34 7.500000e+02 7.833333e+02 36 56 
BM2_714 5 BabyRuth.bmp 394.33 12 999000.00 120.00 999000  395.35 7.500000e+02 7.833333e+02 37 58 
BM2_714 5 FlamingCheetos.bmp 397.34 24 999000.00 240.00 999000  398.36 7.500000e+02 7.833333e+02 54 8 
BM2_714 5 Skittles.bmp 399.33 11 751.48 110.00 7.500960e+02 b 400.35 7.666667e+02 7.833333e+02 43 30 
BM2_714 5 Riprolls.bmp 403.34 12 999000.00 120.00 999000  404.36 7.666667e+02 7.833333e+02 42 17 
BM2_714 5 PopTartsCinnamon.bmp 405.33 24 999000.00 240.00 999000  406.35 7.666667e+02 7.833333e+02 50 13 
BM2_714 5 redvines_small.bmp 410.33 24 999000.00 240.00 999000  411.35 7.666667e+02 7.833333e+02 57 35 
BM2_714 5 Almondjoy.bmp 412.33 12 999000.00 120.00 999000  413.35 7.666667e+02 7.833333e+02 38 9 
BM2_714 5 3Musketeers.bmp 416.33 11 1078.64 1100.00 7.667321e+02 b 417.35 7.166667e+02 7.833333e+02 40 7 
BM2_714 5 Whatchamacallit.bmp 418.33 11 760.42 110.00 7.167536e+02 b 419.35 7.333333e+02 7.833333e+02 44 3 
BM2_714 5 FigNewton_small.bmp 421.32 12 999000.00 120.00 999000  422.34 7.333333e+02 7.833333e+02 31 54 
BM2_714 5 Lollipopred.bmp 426.32 24 999000.00 240.00 999000  427.34 7.333333e+02 7.833333e+02 56 57 
BM2_714 5 PringlesRed.bmp 428.33 12 999000.00 120.00 999000  429.35 7.333333e+02 7.833333e+02 33 21 
BM2_714 5 Oreos.bmp 430.34 12 999000.00 120.00 999000  431.35 7.333333e+02 7.833333e+02 32 44 
BM2_714 5 RitzBitz2.bmp 434.33 24 999000.00 240.00 999000  435.35 7.333333e+02 7.833333e+02 46 32 
BM2_714 5 SourSkittles.bmp 438.33 24 999000.00 240.00 999000  439.35 7.333333e+02 7.833333e+02 53 4 
BM2_714 5 Funyuns_small.bmp 442.34 24 999000.00 240.00 999000  443.36 7.333333e+02 7.833333e+02 59 11 
BM2_714 5 Jollyranchergreen.bmp 444.33 22 982.52 220.00 7.834160e+02 b 445.35 7.333333e+02 8.000000e+02 51 14 
BM2_714 5 Jollyrancherred.bmp 446.33 24 999000.00 240.00 999000  447.35 7.333333e+02 8.000000e+02 58 60 
BM2_714 5 Hersheykisses.bmp 448.32 11 979.28 110.00 7.334122e+02 b 449.34 7.500000e+02 8.000000e+02 39 53 
BM2_714 5 Butterfinger.bmp 450.33 12 999000.00 120.00 999000  451.35 7.500000e+02 8.000000e+02 45 22 
BM2_714 5 Goldfish.bmp 456.33 24 999000.00 240.00 999000  457.35 7.500000e+02 8.000000e+02 49 10 
BM2_714 5 Milkduds.bmp 459.32 12 999000.00 120.00 999000  460.34 7.500000e+02 8.000000e+02 34 34 
BM2_714 5 Dots_one.bmp 461.33 24 999000.00 240.00 999000  462.35 7.500000e+02 8.000000e+02 60 38 
BM2_714 5 KitKat_small.bmp 463.33 12 783.56 12.00 999000 b 464.35 7.500000e+02 8.000000e+02 35 39 
BM2_714 5 Fritos.bmp 466.33 12 999000.00 120.00 999000  467.35 7.500000e+02 8.000000e+02 41 2 
BM2_714 5 AnimalCrackers.bmp 468.33 22 673.30 22.00 8.000780e+02 b 469.35 7.500000e+02 8.166667e+02 48 31 
