subjid runnum itemname onsettime trialtype RT respInTime Audiotime response fixationtime ladder1 ladder2 bidindex itemnameIndex
BM2_713 15 Hersheymilk_several.bmp 1520.14 24 999000.00 240.00 999000  1521.16 8.166667e+02 8.166667e+02 52 32 
BM2_713 15 SourSkittles.bmp 1523.13 12 999000.00 120.00 999000  1524.15 8.166667e+02 8.166667e+02 43 56 
BM2_713 15 PopTartsCinnamon.bmp 1525.12 22 933.61 220.00 8.167671e+02 b 1526.14 8.166667e+02 8.333333e+02 46 30 
BM2_713 15 RiceKrispyTreat_small.bmp 1527.13 22 967.35 220.00 8.334195e+02 b 1528.14 8.166667e+02 8.500000e+02 50 36 
BM2_713 15 Doritosranch.bmp 1529.13 11 897.65 110.00 8.167787e+02 b 1530.15 8.333333e+02 8.500000e+02 45 28 
BM2_713 15 Whatchamacallit.bmp 1532.12 24 999000.00 240.00 999000  1533.14 8.333333e+02 8.500000e+02 55 8 
BM2_713 15 FamousAmos_small.bmp 1534.13 12 999000.00 120.00 999000  1535.15 8.333333e+02 8.500000e+02 32 40 
BM2_713 15 Laffytaffyred_one.bmp 1538.13 24 999000.00 240.00 999000  1539.14 8.333333e+02 8.500000e+02 58 2 
BM2_713 15 Riprolls.bmp 1540.13 12 999000.00 120.00 999000  1541.15 8.333333e+02 8.500000e+02 40 42 
BM2_713 15 Slimjim.bmp 1545.13 12 999000.00 120.00 999000  1546.15 8.333333e+02 8.500000e+02 37 50 
BM2_713 15 Crunch.bmp 1547.12 24 999000.00 240.00 999000  1548.14 8.333333e+02 8.500000e+02 54 7 
BM2_713 15 Oreos.bmp 1551.13 12 999000.00 120.00 999000  1552.15 8.333333e+02 8.500000e+02 44 26 
BM2_713 15 Jollyrancherred.bmp 1553.12 24 999000.00 240.00 999000  1554.14 8.333333e+02 8.500000e+02 60 10 
BM2_713 15 Hersheykisses.bmp 1556.13 11 988.02 110.00 8.334330e+02 b 1557.15 8.500000e+02 8.500000e+02 42 48 
BM2_713 15 Nutterbutter.bmp 1561.13 24 999000.00 240.00 999000  1562.15 8.500000e+02 8.500000e+02 51 15 
BM2_713 15 3Musketeers.bmp 1563.13 22 983.65 220.00 8.500899e+02 b 1564.15 8.500000e+02 8.666667e+02 53 5 
BM2_713 15 Fritos.bmp 1565.12 12 999000.00 120.00 999000  1566.14 8.500000e+02 8.666667e+02 35 41 
BM2_713 15 Lollipopred.bmp 1569.13 24 999000.00 240.00 999000  1570.15 8.500000e+02 8.666667e+02 59 4 
BM2_713 15 AnimalCrackers.bmp 1573.13 12 999000.00 120.00 999000  1574.15 8.500000e+02 8.666667e+02 34 54 
BM2_713 15 PayDay.bmp 1577.12 11 1031.48 1100.00 8.500764e+02 b 1578.14 8.000000e+02 8.666667e+02 41 33 
BM2_713 15 RitzBitz2.bmp 1579.13 12 999000.00 120.00 999000  1580.15 8.000000e+02 8.666667e+02 31 23 
BM2_713 15 Dots_one.bmp 1581.12 11 956.24 110.00 8.000775e+02 b 1582.14 8.166667e+02 8.666667e+02 38 3 
BM2_713 15 Granolabar.bmp 1583.13 22 1030.31 2200.00 8.667515e+02 b 1584.15 8.166667e+02 8.166667e+02 49 29 
BM2_713 15 PopTartsStrawberry.bmp 1585.13 12 999000.00 120.00 999000  1586.15 8.166667e+02 8.166667e+02 33 44 
BM2_713 15 Goldfish.bmp 1591.13 24 999000.00 240.00 999000  1592.15 8.166667e+02 8.166667e+02 56 1 
BM2_713 15 Funyuns_small.bmp 1594.13 24 999000.00 240.00 999000  1595.15 8.166667e+02 8.166667e+02 48 49 
BM2_713 15 Butterfinger.bmp 1596.13 24 999000.00 240.00 999000  1597.15 8.166667e+02 8.166667e+02 47 31 
BM2_713 15 Jollyranchergreen.bmp 1598.12 24 999000.00 240.00 999000  1599.14 8.166667e+02 8.166667e+02 57 34 
BM2_713 15 Keeblerfudgestripes.bmp 1601.13 12 999000.00 120.00 999000  1602.15 8.166667e+02 8.166667e+02 36 57 
BM2_713 15 FigNewton_small.bmp 1603.12 12 999000.00 120.00 999000  1604.14 8.166667e+02 8.166667e+02 39 6 
