subjid scanner order block runtrial onsettime ImageLeft ImageRight TypeLeft TypeRight IsLefthigh Response PairType Outcome RT bidValueLeft bidValueRight 
BM2_714 0 2 2 1 0 100grand_small.bmp RitzBitz2.bmp 47 46 1 u 2 0 687.444052 0.71 0.74 
BM2_714 0 2 2 2 9 Fritos.bmp Whatchamacallit.bmp 41 44 0 i 1 0 718.667702 0.78 0.76 
BM2_714 0 2 2 3 12 Jollyranchergreen.bmp PopTartsCinnamon.bmp 51 50 1 i 2 1 749.684855 0.51 0.53 
BM2_714 0 2 2 4 17 Riprolls.bmp Hersheykisses.bmp 42 39 0 i 1 0 583.378311 0.77 0.84 
BM2_714 0 2 2 5 26 BabyRuth.bmp redvines_small.bmp 37 57 1 u 3 0 853.925113 0.90 0.19 
BM2_714 0 2 2 6 32 Laffytaffyred_one.bmp Goldfish.bmp 52 49 1 i 2 1 556.711984 0.50 0.53 
BM2_714 0 2 2 7 35 PopTartsCinnamon.bmp AnimalCrackers.bmp 50 48 0 u 2 1 699.745630 0.53 0.71 
BM2_714 0 2 2 8 48 KitKat_small.bmp redvines_small.bmp 35 57 1 u 3 0 606.988806 0.99 0.19 
BM2_714 0 2 2 9 58 redvines_small.bmp Milkduds.bmp 57 34 0 i 3 0 626.521187 0.19 1.00 
BM2_714 0 2 2 10 63 100grand_small.bmp Goldfish.bmp 47 49 1 u 2 0 891.553809 0.71 0.53 
BM2_714 0 2 2 11 66 Laffytaffyred_one.bmp PopTartsCinnamon.bmp 52 50 1 i 2 1 634.465678 0.50 0.53 
BM2_714 0 2 2 12 69 Hersheykisses.bmp Butterfinger.bmp 39 45 1 u 1 0 658.982583 0.84 0.74 
BM2_714 0 2 2 13 72 Jollyrancherred.bmp BabyRuth.bmp 58 37 0 i 3 0 834.090531 0.13 0.90 
BM2_714 0 2 2 14 82 Funyuns_small.bmp TeddyGrahamschocolate.bmp 59 36 0 i 3 0 917.581020 0.01 0.99 
BM2_714 0 2 2 15 85 Hersheykisses.bmp Fritos.bmp 39 41 1 u 1 0 780.592790 0.84 0.78 
BM2_714 0 2 2 16 95 KitKat_small.bmp Funyuns_small.bmp 35 59 1 u 3 0 1416.115513 0.99 0.01 
BM2_714 0 2 2 17 98 Funyuns_small.bmp Milkduds.bmp 59 34 0 i 3 0 679.862292 0.01 1.00 
BM2_714 0 2 2 18 101 SourSkittles.bmp Jollyranchergreen.bmp 53 51 0 u 2 1 894.890905 0.49 0.51 
BM2_714 0 2 2 19 105 PopTartsCinnamon.bmp 100grand_small.bmp 50 47 0 i 2 0 835.020012 0.53 0.71 
BM2_714 0 2 2 20 109 Riprolls.bmp Whatchamacallit.bmp 42 44 0 i 1 0 600.382218 0.77 0.76 
BM2_714 0 2 2 21 113 3Musketeers.bmp Butterfinger.bmp 40 45 1 u 1 0 788.322243 0.79 0.74 
BM2_714 0 2 2 22 119 Milkduds.bmp Jollyrancherred.bmp 34 58 1 u 3 0 731.171365 1.00 0.13 
BM2_714 0 2 2 23 123 3Musketeers.bmp Fritos.bmp 40 41 1 u 1 0 631.931872 0.79 0.78 
BM2_714 0 2 2 24 132 SourSkittles.bmp 100grand_small.bmp 53 47 0 i 2 0 822.344262 0.49 0.71 
