subjid scanner order block runtrial onsettime ImageLeft ImageRight TypeLeft TypeRight IsLefthigh Response PairType Outcome RT bidValueLeft bidValueRight 
BM2_702 0 2 2 1 0 Milkduds.bmp Butterfinger.bmp 51 46 1 u 2 0 1354.929008 0.39 0.57 
BM2_702 0 2 2 2 10 FigNewton_small.bmp redvines_small.bmp 34 57 1 u 3 0 1254.916142 0.84 0.15 
BM2_702 0 2 2 3 13 Cheetos.bmp Skittles.bmp 37 58 1 u 3 0 1285.913724 0.80 0.15 
BM2_702 0 2 2 4 16 Fritos.bmp AnimalCrackers.bmp 47 53 1 u 2 0 1069.605773 0.57 0.27 
BM2_702 0 2 2 5 20 Doritosranch.bmp Granolabar.bmp 38 39 0 i 1 0 1042.259905 0.79 0.75 
BM2_702 0 2 2 6 24 Funyuns_small.bmp Reeses.bmp 41 44 0 i 1 0 1278.206273 0.65 0.62 
BM2_702 0 2 2 7 28 Butterfinger.bmp Fritos.bmp 46 47 0 i 2 0 922.943409 0.57 0.57 
BM2_702 0 2 2 8 32 SourSkittles.bmp Skittles.bmp 35 58 1 u 3 0 639.543157 0.83 0.15 
BM2_702 0 2 2 9 38 Oreos.bmp AnimalCrackers.bmp 52 53 1 u 2 0 861.458769 0.36 0.27 
BM2_702 0 2 2 10 42 Granolabar.bmp PopTartsStrawberry.bmp 39 45 1 u 1 0 1058.871757 0.75 0.58 
BM2_702 0 2 2 11 45 Doritosranch.bmp PringlesRed.bmp 38 43 0 i 1 0 1113.828851 0.79 0.63 
BM2_702 0 2 2 12 48 TeddyGrahamschocolate.bmp Dots_one.bmp 36 59 1 u 3 0 1073.423616 0.83 0.13 
BM2_702 0 2 2 13 52 TeddyGrahamschocolate.bmp redvines_small.bmp 36 57 1 u 3 0 701.506531 0.83 0.15 
BM2_702 0 2 2 14 61 TeddyGrahamschocolate.bmp Skittles.bmp 36 58 1 u 3 0 987.848222 0.83 0.15 
BM2_702 0 2 2 15 68 RiceKrispyTreat_small.bmp Fritos.bmp 50 47 0 i 2 0 831.492638 0.50 0.57 
BM2_702 0 2 2 16 73 Laffytaffyred_one.bmp Reeses.bmp 42 44 0 i 1 0 737.172818 0.64 0.62 
BM2_702 0 2 2 17 77 FamousAmos_small.bmp Oreos.bmp 49 52 0 i 2 0 1013.777961 0.51 0.36 
BM2_702 0 2 2 18 80 SourSkittles.bmp Dots_one.bmp 35 59 1 u 3 0 1020.833290 0.83 0.13 
BM2_702 0 2 2 19 84 SourSkittles.bmp PopTartsCinnamon.bmp 35 60 1 u 3 0 1105.464028 0.83 0.12 
BM2_702 0 2 2 20 93 Laffytaffyred_one.bmp Granolabar.bmp 42 39 0 i 1 0 1007.686819 0.64 0.75 
BM2_702 0 2 2 21 98 Butterfinger.bmp Oreos.bmp 46 52 0 i 2 0 1105.365772 0.57 0.36 
BM2_702 0 2 2 22 101 Laffytaffyred_one.bmp Laysclassic.bmp 42 40 0 i 1 0 856.478627 0.64 0.70 
BM2_702 0 2 2 23 104 Skittles.bmp FigNewton_small.bmp 58 34 0 i 3 0 791.973317 0.15 0.84 
BM2_702 0 2 2 24 108 Jollyranchergreen.bmp RiceKrispyTreat_small.bmp 48 50 1 u 2 0 1132.670168 0.56 0.50 
BM2_702 0 2 2 25 111 PringlesRed.bmp Funyuns_small.bmp 43 41 1 u 1 0 1315.766898 0.63 0.65 
BM2_702 0 2 2 26 114 PopTartsStrawberry.bmp PringlesRed.bmp 45 43 0 i 1 0 707.325734 0.58 0.63 
BM2_702 0 2 2 27 123 FamousAmos_small.bmp Fritos.bmp 49 47 0 i 2 0 1361.091404 0.51 0.57 
BM2_702 0 2 2 28 126 Cheetos.bmp redvines_small.bmp 37 57 1 u 3 0 728.656492 0.80 0.15 
BM2_702 0 2 2 29 130 PopTartsCinnamon.bmp Cheetos.bmp 60 37 0 i 3 0 916.640187 0.12 0.80 
BM2_702 0 2 2 30 135 FamousAmos_small.bmp Jollyranchergreen.bmp 49 48 0 u 2 1 1366.356483 0.51 0.56 
BM2_702 0 2 2 31 148 Milkduds.bmp FamousAmos_small.bmp 51 49 1 x 2 999 999000.000000 0.39 0.51 
BM2_702 0 2 2 32 151 Doritosranch.bmp Laysclassic.bmp 38 40 0 u 1 1 840.369009 0.79 0.70 
BM2_702 0 2 2 33 154 Laysclassic.bmp PopTartsStrawberry.bmp 40 45 1 u 1 0 911.864248 0.70 0.58 
BM2_702 0 2 2 34 160 PopTartsCinnamon.bmp FigNewton_small.bmp 60 34 0 i 3 0 813.718226 0.12 0.84 
BM2_702 0 2 2 35 164 Milkduds.bmp AnimalCrackers.bmp 51 53 1 u 2 0 835.220923 0.39 0.27 
BM2_702 0 2 2 36 168 Granolabar.bmp Funyuns_small.bmp 39 41 1 u 1 0 1087.291643 0.75 0.65 
BM2_702 0 2 2 37 171 AnimalCrackers.bmp Jollyranchergreen.bmp 53 48 0 i 2 0 782.905810 0.27 0.56 
BM2_702 0 2 2 38 177 PopTartsStrawberry.bmp Reeses.bmp 45 44 0 i 1 0 1157.593409 0.58 0.62 
BM2_702 0 2 2 39 181 Reeses.bmp Doritosranch.bmp 44 38 1 u 1 0 882.124476 0.62 0.79 
BM2_702 0 2 2 40 187 PopTartsCinnamon.bmp TeddyGrahamschocolate.bmp 60 36 0 u 3 1 648.799213 0.12 0.83 
BM2_702 0 2 2 41 192 Jollyranchergreen.bmp Butterfinger.bmp 48 46 1 u 2 0 962.501678 0.56 0.57 
BM2_702 0 2 2 42 202 Dots_one.bmp FigNewton_small.bmp 59 34 0 i 3 0 877.065867 0.13 0.84 
BM2_702 0 2 2 43 212 Cheetos.bmp Dots_one.bmp 37 59 1 u 3 0 712.471171 0.80 0.13 
BM2_702 0 2 2 44 220 Funyuns_small.bmp Laysclassic.bmp 41 40 0 u 1 1 713.763470 0.65 0.70 
BM2_702 0 2 2 45 224 redvines_small.bmp SourSkittles.bmp 57 35 0 i 3 0 677.770495 0.15 0.83 
BM2_702 0 2 2 46 227 Oreos.bmp RiceKrispyTreat_small.bmp 52 50 1 i 2 1 1109.431875 0.36 0.50 
BM2_702 0 2 2 47 230 RiceKrispyTreat_small.bmp Milkduds.bmp 50 51 0 i 2 0 733.042778 0.50 0.39 
BM2_702 0 2 2 48 233 PringlesRed.bmp Laffytaffyred_one.bmp 43 42 1 u 1 0 748.162315 0.63 0.64 
