subjid runnum itemname onsettime trialtype RT respInTime Audiotime response fixationtime ladder1 ladder2 bidindex itemnameIndex
BM2_700 9 Milkduds.bmp 792.44 24 999000.00 240.00 999000  793.44 7.500000e+02 8.166667e+02 50 27 
BM2_700 9 Goldfish.bmp 795.43 24 999000.00 240.00 999000  796.45 7.500000e+02 8.166667e+02 55 13 
BM2_700 9 PringlesRed.bmp 797.44 12 999000.00 120.00 999000  798.46 7.500000e+02 8.166667e+02 31 49 
BM2_700 9 PeanutMMs.bmp 799.44 12 999000.00 120.00 999000  800.46 7.500000e+02 8.166667e+02 41 18 
BM2_700 9 Cheezits.bmp 801.43 22 965.36 220.00 8.167941e+02 b 802.45 7.500000e+02 8.333333e+02 52 52 
BM2_700 9 RitzBitz2.bmp 804.44 12 999000.00 120.00 999000  805.46 7.500000e+02 8.333333e+02 45 42 
BM2_700 9 Oreos.bmp 806.43 11 935.05 110.00 7.501041e+02 b 807.45 7.666667e+02 8.333333e+02 44 34 
BM2_700 9 Jollyrancherred.bmp 810.44 24 999000.00 240.00 999000  811.46 7.666667e+02 8.333333e+02 46 17 
BM2_700 9 MilkyWay.bmp 812.43 12 999000.00 120.00 999000  813.45 7.666667e+02 8.333333e+02 35 3 
BM2_700 9 Butterfinger.bmp 817.43 12 999000.00 120.00 999000  818.45 7.666667e+02 8.333333e+02 33 16 
BM2_700 9 Laffytaffyred_one.bmp 819.44 12 999000.00 120.00 999000  820.46 7.666667e+02 8.333333e+02 37 48 
BM2_700 9 Lollipopred.bmp 823.43 12 999000.00 120.00 999000  824.45 7.666667e+02 8.333333e+02 42 43 
BM2_700 9 PopTartsCinnamon.bmp 825.44 24 999000.00 240.00 999000  826.46 7.666667e+02 8.333333e+02 54 10 
BM2_700 9 AnimalCrackers.bmp 828.43 12 999000.00 120.00 999000  829.45 7.666667e+02 8.333333e+02 36 55 
BM2_700 9 MrGoodbar.bmp 833.44 11 920.67 110.00 7.667385e+02 b 834.46 7.833333e+02 8.333333e+02 43 2 
BM2_700 9 Milano.bmp 835.43 24 999000.00 240.00 999000  836.45 7.833333e+02 8.333333e+02 53 6 
BM2_700 9 FigNewton_small.bmp 837.44 24 999000.00 240.00 999000  838.46 7.833333e+02 8.333333e+02 57 15 
BM2_700 9 Nutterbutter.bmp 841.43 24 999000.00 240.00 999000  842.45 7.833333e+02 8.333333e+02 59 1 
BM2_700 9 TeddyGrahamschocolate.bmp 845.43 12 999000.00 120.00 999000  846.45 7.833333e+02 8.333333e+02 38 53 
BM2_700 9 BabyRuth.bmp 849.44 22 1002.69 2200.00 8.334079e+02 b 850.46 7.833333e+02 7.833333e+02 51 26 
BM2_700 9 CheesyDoritos.bmp 851.43 12 999000.00 120.00 999000  852.45 7.833333e+02 7.833333e+02 34 14 
BM2_700 9 FrootLoops.bmp 853.44 22 967.35 220.00 7.834209e+02 b 854.46 7.833333e+02 8.000000e+02 47 35 
BM2_700 9 Slimjim.bmp 855.44 24 999000.00 240.00 999000  856.46 7.833333e+02 8.000000e+02 58 23 
BM2_700 9 Hersheykisses.bmp 857.43 12 999000.00 120.00 999000  858.45 7.833333e+02 8.000000e+02 32 22 
BM2_700 9 Almondjoy.bmp 863.44 22 953.40 220.00 8.000870e+02 b 864.45 7.833333e+02 8.166667e+02 48 33 
BM2_700 9 Dots_one.bmp 866.44 24 999000.00 240.00 999000  867.46 7.833333e+02 8.166667e+02 56 40 
BM2_700 9 Toberlorone.bmp 868.43 24 999000.00 240.00 999000  869.45 7.833333e+02 8.166667e+02 60 28 
BM2_700 9 PayDay.bmp 870.44 24 999000.00 240.00 999000  871.46 7.833333e+02 8.166667e+02 49 25 
BM2_700 9 Whatchamacallit.bmp 873.43 11 957.85 110.00 7.834196e+02 b 874.45 8.000000e+02 8.166667e+02 40 51 
BM2_700 9 Jollyranchergreen.bmp 875.44 11 1016.02 1100.00 8.000968e+02 b 876.46 7.500000e+02 8.166667e+02 39 54 
