subjid scanner order block runtrial onsettime ImageLeft ImageRight TypeLeft TypeRight IsLefthigh Response PairType Outcome RT bidIndexLeft bidIndexRight 
BM2_704 0 2 6 1 0 Hersheykisses.bmp KitKat_small.bmp 58 35 0 i 3 0 792.293945 0.00 1.00 
BM2_704 0 2 6 2 9 Laysclassic.bmp Funyuns_small.bmp 49 51 0 u 2 1 823.197875 1.00 1.00 
BM2_704 0 2 6 3 12 FigNewton_small.bmp Riprolls.bmp 39 38 1 u 1 0 886.347544 1.00 1.00 
BM2_704 0 2 6 4 17 Jollyrancherred.bmp MrGoodbar.bmp 60 34 0 u 3 1 1015.940056 0.00 1.00 
BM2_704 0 2 6 5 26 Jollyrancherred.bmp KitKat_small.bmp 60 35 0 i 3 0 798.250062 0.00 1.00 
BM2_704 0 2 6 6 32 Dots_one.bmp KitKat_small.bmp 57 35 0 i 3 0 852.818138 0.00 1.00 
BM2_704 0 2 6 7 35 Cheetos.bmp CheesyDoritos.bmp 52 53 1 u 2 0 923.948535 1.00 1.00 
BM2_704 0 2 6 8 48 Cheetos.bmp Nutterbutter.bmp 52 50 1 u 2 0 822.842785 1.00 1.00 
BM2_704 0 2 6 9 58 Keeblerfudgestripes.bmp Jollyranchergreen.bmp 36 59 1 u 3 0 706.089498 1.00 0.00 
BM2_704 0 2 6 10 63 ChipsAhoy_small.bmp redvines_small.bmp 43 42 1 u 1 0 707.113222 1.00 1.00 
BM2_704 0 2 6 11 66 Fritos.bmp Funyuns_small.bmp 46 51 0 u 2 1 730.312476 1.00 1.00 
BM2_704 0 2 6 12 69 Laffytaffyred_one.bmp Cheezits.bmp 41 40 0 i 1 0 578.454728 1.00 1.00 
BM2_704 0 2 6 13 72 Nutterbutter.bmp RitzBitz2.bmp 50 47 0 i 2 0 921.533945 1.00 1.00 
BM2_704 0 2 6 14 82 Cheezits.bmp redvines_small.bmp 40 42 1 u 1 0 652.706879 1.00 1.00 
BM2_704 0 2 6 15 85 redvines_small.bmp FigNewton_small.bmp 42 39 0 i 1 0 691.736229 1.00 1.00 
BM2_704 0 2 6 16 95 RitzBitz2.bmp Fritos.bmp 47 46 1 i 2 1 695.064360 1.00 1.00 
BM2_704 0 2 6 17 98 Funyuns_small.bmp Nutterbutter.bmp 51 50 1 u 2 0 654.730320 1.00 1.00 
