subjid scanner order block runtrial onsettime ImageLeft ImageRight TypeLeft TypeRight IsLefthigh Response PairType Outcome RT bidValueLeft bidValueRight 
BM2_705 0 1 1 1 0 Cheezits.bmp Jollyrancherred.bmp 52 53 0 i 2 0 597.269575 0.19 0.17 
BM2_705 0 1 1 2 10 Goldfish.bmp Hersheymilk_several.bmp 49 51 1 i 2 1 760.107998 0.25 0.20 
BM2_705 0 1 1 3 13 TeddyGrahamschocolate.bmp Twix.bmp 38 44 1 u 1 0 600.367925 0.55 0.44 
BM2_705 0 1 1 4 16 Milkduds.bmp Goldfish.bmp 47 49 0 i 2 0 712.112156 0.33 0.25 
BM2_705 0 1 1 5 20 KitKat_small.bmp Hersheykisses.bmp 39 42 0 i 1 0 932.683567 0.55 0.45 
BM2_705 0 1 1 6 24 Cheetos.bmp Laysclassic.bmp 58 34 0 i 3 0 608.764319 0.10 0.73 
BM2_705 0 1 1 7 28 Lollipopred.bmp 3Musketeers.bmp 57 35 0 i 3 0 621.402086 0.11 0.60 
BM2_705 0 1 1 8 32 Hersheymilk_several.bmp FigNewton_small.bmp 51 50 0 i 2 0 641.989105 0.20 0.22 
BM2_705 0 1 1 9 38 KitKat_small.bmp TeddyGrahamschocolate.bmp 39 38 0 i 1 0 592.195563 0.55 0.55 
BM2_705 0 1 1 10 42 MrGoodbar.bmp Laffytaffyred_one.bmp 45 43 1 i 1 1 893.226820 0.41 0.44 
BM2_705 0 1 1 11 45 TeddyGrahamschocolate.bmp Laffytaffyred_one.bmp 38 43 1 u 1 0 556.347071 0.55 0.44 
BM2_705 0 1 1 12 48 FlamingCheetos.bmp Milkduds.bmp 46 47 1 i 2 1 659.946376 0.33 0.33 
BM2_705 0 1 1 13 52 Doritosranch.bmp Riprolls.bmp 60 37 0 i 3 0 703.983050 0.07 0.57 
BM2_705 0 1 1 14 61 Cheetos.bmp Riprolls.bmp 58 37 0 i 3 0 734.349694 0.10 0.57 
BM2_705 0 1 1 15 68 Funyuns_small.bmp 100grand_small.bmp 59 36 0 i 3 0 745.998543 0.09 0.59 
BM2_705 0 1 1 16 73 Cheezits.bmp FigNewton_small.bmp 52 50 0 i 2 0 571.604660 0.19 0.22 
BM2_705 0 1 1 17 77 Laysclassic.bmp Doritosranch.bmp 34 60 1 u 3 0 791.447624 0.73 0.07 
BM2_705 0 1 1 18 80 Laysclassic.bmp Lollipopred.bmp 34 57 1 i 3 1 631.215434 0.73 0.11 
BM2_705 0 1 1 19 84 Goldfish.bmp Cheezits.bmp 49 52 1 i 2 1 803.952739 0.25 0.19 
BM2_705 0 1 1 20 93 Fritos.bmp Laffytaffyred_one.bmp 41 43 1 i 1 1 730.143417 0.50 0.44 
BM2_705 0 1 1 21 98 Jollyrancherred.bmp Milkduds.bmp 53 47 1 i 2 1 835.795129 0.17 0.33 
BM2_705 0 1 1 22 101 Hersheykisses.bmp Twix.bmp 42 44 1 u 1 0 906.883117 0.45 0.44 
BM2_705 0 1 1 23 104 Twix.bmp Fritos.bmp 44 41 0 u 1 1 658.470539 0.44 0.50 
BM2_705 0 1 1 24 108 Jollyrancherred.bmp Slimjim.bmp 53 48 1 u 2 0 791.172632 0.17 0.27 
BM2_705 0 1 1 25 111 FigNewton_small.bmp Milkduds.bmp 50 47 1 u 2 0 790.251942 0.22 0.33 
BM2_705 0 1 1 26 114 KitKat_small.bmp MrGoodbar.bmp 39 45 0 u 1 1 725.742584 0.55 0.41 
BM2_705 0 1 1 27 123 FlamingCheetos.bmp Cheezits.bmp 46 52 1 i 2 1 971.542008 0.33 0.19 
BM2_705 0 1 1 28 126 Cheetos.bmp 100grand_small.bmp 58 36 0 i 3 0 819.111019 0.10 0.59 
BM2_705 0 1 1 29 130 Dots_one.bmp MrGoodbar.bmp 40 45 0 u 1 1 911.147684 0.54 0.41 
BM2_705 0 1 1 30 135 Riprolls.bmp Lollipopred.bmp 37 57 1 u 3 0 680.866666 0.57 0.11 
BM2_705 0 1 1 31 148 Funyuns_small.bmp Riprolls.bmp 59 37 0 i 3 0 627.656331 0.09 0.57 
BM2_705 0 1 1 32 151 FlamingCheetos.bmp Slimjim.bmp 46 48 1 u 2 0 714.742154 0.33 0.27 
BM2_705 0 1 1 33 154 Hersheykisses.bmp Laffytaffyred_one.bmp 42 43 1 i 1 1 866.374440 0.45 0.44 
BM2_705 0 1 1 34 160 Goldfish.bmp Slimjim.bmp 49 48 1 i 2 1 904.244889 0.25 0.27 
BM2_705 0 1 1 35 164 Hersheymilk_several.bmp Jollyrancherred.bmp 51 53 0 i 2 0 813.708563 0.20 0.17 
BM2_705 0 1 1 36 168 Doritosranch.bmp 3Musketeers.bmp 60 35 0 i 3 0 881.811168 0.07 0.60 
BM2_705 0 1 1 37 171 Doritosranch.bmp 100grand_small.bmp 60 36 0 i 3 0 817.304350 0.07 0.59 
BM2_705 0 1 1 38 177 FlamingCheetos.bmp Hersheymilk_several.bmp 46 51 1 i 2 1 687.963342 0.33 0.20 
BM2_705 0 1 1 39 181 MrGoodbar.bmp Twix.bmp 45 44 1 i 1 1 1076.643988 0.41 0.44 
BM2_705 0 1 1 40 187 KitKat_small.bmp Fritos.bmp 39 41 0 u 1 1 1011.347894 0.55 0.50 
BM2_705 0 1 1 41 192 Laysclassic.bmp Funyuns_small.bmp 34 59 1 u 3 0 869.007962 0.73 0.09 
BM2_705 0 1 1 42 202 FigNewton_small.bmp Slimjim.bmp 50 48 1 u 2 0 839.719958 0.22 0.27 
BM2_705 0 1 1 43 212 Dots_one.bmp Hersheykisses.bmp 40 42 0 u 1 1 867.009231 0.54 0.45 
BM2_705 0 1 1 44 220 Dots_one.bmp TeddyGrahamschocolate.bmp 40 38 0 i 1 0 652.286023 0.54 0.55 
BM2_705 0 1 1 45 224 Dots_one.bmp Fritos.bmp 40 41 0 u 1 1 656.243678 0.54 0.50 
BM2_705 0 1 1 46 227 100grand_small.bmp Lollipopred.bmp 36 57 1 u 3 0 767.624760 0.59 0.11 
BM2_705 0 1 1 47 230 3Musketeers.bmp Cheetos.bmp 35 58 1 u 3 0 879.540357 0.60 0.10 
BM2_705 0 1 1 48 233 Funyuns_small.bmp 3Musketeers.bmp 59 35 0 i 3 0 598.624679 0.09 0.60 
